Year,Series,Units,Type of natural disaster,Value
2015,"Rate per 100,000 population","Rate per 100,000 population",,1995.19
2016,"Rate per 100,000 population","Rate per 100,000 population",,4845.27
2017,"Rate per 100,000 population","Rate per 100,000 population",,920.81
2018,"Rate per 100,000 population","Rate per 100,000 population",,5815.98
2019,"Rate per 100,000 population","Rate per 100,000 population",,29.8
2020,"Rate per 100,000 population","Rate per 100,000 population",,1330.34
2015,Number,Number,,712343.0
2016,Number,Number,,1749602.0
2017,Number,Number,,336511.0
2018,Number,Number,,2155700.0
2019,Number,Number,,12992.0
2020,Number,Number,,505626.0
2015,Number,Number,Meteorological - Flood,3200.0
2015,Number,Number,Meteorological - Storm,556061.0
2015,Number,Number,Meteorological - Tornado,150006.0
2015,Number,Number,Meteorological - Wildfire,576.0
2015,Number,Number,Meteorological - Winter storm,2500.0
2016,Number,Number,Meteorological - Flood,34333.0
2016,Number,Number,Meteorological - Storm,1233151.0
2016,Number,Number,Meteorological - Tornado,2070.0
2016,Number,Number,Meteorological - Wildfire,77547.0
2016,Number,Number,Meteorological - Winter storm,402501.0
2017,Number,Number,Meteorological - Flood,23041.0
2017,Number,Number,Meteorological - Storm,4470.0
2017,Number,Number,Meteorological - Wildfire,309000.0
2017,Number,Number,Meteorological - Winter storm,0.0
2018,Number,Number,Meteorological - Flood,61233.0
2018,Number,Number,Meteorological - Heat event,117000.0
2018,Number,Number,Meteorological - Storm,1872001.0
2018,Number,Number,Meteorological - Tornado,300.0
2018,Number,Number,Meteorological - Wildfire,105166.0
2018,Number,Number,Meteorological - Winter storm,0.0
2019,Number,Number,Meteorological - Flood,1790.0
2019,Number,Number,Meteorological - Hurricane,5000.0
2019,Number,Number,Meteorological - Storm,2.0
2019,Number,Number,Meteorological - Wildfire,200.0
2019,Number,Number,Meteorological - Winter storm,6000.0
2020,Number,Number,Meteorological - Flood,1.0
2020,Number,Number,Meteorological - Storm,493604.0
2020,Number,Number,Meteorological - Wildfire,12021.0
2020,Number,Number,Meteorological - Winter storm,0.0
2015,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Flood,8.96
2015,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Storm,1557.47
2015,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Tornado,420.15
2015,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Wildfire,1.61
2015,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Winter storm,7.0
2016,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Flood,95.08
2016,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Storm,3415.03
2016,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Tornado,5.73
2016,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Wildfire,214.76
2016,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Winter storm,1114.67
2017,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Flood,63.05
2017,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Storm,12.23
2017,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Wildfire,845.53
2017,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Winter storm,0.0
2018,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Flood,165.2
2018,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Heat event,315.66
2018,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Storm,5050.58
2018,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Tornado,0.81
2018,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Wildfire,283.73
2018,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Winter storm,0.0
2019,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Flood,4.76
2019,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Hurricane,13.3
2019,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Storm,0.01
2019,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Wildfire,0.53
2019,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Winter storm,15.96
2020,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Flood,0.0
2020,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Storm,1298.71
2020,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Wildfire,31.63
2020,"Rate per 100,000 population","Rate per 100,000 population",Meteorological - Winter storm,0.0
