Year,Series,Percentile,Value
2010-2015,Household expenditure per capita,All quintiles,1.307
2011-2016,Household expenditure per capita,All quintiles,1.376
2012-2017,Household expenditure per capita,All quintiles,1.519
2014-2019,Household expenditure per capita,All quintiles,1.929
2010-2015,Household expenditure per capita,Lowest quintile,1.846
2011-2016,Household expenditure per capita,Lowest quintile,1.246
2012-2017,Household expenditure per capita,Lowest quintile,2.029
2014-2019,Household expenditure per capita,Lowest quintile,1.97
2010-2015,Household expenditure per capita,Second quintile,1.434
2011-2016,Household expenditure per capita,Second quintile,0.483
2012-2017,Household expenditure per capita,Second quintile,2.442
2014-2019,Household expenditure per capita,Second quintile,1.924
2010-2015,Income per capita,Total deciles,0.236
2011-2016,Income per capita,Total deciles,-0.054
2012-2017,Income per capita,Total deciles,0.047
2014-2019,Income per capita,Total deciles,-0.354
2010-2015,Income per capita,Lowest decile,-0.006
2011-2016,Income per capita,Lowest decile,-0.328
2012-2017,Income per capita,Lowest decile,0.998
2014-2019,Income per capita,Lowest decile,0.997
2010-2015,Income per capita,Second decile,0.146
2011-2016,Income per capita,Second decile,0.402
2012-2017,Income per capita,Second decile,0.586
2014-2019,Income per capita,Second decile,0.423
2010-2015,Income per capita,Third decile,0.341
2011-2016,Income per capita,Third decile,0.349
2012-2017,Income per capita,Third decile,0.369
2014-2019,Income per capita,Third decile,-0.033
2010-2015,Income per capita,Fourth decile,0.427
2011-2016,Income per capita,Fourth decile,0.125
2012-2017,Income per capita,Fourth decile,0.138
2014-2019,Income per capita,Fourth decile,-0.123
