Year,Geography,Persons in low income,GeoCode,Value
2015,,,,14.3
2016,,,,13.0
2017,,,,12.6
2018,,,,12.4
2019,,,,12.1
2020,,,,9.3
2015,Canada,Persons under 18 years,,15.3
2015,Canada,Persons 18 to 64 years,,13.9
2015,Canada,Persons 65 years and over,,14.6
2015,Canada,Males,,13.7
2015,Canada,"Males, under 18 years",,15.2
2015,Canada,"Males, 18 to 64 years",,13.6
2015,Canada,"Males, 65 years and over",,12.2
2015,Canada,Females,,14.8
2015,Canada,"Females, under 18 years",,15.5
2015,Canada,"Females, 18 to 64 years",,14.1
2015,Canada,"Females, 65 years and over",,16.6
2015,Atlantic provinces,All persons,,16.9
2015,Atlantic provinces,Persons under 18 years,,17.8
2015,Atlantic provinces,Persons 18 to 64 years,,15.0
2015,Atlantic provinces,Persons 65 years and over,,22.3
2015,Atlantic provinces,Males,,15.7
2015,Atlantic provinces,"Males, under 18 years",,17.1
2015,Atlantic provinces,"Males, 18 to 64 years",,14.5
2015,Atlantic provinces,"Males, 65 years and over",,18.3
2015,Atlantic provinces,Females,,18.0
2015,Atlantic provinces,"Females, under 18 years",,18.5
2015,Atlantic provinces,"Females, 18 to 64 years",,15.5
2015,Atlantic provinces,"Females, 65 years and over",,25.8
2015,Newfoundland and Labrador,All persons,10,15.9
2015,Newfoundland and Labrador,Persons under 18 years,,16.5
2015,Newfoundland and Labrador,Persons 18 to 64 years,,12.3
2015,Newfoundland and Labrador,Persons 65 years and over,,27.8
2015,Newfoundland and Labrador,Males,,13.6
2015,Newfoundland and Labrador,"Males, under 18 years",,15.6
2015,Newfoundland and Labrador,"Males, 18 to 64 years",,10.5
2015,Newfoundland and Labrador,"Males, 65 years and over",,23.1
2015,Newfoundland and Labrador,Females,,18.1
2015,Newfoundland and Labrador,"Females, under 18 years",,17.6
2015,Newfoundland and Labrador,"Females, 18 to 64 years",,14.1
2015,Newfoundland and Labrador,"Females, 65 years and over",,32.0
2015,Prince Edward Island,All persons,11,16.8
2015,Prince Edward Island,Persons under 18 years,,18.0
2015,Prince Edward Island,Persons 18 to 64 years,,15.1
2015,Prince Edward Island,Persons 65 years and over,,21.3
2015,Prince Edward Island,Males,,15.2
2015,Prince Edward Island,"Males, under 18 years",,16.0
2015,Prince Edward Island,"Males, 18 to 64 years",,15.4
2015,Prince Edward Island,"Males, 65 years and over",,13.9
2015,Prince Edward Island,Females,,18.3
2015,Prince Edward Island,"Females, under 18 years",,19.9
2015,Prince Edward Island,"Females, 18 to 64 years",,14.9
2015,Prince Edward Island,"Females, 65 years and over",,27.7
2015,Nova Scotia,All persons,12,17.3
2015,Nova Scotia,Persons under 18 years,,18.1
2015,Nova Scotia,Persons 18 to 64 years,,16.0
2015,Nova Scotia,Persons 65 years and over,,20.8
2015,Nova Scotia,Males,,16.2
2015,Nova Scotia,"Males, under 18 years",,16.4
2015,Nova Scotia,"Males, 18 to 64 years",,15.8
2015,Nova Scotia,"Males, 65 years and over",,17.1
2015,Nova Scotia,Females,,18.4
2015,Nova Scotia,"Females, under 18 years",,20.0
2015,Nova Scotia,"Females, 18 to 64 years",,16.3
2015,Nova Scotia,"Females, 65 years and over",,24.0
2015,New Brunswick,All persons,13,17.1
2015,New Brunswick,Persons under 18 years,,18.2
2015,New Brunswick,Persons 18 to 64 years,,15.7
2015,New Brunswick,Persons 65 years and over,,20.5
2015,New Brunswick,Males,,16.7
2015,New Brunswick,"Males, under 18 years",,19.3
2015,New Brunswick,"Males, 18 to 64 years",,15.8
2015,New Brunswick,"Males, 65 years and over",,17.2
2015,New Brunswick,Females,,17.5
2015,New Brunswick,"Females, under 18 years",,16.9
2015,New Brunswick,"Females, 18 to 64 years",,15.7
2015,New Brunswick,"Females, 65 years and over",,23.4
2015,Quebec,All persons,24,16.1
2015,Quebec,Persons under 18 years,,16.0
2015,Quebec,Persons 18 to 64 years,,15.5
2015,Quebec,Persons 65 years and over,,18.5
2015,Quebec,Males,,15.3
2015,Quebec,"Males, under 18 years",,15.4
2015,Quebec,"Males, 18 to 64 years",,15.1
2015,Quebec,"Males, 65 years and over",,15.8
2015,Quebec,Females,,16.9
2015,Quebec,"Females, under 18 years",,16.5
2015,Quebec,"Females, 18 to 64 years",,15.9
2015,Quebec,"Females, 65 years and over",,20.8
2015,Ontario,All persons,35,14.2
2015,Ontario,Persons under 18 years,,15.6
2015,Ontario,Persons 18 to 64 years,,14.1
2015,Ontario,Persons 65 years and over,,12.7
2015,Ontario,Males,,13.7
2015,Ontario,"Males, under 18 years",,16.5
2015,Ontario,"Males, 18 to 64 years",,13.7
2015,Ontario,"Males, 65 years and over",,10.2
2015,Ontario,Females,,14.6
2015,Ontario,"Females, under 18 years",,14.6
2015,Ontario,"Females, 18 to 64 years",,14.5
2015,Ontario,"Females, 65 years and over",,14.8
2015,Prairie provinces,All persons,,9.5
2015,Prairie provinces,Persons under 18 years,,14.1
2015,Prairie provinces,Persons 18 to 64 years,,8.3
2015,Prairie provinces,Persons 65 years and over,,8.0
2015,Prairie provinces,Males,,9.1
2015,Prairie provinces,"Males, under 18 years",,13.4
2015,Prairie provinces,"Males, 18 to 64 years",,8.1
2015,Prairie provinces,"Males, 65 years and over",,6.3
2015,Prairie provinces,Females,,9.9
2015,Prairie provinces,"Females, under 18 years",,15.0
2015,Prairie provinces,"Females, 18 to 64 years",,8.4
2015,Prairie provinces,"Females, 65 years and over",,9.4
2015,Manitoba,All persons,46,16.0
2015,Manitoba,Persons under 18 years,,23.1
2015,Manitoba,Persons 18 to 64 years,,14.1
2015,Manitoba,Persons 65 years and over,,13.4
2015,Manitoba,Males,,16.4
2015,Manitoba,"Males, under 18 years",,26.9
2015,Manitoba,"Males, 18 to 64 years",,14.3
2015,Manitoba,"Males, 65 years and over",,8.9
2015,Manitoba,Females,,15.6
2015,Manitoba,"Females, under 18 years",,19.3
2015,Manitoba,"Females, 18 to 64 years",,13.9
2015,Manitoba,"Females, 65 years and over",,17.2
2015,Saskatchewan,All persons,47,12.4
2015,Saskatchewan,Persons under 18 years,,17.8
2015,Saskatchewan,Persons 18 to 64 years,,10.4
2015,Saskatchewan,Persons 65 years and over,,12.6
2015,Saskatchewan,Males,,10.9
2015,Saskatchewan,"Males, under 18 years",,16.9
2015,Saskatchewan,"Males, 18 to 64 years",,8.9
2015,Saskatchewan,"Males, 65 years and over",,10.3
2015,Saskatchewan,Females,,13.9
2015,Saskatchewan,"Females, under 18 years",,18.6
2015,Saskatchewan,"Females, 18 to 64 years",,12.0
2015,Saskatchewan,"Females, 65 years and over",,14.6
2015,Alberta,All persons,48,6.9
2015,Alberta,Persons under 18 years,,10.5
2015,Alberta,Persons 18 to 64 years,,6.1
2015,Alberta,Persons 65 years and over,,4.3
2015,Alberta,Males,,6.5
2015,Alberta,"Males, under 18 years",,8.6
2015,Alberta,"Males, 18 to 64 years",,6.2
2015,Alberta,"Males, 65 years and over",,4.0
2015,Alberta,Females,,7.2
2015,Alberta,"Females, under 18 years",,12.6
2015,Alberta,"Females, 18 to 64 years",,5.9
2015,Alberta,"Females, 65 years and over",,4.6
2015,British Columbia,All persons,59,16.6
2015,British Columbia,Persons under 18 years,,14.1
2015,British Columbia,Persons 18 to 64 years,,17.7
2015,British Columbia,Persons 65 years and over,,15.0
2015,British Columbia,Males,,16.4
2015,British Columbia,"Males, under 18 years",,12.6
2015,British Columbia,"Males, 18 to 64 years",,18.2
2015,British Columbia,"Males, 65 years and over",,13.5
2015,British Columbia,Females,,16.8
2015,British Columbia,"Females, under 18 years",,15.7
2015,British Columbia,"Females, 18 to 64 years",,17.3
2015,British Columbia,"Females, 65 years and over",,16.4
2015,"Quebec, Québec",All persons,,10.2
2015,"Quebec, Québec",Persons under 18 years,,
2015,"Quebec, Québec",Persons 18 to 64 years,,9.2
2015,"Quebec, Québec",Persons 65 years and over,,17.8
2015,"Quebec, Québec",Males,,10.6
2015,"Quebec, Québec","Males, under 18 years",,
2015,"Quebec, Québec","Males, 18 to 64 years",,10.0
2015,"Quebec, Québec","Males, 65 years and over",,15.6
2015,"Quebec, Québec",Females,,9.8
2015,"Quebec, Québec","Females, under 18 years",,
2015,"Quebec, Québec","Females, 18 to 64 years",,8.5
2015,"Quebec, Québec","Females, 65 years and over",,19.5
2015,"Quebec, Montréal",All persons,,18.6
2015,"Quebec, Montréal",Persons under 18 years,,21.1
2015,"Quebec, Montréal",Persons 18 to 64 years,,18.6
2015,"Quebec, Montréal",Persons 65 years and over,,15.9
2015,"Quebec, Montréal",Males,,17.9
2015,"Quebec, Montréal","Males, under 18 years",,20.6
2015,"Quebec, Montréal","Males, 18 to 64 years",,17.9
2015,"Quebec, Montréal","Males, 65 years and over",,14.3
2015,"Quebec, Montréal",Females,,19.3
2015,"Quebec, Montréal","Females, under 18 years",,21.4
2015,"Quebec, Montréal","Females, 18 to 64 years",,19.2
2015,"Quebec, Montréal","Females, 65 years and over",,17.3
2015,"Ontario/Quebec, Ottawa-Gatineau",All persons,,10.7
2015,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years,,10.5
2015,"Ontario/Quebec, Ottawa-Gatineau",Persons 18 to 64 years,,11.3
2015,"Ontario/Quebec, Ottawa-Gatineau",Persons 65 years and over,,8.3
2015,"Ontario/Quebec, Ottawa-Gatineau",Males,,9.8
2015,"Ontario/Quebec, Ottawa-Gatineau","Males, under 18 years",,
2015,"Ontario/Quebec, Ottawa-Gatineau","Males, 18 to 64 years",,10.5
2015,"Ontario/Quebec, Ottawa-Gatineau","Males, 65 years and over",,
2015,"Ontario/Quebec, Ottawa-Gatineau",Females,,11.6
2015,"Ontario/Quebec, Ottawa-Gatineau","Females, under 18 years",,
2015,"Ontario/Quebec, Ottawa-Gatineau","Females, 18 to 64 years",,12.0
2015,"Ontario/Quebec, Ottawa-Gatineau","Females, 65 years and over",,8.8
2015,"Toronto, Ontario",All persons,,16.3
2015,"Toronto, Ontario",Persons under 18 years,,18.5
2015,"Toronto, Ontario",Persons 18 to 64 years,,15.6
2015,"Toronto, Ontario",Persons 65 years and over,,16.0
2015,"Toronto, Ontario",Males,,15.9
2015,"Toronto, Ontario","Males, under 18 years",,20.1
2015,"Toronto, Ontario","Males, 18 to 64 years",,15.0
2015,"Toronto, Ontario","Males, 65 years and over",,13.1
2015,"Toronto, Ontario",Females,,16.6
2015,"Toronto, Ontario","Females, under 18 years",,16.9
2015,"Toronto, Ontario","Females, 18 to 64 years",,16.1
2015,"Toronto, Ontario","Females, 65 years and over",,18.4
2015,"Winnipeg, Manitoba",All persons,,16.4
2015,"Winnipeg, Manitoba",Persons under 18 years,,23.9
2015,"Winnipeg, Manitoba",Persons 18 to 64 years,,15.2
2015,"Winnipeg, Manitoba",Persons 65 years and over,,10.9
2015,"Winnipeg, Manitoba",Males,,16.3
2015,"Winnipeg, Manitoba","Males, under 18 years",,28.4
2015,"Winnipeg, Manitoba","Males, 18 to 64 years",,14.6
2015,"Winnipeg, Manitoba","Males, 65 years and over",,4.9
2015,"Winnipeg, Manitoba",Females,,16.6
2015,"Winnipeg, Manitoba","Females, under 18 years",,19.6
2015,"Winnipeg, Manitoba","Females, 18 to 64 years",,15.7
2015,"Winnipeg, Manitoba","Females, 65 years and over",,15.7
2015,"Calgary, Alberta",All persons,,7.5
2015,"Calgary, Alberta",Persons under 18 years,,
2015,"Calgary, Alberta",Persons 18 to 64 years,,6.4
2015,"Calgary, Alberta",Persons 65 years and over,,5.6
2015,"Calgary, Alberta",Males,,7.3
2015,"Calgary, Alberta","Males, under 18 years",,
2015,"Calgary, Alberta","Males, 18 to 64 years",,6.9
2015,"Calgary, Alberta","Males, 65 years and over",,
2015,"Calgary, Alberta",Females,,7.7
2015,"Calgary, Alberta","Females, under 18 years",,
2015,"Calgary, Alberta","Females, 18 to 64 years",,5.8
2015,"Calgary, Alberta","Females, 65 years and over",,
2015,"Edmonton, Alberta",All persons,,6.7
2015,"Edmonton, Alberta",Persons under 18 years,,11.1
2015,"Edmonton, Alberta",Persons 18 to 64 years,,6.0
2015,"Edmonton, Alberta",Persons 65 years and over,,
2015,"Edmonton, Alberta",Males,,6.5
2015,"Edmonton, Alberta","Males, under 18 years",,
2015,"Edmonton, Alberta","Males, 18 to 64 years",,6.5
2015,"Edmonton, Alberta","Males, 65 years and over",,
