Year,Geography,Level of government,Type of heritage,GeoCode,Value
2015,,,,,202.21542
2016,,,,,205.22944
2017,,,,,222.73863
2018,,,,,216.06242
2019,,,,,236.55917
2020,,,,,236.953
2021,,,,,247.20276
2022,,,,,250.98194
2015,Alberta,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,48,208.90826
2015,British Columbia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,59,74.28435
2015,Canada,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,,141.46677
2015,Manitoba,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,46,139.91982
2015,New Brunswick,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,13,110.63899
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,10,105.99075
2015,Northwest Territories,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,61,542.40965
2015,Nova Scotia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,12,147.21272
2015,Nunavut,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,62,739.92875
2015,Ontario,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,35,147.05354
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,11,103.70862
2015,Quebec,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,24,133.56584
2015,Saskatchewan,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,47,114.95175
2015,Yukon,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,60,1778.65088
2016,Alberta,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,48,182.10304
2016,British Columbia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,59,75.7004
2016,Canada,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,,140.23504
2016,Manitoba,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,46,141.53743
2016,New Brunswick,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,13,93.01448
2016,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,10,98.18991
2016,Northwest Territories,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,61,515.41771
2016,Nova Scotia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,12,134.67885
2016,Nunavut,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,62,730.14414
2016,Ontario,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,35,149.67751
2016,Prince Edward Island,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,11,102.11654
2016,Quebec,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,24,140.91124
2016,Saskatchewan,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,47,118.89078
2016,Yukon,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,60,1582.40162
2017,Alberta,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,48,185.49504
2017,British Columbia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,59,79.8508
2017,Canada,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,,149.02145
2017,Manitoba,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,46,144.5981
2017,New Brunswick,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,13,106.95229
2017,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,10,105.71184
2017,Northwest Territories,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,61,492.65496
2017,Nova Scotia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,12,119.7279
2017,Nunavut,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,62,823.24198
2017,Ontario,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,35,160.74157
2017,Prince Edward Island,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,11,100.17363
2017,Quebec,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,24,157.00306
2017,Saskatchewan,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,47,121.15243
2017,Yukon,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,60,1239.47082
2018,Alberta,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,48,188.23284
2018,British Columbia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,59,70.70334
2018,Canada,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,,145.49821
2018,Manitoba,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,46,145.63606
2018,New Brunswick,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,13,109.02054
