Year,Geography,GeoCode,Value
2015,,,5.29
2015,Newfoundland and Labrador,10,4.9
2015,Prince Edward Island,11,3.03
2015,Nova Scotia,12,4.46
2015,New Brunswick,13,4.82
2015,Quebec,24,5.62
2015,Ontario,35,5.01
2015,Manitoba,46,7.47
2015,Saskatchewan,47,6.58
2015,Alberta,48,5.55
2015,British Columbia,59,3.97
2015,Yukon,60,9.62
2015,Northwest Territories,61,5.26
2015,Nunavut,62,27.46
2016,,,5.28
2016,Newfoundland and Labrador,10,4.69
2016,Prince Edward Island,11,7.27
2016,Nova Scotia,12,5.69
2016,New Brunswick,13,5.69
2016,Quebec,24,5.0
2016,Ontario,35,5.29
2016,Manitoba,46,6.61
2016,Saskatchewan,47,7.12
2016,Alberta,48,5.26
2016,British Columbia,59,4.1
2016,Yukon,60,7.19
2016,Northwest Territories,61,6.94
2016,Nunavut,62,39.47
2017,,,5.24
2017,Newfoundland and Labrador,10,4.87
2017,Prince Edward Island,11,3.05
2017,Nova Scotia,12,4.43
2017,New Brunswick,13,3.36
2017,Quebec,24,4.68
2017,Ontario,35,5.35
2017,Manitoba,46,8.23
2017,Saskatchewan,47,7.37
2017,Alberta,48,5.75
2017,British Columbia,59,3.73
2017,Northwest Territories,61,4.2
2017,Nunavut,62,27.27
2018,,,5.46
2018,Newfoundland and Labrador,10,5.97
2018,Prince Edward Island,11,5.46
2018,Nova Scotia,12,4.23
2018,New Brunswick,13,3.76
2018,Quebec,24,4.89
2018,Ontario,35,5.24
2018,Manitoba,46,7.87
2018,Saskatchewan,47,6.75
2018,Alberta,48,6.3
2018,British Columbia,59,4.64
2018,Northwest Territories,61,8.12
2018,Nunavut,62,65.69
2019,,,5.12
2019,Newfoundland and Labrador,10,5.57
2019,Prince Edward Island,11,3.84
2019,Nova Scotia,12,6.0
2019,New Brunswick,13,5.07
2019,Quebec,24,4.84
2019,Ontario,35,5.11
2019,Manitoba,46,6.63
2019,Saskatchewan,47,7.16
2019,Alberta,48,5.18
2019,British Columbia,59,3.92
2019,Northwest Territories,61,1.58
2019,Nunavut,62,44.16
2020,,,5.15
2020,Newfoundland and Labrador,10,5.84
2020,Prince Edward Island,11,6.19
2020,Nova Scotia,12,4.69
2020,New Brunswick,13,4.98
2020,Quebec,24,4.83
2020,Ontario,35,4.75
2020,Manitoba,46,7.27
2020,Saskatchewan,47,8.26
2020,Alberta,48,5.78
2020,British Columbia,59,4.2
2020,Northwest Territories,61,7.51
2020,Nunavut,62,25.79
