Year,Sex,Value
2010,,1.23
2011,,1.42
2012,,1.15
2013,,1.25
2014,,0.93
2015,,0.73
2016,,0.87
2017,,0.46
2018,,0.41
2019,,0.15
2020,,0.26
2021,,0.37
2010,Female,0.64
2011,Female,0.74
2012,Female,0.63
2013,Female,0.67
2014,Female,0.57
2015,Female,0.21
2016,Female,0.36
2017,Female,0.31
2018,Female,0.2
2019,Female,0.1
2020,Female,0.05
2021,Female,0.11
2010,Male,0.59
2011,Male,0.63
2012,Male,0.52
2013,Male,0.57
2014,Male,0.36
2015,Male,0.52
2016,Male,0.51
2017,Male,0.15
2018,Male,0.2
2019,Male,0.05
2020,Male,0.21
2021,Male,0.26
2010,Unknown,0.0
2011,Unknown,0.05
2012,Unknown,0.0
2013,Unknown,0.0
2014,Unknown,0.0
2015,Unknown,0.0
2016,Unknown,0.0
2017,Unknown,0.0
2018,Unknown,0.0
2019,Unknown,0.0
2020,Unknown,0.0
2021,Unknown,0.0
