Year,Marital status,Value
2000,,90.6
2001,,90.7
2002,,90.8
2003,,91.0
2004,,91.4
2005,,91.8
2006,,92.0
2007,,92.2
2008,,92.2
2009,,92.3
2010,,92.3
2011,,92.3
2012,,92.4
2013,,92.4
2014,,92.5
2015,,92.5
2016,,92.4
2017,,92.5
2018,,92.5
2019,,92.5
2020,,92.5
2021,,92.4
2022,,92.5
2023,,92.4
2000,Married or in a union,90.0
2001,Married or in a union,90.0
2002,Married or in a union,90.2
2003,Married or in a union,90.6
2004,Married or in a union,91.1
2005,Married or in a union,91.7
2006,Married or in a union,92.1
2007,Married or in a union,92.3
2008,Married or in a union,92.4
2009,Married or in a union,92.5
2010,Married or in a union,92.5
2011,Married or in a union,92.6
2012,Married or in a union,92.6
2013,Married or in a union,92.6
2014,Married or in a union,92.6
2015,Married or in a union,92.6
2016,Married or in a union,92.7
2017,Married or in a union,92.7
2018,Married or in a union,92.7
2019,Married or in a union,92.7
2020,Married or in a union,92.6
2021,Married or in a union,92.7
2022,Married or in a union,92.7
2023,Married or in a union,92.6
2000,Unmarried,91.7
2001,Unmarried,91.8
2002,Unmarried,91.7
2003,Unmarried,91.8
2004,Unmarried,91.9
2005,Unmarried,91.9
2006,Unmarried,92.0
2007,Unmarried,92.1
2008,Unmarried,92.0
2009,Unmarried,92.0
2010,Unmarried,92.0
2011,Unmarried,92.0
2012,Unmarried,92.1
2013,Unmarried,92.1
2014,Unmarried,92.2
2015,Unmarried,92.3
2016,Unmarried,92.2
2017,Unmarried,92.2
2018,Unmarried,92.2
2019,Unmarried,92.1
2020,Unmarried,92.3
2021,Unmarried,92.1
2022,Unmarried,92.1
2023,Unmarried,92.0
