Year,Geography,Graduation rate,Gender,GeoCode,Value
2016/2017,,On-time,Total,,80.0
2016/2017,,On-time,Male,,76.0
2016/2017,,On-time,Female,,84.0
2016/2017,,Extended-time,Total,,87.0
2016/2017,,Extended-time,Male,,85.0
2016/2017,,Extended-time,Female,,91.0
2017/2018,,On-time,Total,,81.0
2017/2018,,On-time,Male,,77.0
2017/2018,,On-time,Female,,84.0
2017/2018,,Extended-time,Total,,88.0
2017/2018,,Extended-time,Male,,86.0
2017/2018,,Extended-time,Female,,91.0
2018/2019,,On-time,Total,,81.0
2018/2019,,On-time,Male,,77.0
2018/2019,,On-time,Female,,85.0
2018/2019,,Extended-time,Total,,89.0
2018/2019,,Extended-time,Male,,86.0
2018/2019,,Extended-time,Female,,91.0
2019/2020,,On-time,Total,,84.0
2019/2020,,On-time,Male,,81.0
2019/2020,,On-time,Female,,87.0
2019/2020,,Extended-time,Total,,89.0
2019/2020,,Extended-time,Male,,86.0
2019/2020,,Extended-time,Female,,91.0
2020/2021,,On-time,Total,,84.0
2020/2021,,On-time,Male,,81.0
2020/2021,,On-time,Female,,87.0
2020/2021,,Extended-time,Total,,89.0
2020/2021,,Extended-time,Male,,87.0
2020/2021,,Extended-time,Female,,92.0
2016/2017,Newfoundland and Labrador,On-time,Total,10,88.0
2016/2017,Newfoundland and Labrador,On-time,Male,10,87.0
2016/2017,Newfoundland and Labrador,On-time,Female,10,90.0
2016/2017,Newfoundland and Labrador,Extended-time,Total,10,90.0
2016/2017,Newfoundland and Labrador,Extended-time,Male,10,88.0
2016/2017,Newfoundland and Labrador,Extended-time,Female,10,91.0
2016/2017,Prince Edward Island,On-time,Total,11,85.0
2016/2017,Prince Edward Island,On-time,Male,11,84.0
2016/2017,Prince Edward Island,On-time,Female,11,86.0
2016/2017,Prince Edward Island,Extended-time,Total,11,90.0
2016/2017,Prince Edward Island,Extended-time,Male,11,89.0
2016/2017,Prince Edward Island,Extended-time,Female,11,90.0
2016/2017,Nova Scotia,On-time,Total,12,
2016/2017,Nova Scotia,On-time,Male,12,
2016/2017,Nova Scotia,On-time,Female,12,
2016/2017,Nova Scotia,Extended-time,Total,12,
2016/2017,Nova Scotia,Extended-time,Male,12,
2016/2017,Nova Scotia,Extended-time,Female,12,
2016/2017,New Brunswick,On-time,Total,13,85.0
2016/2017,New Brunswick,On-time,Male,13,82.0
2016/2017,New Brunswick,On-time,Female,13,88.0
2016/2017,New Brunswick,Extended-time,Total,13,85.0
2016/2017,New Brunswick,Extended-time,Male,13,82.0
2016/2017,New Brunswick,Extended-time,Female,13,88.0
2016/2017,Quebec,On-time,Total,24,74.0
2016/2017,Quebec,On-time,Male,24,69.0
2016/2017,Quebec,On-time,Female,24,80.0
2016/2017,Quebec,Extended-time,Total,24,82.0
2016/2017,Quebec,Extended-time,Male,24,78.0
2016/2017,Quebec,Extended-time,Female,24,89.0
2016/2017,Ontario,On-time,Total,35,82.0
2016/2017,Ontario,On-time,Male,35,79.0
2016/2017,Ontario,On-time,Female,35,86.0
2016/2017,Ontario,Extended-time,Total,35,92.0
2016/2017,Ontario,Extended-time,Male,35,89.0
2016/2017,Ontario,Extended-time,Female,35,94.0
2016/2017,Manitoba,On-time,Total,46,82.0
2016/2017,Manitoba,On-time,Male,46,79.0
2016/2017,Manitoba,On-time,Female,46,85.0
2016/2017,Manitoba,Extended-time,Total,46,87.0
2016/2017,Manitoba,Extended-time,Male,46,85.0
2016/2017,Manitoba,Extended-time,Female,46,89.0
2016/2017,Saskatchewan,On-time,Total,47,78.0
2016/2017,Saskatchewan,On-time,Male,47,76.0
2016/2017,Saskatchewan,On-time,Female,47,81.0
2016/2017,Saskatchewan,Extended-time,Total,47,85.0
2016/2017,Saskatchewan,Extended-time,Male,47,82.0
2016/2017,Saskatchewan,Extended-time,Female,47,88.0
2016/2017,Alberta,On-time,Total,48,78.0
2016/2017,Alberta,On-time,Male,48,76.0
2016/2017,Alberta,On-time,Female,48,81.0
2016/2017,Alberta,Extended-time,Total,48,84.0
