Year,Marital status,Age group,Geography,Value
1996,Married or living common law,15 to 19 years,Alberta,4.64
1996,Married or living common law,20 to 24 years,Alberta,33.7
1996,Married,15 to 19 years,Alberta,1.1
1996,Married,20 to 24 years,Alberta,18.26
1996,Living common law,15 to 19 years,Alberta,3.54
1996,Living common law,20 to 24 years,Alberta,15.44
1996,Married or living common law,15 to 19 years,British Columbia,3.39
1996,Married or living common law,20 to 24 years,British Columbia,27.99
1996,Married,15 to 19 years,British Columbia,0.87
1996,Married,20 to 24 years,British Columbia,15.07
1996,Living common law,15 to 19 years,British Columbia,2.51
1996,Living common law,20 to 24 years,British Columbia,12.92
1996,Married or living common law,15 to 19 years,Canada,3.41
1996,Married or living common law,20 to 24 years,Canada,27.77
1996,Married,15 to 19 years,Canada,0.78
1996,Married,20 to 24 years,Canada,13.18
1996,Living common law,15 to 19 years,Canada,2.64
1996,Living common law,20 to 24 years,Canada,14.6
1996,Married or living common law,15 to 19 years,Manitoba,4.26
1996,Married or living common law,20 to 24 years,Manitoba,30.53
1996,Married,15 to 19 years,Manitoba,1.12
1996,Married,20 to 24 years,Manitoba,16.96
1996,Living common law,15 to 19 years,Manitoba,3.14
1996,Living common law,20 to 24 years,Manitoba,13.57
1996,Married or living common law,15 to 19 years,New Brunswick,3.66
1996,Married or living common law,20 to 24 years,New Brunswick,31.38
1996,Married,15 to 19 years,New Brunswick,0.69
1996,Married,20 to 24 years,New Brunswick,13.42
1996,Living common law,15 to 19 years,New Brunswick,2.97
1996,Living common law,20 to 24 years,New Brunswick,17.96
1996,Married or living common law,15 to 19 years,Newfoundland and Labrador,2.16
1996,Married or living common law,20 to 24 years,Newfoundland and Labrador,24.37
1996,Married,15 to 19 years,Newfoundland and Labrador,0.42
1996,Married,20 to 24 years,Newfoundland and Labrador,10.93
1996,Living common law,15 to 19 years,Newfoundland and Labrador,1.76
1996,Living common law,20 to 24 years,Newfoundland and Labrador,13.44
1996,Married or living common law,15 to 19 years,Northwest Territories,11.15
1996,Married or living common law,20 to 24 years,Northwest Territories,45.45
1996,Married,15 to 19 years,Northwest Territories,0.58
1996,Married,20 to 24 years,Northwest Territories,11.31
1996,Living common law,15 to 19 years,Northwest Territories,10.58
1996,Living common law,20 to 24 years,Northwest Territories,34.14
1996,Married or living common law,15 to 19 years,Nova Scotia,2.4
1996,Married or living common law,20 to 24 years,Nova Scotia,25.61
1996,Married,15 to 19 years,Nova Scotia,0.44
1996,Married,20 to 24 years,Nova Scotia,11.71
1996,Living common law,15 to 19 years,Nova Scotia,1.96
1996,Living common law,20 to 24 years,Nova Scotia,13.9
1996,Married or living common law,15 to 19 years,Ontario,2.71
1996,Married or living common law,20 to 24 years,Ontario,22.83
1996,Married,15 to 19 years,Ontario,0.87
1996,Married,20 to 24 years,Ontario,13.64
1996,Living common law,15 to 19 years,Ontario,1.84
1996,Living common law,20 to 24 years,Ontario,9.2
1996,Married or living common law,15 to 19 years,Prince Edward Island,2.56
1996,Married or living common law,20 to 24 years,Prince Edward Island,27.81
1996,Married,15 to 19 years,Prince Edward Island,0.51
1996,Married,20 to 24 years,Prince Edward Island,14.07
1996,Living common law,15 to 19 years,Prince Edward Island,2.15
1996,Living common law,20 to 24 years,Prince Edward Island,13.74
1996,Married or living common law,15 to 19 years,Quebec,3.76
1996,Married or living common law,20 to 24 years,Quebec,31.55
1996,Married,15 to 19 years,Quebec,0.52
1996,Married,20 to 24 years,Quebec,8.43
1996,Living common law,15 to 19 years,Quebec,3.24
1996,Living common law,20 to 24 years,Quebec,23.12
1996,Married or living common law,15 to 19 years,Saskatchewan,4.59
1996,Married or living common law,20 to 24 years,Saskatchewan,34.07
1996,Married,15 to 19 years,Saskatchewan,0.7
1996,Married,20 to 24 years,Saskatchewan,18.05
1996,Living common law,15 to 19 years,Saskatchewan,3.89
1996,Living common law,20 to 24 years,Saskatchewan,16.02
1996,Married or living common law,15 to 19 years,Yukon,6.88
1996,Married or living common law,20 to 24 years,Yukon,37.68
1996,Married,15 to 19 years,Yukon,0.53
1996,Married,20 to 24 years,Yukon,14.98
1996,Living common law,15 to 19 years,Yukon,6.35
1996,Living common law,20 to 24 years,Yukon,22.71
2001,Married or living common law,15 to 19 years,Alberta,3.96
2001,Married or living common law,20 to 24 years,Alberta,31.14
2001,Married,15 to 19 years,Alberta,0.75
2001,Married,20 to 24 years,Alberta,14.92
2001,Living common law,15 to 19 years,Alberta,3.21
