Year,Series,Units,Value
2000,Material footprint,Million metric tonnes,1196.74
2001,Material footprint,Million metric tonnes,1101.55
2002,Material footprint,Million metric tonnes,1097.2
2003,Material footprint,Million metric tonnes,1203.02
2004,Material footprint,Million metric tonnes,1315.71
2005,Material footprint,Million metric tonnes,1107.7
2006,Material footprint,Million metric tonnes,1149.26
2007,Material footprint,Million metric tonnes,1115.39
2008,Material footprint,Million metric tonnes,1081.33
2009,Material footprint,Million metric tonnes,1028.52
2010,Material footprint,Million metric tonnes,1178.79
2011,Material footprint,Million metric tonnes,1271.44
2012,Material footprint,Million metric tonnes,1216.29
2013,Material footprint,Million metric tonnes,1235.32
2014,Material footprint,Million metric tonnes,1206.28
2015,Material footprint,Million metric tonnes,1240.12
2016,Material footprint,Million metric tonnes,1290.24
2017,Material footprint,Million metric tonnes,1340.02
2018,Material footprint,Million metric tonnes,1328.66
2019,Material footprint,Million metric tonnes,1311.23
2000,Material footprint per capita,Metric tonnes,39.0
2001,Material footprint per capita,Metric tonnes,35.51
2002,Material footprint per capita,Metric tonnes,34.99
2003,Material footprint per capita,Metric tonnes,38.02
2004,Material footprint per capita,Metric tonnes,41.19
2005,Material footprint per capita,Metric tonnes,34.35
2006,Material footprint per capita,Metric tonnes,35.28
2007,Material footprint per capita,Metric tonnes,33.91
2008,Material footprint per capita,Metric tonnes,32.52
2009,Material footprint per capita,Metric tonnes,30.58
2010,Material footprint per capita,Metric tonnes,34.67
2011,Material footprint per capita,Metric tonnes,37.03
2012,Material footprint per capita,Metric tonnes,35.04
2013,Material footprint per capita,Metric tonnes,35.21
2014,Material footprint per capita,Metric tonnes,34.04
2015,Material footprint per capita,Metric tonnes,34.73
2016,Material footprint per capita,Metric tonnes,35.73
2017,Material footprint per capita,Metric tonnes,36.67
2018,Material footprint per capita,Metric tonnes,35.85
2019,Material footprint per capita,Metric tonnes,34.87
2000,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),818.95
2001,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),742.67
2002,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),718.85
2003,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),773.73
2004,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),821.41
2005,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),669.84
2006,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),678.47
2007,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),644.0
2008,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),618.14
2009,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),607.06
2010,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),676.01
2011,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),707.01
2012,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),665.65
2013,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),660.11
2014,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),626.28
2015,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),639.9
2016,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),660.49
2017,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),662.74
2018,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),636.87
2019,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),616.79
