Year,Geography,Status,Sex,Age group,GeoCode,Value
2015,,,,,,11
2016,,,,,,11
2017,,,,,,10
2018,,,,,,10
2019,,,,,,9
2020,,,,,,12
2021,,,,,,11
2022,,,,,,10
2023,,,,,,9
2015,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,10,7
2015,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,10,9
2015,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,10,6
2015,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,10,13
2015,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,10,17
2015,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,10,10
2015,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,10,18
2015,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,10,23
2015,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,10,12
2015,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,10,19
2015,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,10,24
2015,Newfoundland and Labrador,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,10,14
2015,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,10,3
2015,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,10,4
2015,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,10,7
2015,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,10,10
2015,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,10,5
2015,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,10,10
2015,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,10,14
2015,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,10,6
2015,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,10,11
2015,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,10,16
2015,Newfoundland and Labrador,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,10,7
2015,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,10,4
2015,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,10,5
2015,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,10,6
2015,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,10,7
2015,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,10,5
2015,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,10,8
2015,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,10,9
2015,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,10,7
2015,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,10,8
2015,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,10,8
2015,Newfoundland and Labrador,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,10,7
2015,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,11,8
2015,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,11,8
2015,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,11,13
2015,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,11,15
2015,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,11,11
2015,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,11,17
2015,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,11,21
2015,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,11,14
2015,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,11,19
2015,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,11,22
2015,Prince Edward Island,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,11,15
2015,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,11,4
2015,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,11,8
2015,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,11,11
2015,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,11,5
2015,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,11,11
2015,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,11,15
2015,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,11,6
2015,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,11,11
2015,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,11,16
2015,Prince Edward Island,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,11,6
2015,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,11,3
2015,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,11,5
2015,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,11,4
2015,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,11,7
