Year,Series,Percentile,Value
2010-2015,Household expenditure per capita,All quintiles,1.308
2011-2016,Household expenditure per capita,All quintiles,1.377
2012-2017,Household expenditure per capita,All quintiles,1.519
2014-2019,Household expenditure per capita,All quintiles,1.94
2010-2015,Household expenditure per capita,Lowest quintile,1.847
2011-2016,Household expenditure per capita,Lowest quintile,1.247
2012-2017,Household expenditure per capita,Lowest quintile,2.03
2014-2019,Household expenditure per capita,Lowest quintile,1.981
2010-2015,Household expenditure per capita,Second quintile,1.434
2011-2016,Household expenditure per capita,Second quintile,0.484
2012-2017,Household expenditure per capita,Second quintile,2.442
2014-2019,Household expenditure per capita,Second quintile,1.935
2010-2015,Income per capita,Total deciles,0.238
2011-2016,Income per capita,Total deciles,-0.096
2012-2017,Income per capita,Total deciles,0.083
2014-2019,Income per capita,Total deciles,-0.314
2010-2015,Income per capita,Lowest decile,-0.117
2011-2016,Income per capita,Lowest decile,-0.303
2012-2017,Income per capita,Lowest decile,1.07
2014-2019,Income per capita,Lowest decile,0.813
2010-2015,Income per capita,Second decile,0.102
2011-2016,Income per capita,Second decile,0.37
2012-2017,Income per capita,Second decile,0.562
2014-2019,Income per capita,Second decile,0.41
2010-2015,Income per capita,Third decile,0.321
2011-2016,Income per capita,Third decile,0.331
2012-2017,Income per capita,Third decile,0.352
2014-2019,Income per capita,Third decile,0.016
2010-2015,Income per capita,Fourth decile,0.421
2011-2016,Income per capita,Fourth decile,0.111
2012-2017,Income per capita,Fourth decile,0.178
2014-2019,Income per capita,Fourth decile,-0.077
