Year,Series,Demographic and geodemographic,Geography,GeoCode,Value
2021,Age,0 to 14 years,Alberta,48,13.8
2021,Age,15 to 64 years,Alberta,48,51.9
2021,Age,65 years and over,Alberta,48,10.7
2021,Gender,Men+,Alberta,48,38.0
2021,Gender,Women+,Alberta,48,38.5
2021,Total,Percentage of population within 500 metres of a public transit stop,Alberta,48,76.4
2021,Age,0 to 14 years,British Columbia,59,10.6
2021,Age,15 to 64 years,British Columbia,59,50.4
2021,Age,65 years and over,British Columbia,59,14.9
2021,Gender,Men+,British Columbia,59,37.0
2021,Gender,Women+,British Columbia,59,38.9
2021,Total,Percentage of population within 500 metres of a public transit stop,British Columbia,59,75.9
2021,Age,0 to 14 years,Canada,,11.8
2021,Age,15 to 64 years,Canada,,49.7
2021,Age,65 years and over,Canada,,13.6
2021,Gender,Men+,Canada,,37.6
2021,Gender,Women+,Canada,,39.3
2021,Total,Percentage of population within 500 metres of a public transit stop,Canada,,75.1
2021,Age,0 to 14 years,Manitoba,46,13.8
2021,Age,15 to 64 years,Manitoba,46,55.0
2021,Age,65 years and over,Manitoba,46,14.0
2021,Gender,Men+,Manitoba,46,40.7
2021,Gender,Women+,Manitoba,46,42.0
2021,Total,Percentage of population within 500 metres of a public transit stop,Manitoba,46,82.7
2021,Age,0 to 14 years,New Brunswick,13,7.5
2021,Age,15 to 64 years,New Brunswick,13,33.3
2021,Age,65 years and over,New Brunswick,13,10.3
2021,Gender,Men+,New Brunswick,13,24.6
2021,Gender,Women+,New Brunswick,13,26.5
2021,Total,Percentage of population within 500 metres of a public transit stop,New Brunswick,13,51.1
2021,Age,0 to 14 years,Newfoundland and Labrador,10,6.9
2021,Age,15 to 64 years,Newfoundland and Labrador,10,36.2
2021,Age,65 years and over,Newfoundland and Labrador,10,11.4
2021,Gender,Men+,Newfoundland and Labrador,10,26.3
2021,Gender,Women+,Newfoundland and Labrador,10,28.2
2021,Total,Percentage of population within 500 metres of a public transit stop,Newfoundland and Labrador,10,54.5
2021,Age,0 to 14 years,Northwest Territories,61,17.7
2021,Age,15 to 64 years,Northwest Territories,61,63.1
2021,Age,65 years and over,Northwest Territories,61,7.0
2021,Gender,Men+,Northwest Territories,61,43.7
2021,Gender,Women+,Northwest Territories,61,44.2
2021,Total,Percentage of population within 500 metres of a public transit stop,Northwest Territories,61,87.9
2021,Age,0 to 14 years,Nova Scotia,12,8.0
2021,Age,15 to 64 years,Nova Scotia,12,39.2
2021,Age,65 years and over,Nova Scotia,12,11.1
2021,Gender,Men+,Nova Scotia,12,28.1
2021,Gender,Women+,Nova Scotia,12,30.2
2021,Total,Percentage of population within 500 metres of a public transit stop,Nova Scotia,12,58.3
2021,Age,0 to 14 years,Ontario,24,11.4
2021,Age,15 to 64 years,Ontario,24,49.5
2021,Age,65 years and over,Ontario,24,12.9
2021,Gender,Men+,Ontario,24,35.9
2021,Gender,Women+,Ontario,24,37.9
2021,Total,Percentage of population within 500 metres of a public transit stop,Ontario,24,73.8
2021,Age,0 to 14 years,Prince Edward Island,11,5.3
2021,Age,15 to 64 years,Prince Edward Island,11,24.1
2021,Age,65 years and over,Prince Edward Island,11,7.9
2021,Gender,Men+,Prince Edward Island,11,19.5
2021,Gender,Women+,Prince Edward Island,11,21.2
2021,Total,Percentage of population within 500 metres of a public transit stop,Prince Edward Island,11,40.8
2021,Age,0 to 14 years,Quebec,24,12.6
2021,Age,15 to 64 years,Quebec,24,50.7
2021,Age,65 years and over,Quebec,24,15.9
2021,Gender,Men+,Quebec,24,38.7
2021,Gender,Women+,Quebec,24,40.5
2021,Total,Percentage of population within 500 metres of a public transit stop,Quebec,24,79.2
2021,Age,0 to 14 years,Saskatchewan,47,14.9
2021,Age,15 to 64 years,Saskatchewan,47,52.1
2021,Age,65 years and over,Saskatchewan,47,12.8
2021,Gender,Men+,Saskatchewan,47,78.1
2021,Gender,Women+,Saskatchewan,47,81.3
2021,Total,Percentage of population within 500 metres of a public transit stop,Saskatchewan,47,79.7
2021,Age,0 to 14 years,Yukon,60,13.2
2021,Age,15 to 64 years,Yukon,60,52.1
2021,Age,65 years and over,Yukon,60,10.1
2021,Gender,Men+,Yukon,60,37.0
2021,Gender,Women+,Yukon,60,38.5
2021,Total,Percentage of population within 500 metres of a public transit stop,Yukon,60,75.5
