Year,Series,Units,Geography,Value
1971/91,Ratio of land consumption rate to population growth rate,Ratio,,40488.42
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Abbotsford - Mission, British Columbia",100.58
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Barrie, Ontario",148.13
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Brantford, Ontario",810.76
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Calgary, Alberta",967.81
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Edmonton, Alberta",1934.16
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Greater Sudbury, Ontario",-4417.81
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Guelph, Ontario",210.18
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Halifax, Nova Scotia",1444.9
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Hamilton, Ontario",1860.95
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Kelowna, British Columbia",173.77
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Kingston, Ontario",708.51
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Kitchener - Cambridge - Waterloo, Ontario",539.6
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"London, Ontario",1244.41
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Moncton, New Brunswick",581.37
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Montreal, Quebec",9799.83
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Oshawa, Ontario",353.6
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Ottawa - Gatineau (Ontario part), Ontario",1522.61
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Ottawa - Gatineau (Quebec part), Quebec",658.36
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Peterborough, Ontario",529.92
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Quebec, Quebec",1495.08
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Regina, Saskatchewan",777.76
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Saguenay, Quebec",1823.94
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Saint John, New Brunswick",1455.36
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Saskatoon, Saskatchewan",714.05
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Sherbrooke, Quebec",613.62
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"St. Catharines - Niagara, Ontario",2858.01
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"St. John's, Newfoundland and Labrador",478.42
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Thunder Bay, Ontario",2061.08
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Toronto, Ontario",4666.47
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Trois-Rivières, Quebec",789.66
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Vancouver, British Columbia",2088.08
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Victoria, British Columbia",531.8
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Windsor, Ontario",8170.59
1971/91,Ratio of land consumption rate to population growth rate,Ratio,"Winnipeg, Manitoba",3119.87
1991/01,Ratio of land consumption rate to population growth rate,Ratio,,111404.49
1991/01,Ratio of land consumption rate to population growth rate,Ratio,"Abbotsford - Mission, British Columbia",499.99
1991/01,Ratio of land consumption rate to population growth rate,Ratio,"Barrie, Ontario",344.0
1991/01,Ratio of land consumption rate to population growth rate,Ratio,"Brantford, Ontario",2201.9
1991/01,Ratio of land consumption rate to population growth rate,Ratio,"Calgary, Alberta",2727.37
1991/01,Ratio of land consumption rate to population growth rate,Ratio,"Edmonton, Alberta",9522.56
