Year,Age at time of death,Sex,Causes of death,Value
2015,All ages,Both sexes,Malignant neoplasms,215.0
2015,All ages,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",4.3
2015,All ages,Both sexes,Diabetes mellitus,20.0
2015,All ages,Both sexes,Diseases of heart,143.8
2015,All ages,Both sexes,Influenza and pneumonia,21.3
2015,All ages,Both sexes,Acute bronchitis and bronchiolitis,0.2
2015,All ages,Both sexes,Chronic lower respiratory diseases,35.1
2015,All ages,Males,Malignant neoplasms,227.4
2015,All ages,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",4.7
2015,All ages,Males,Diabetes mellitus,22.2
2015,All ages,Males,Diseases of heart,153.6
2015,All ages,Males,Influenza and pneumonia,19.2
2015,All ages,Males,Acute bronchitis and bronchiolitis,0.2
2015,All ages,Males,Chronic lower respiratory diseases,35.1
2015,All ages,Females,Malignant neoplasms,202.8
2015,All ages,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",3.9
2015,All ages,Females,Diabetes mellitus,17.8
2015,All ages,Females,Diseases of heart,134.2
2015,All ages,Females,Influenza and pneumonia,23.3
2015,All ages,Females,Acute bronchitis and bronchiolitis,0.2
2015,All ages,Females,Chronic lower respiratory diseases,35.1
2015,1 to 14 years,Both sexes,Malignant neoplasms,2.4
2015,1 to 14 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,1 to 14 years,Both sexes,Diabetes mellitus,0.0
2015,1 to 14 years,Both sexes,Diseases of heart,0.3
2015,1 to 14 years,Both sexes,Influenza and pneumonia,0.3
2015,1 to 14 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,1 to 14 years,Both sexes,Chronic lower respiratory diseases,0.1
2015,1 to 14 years,Males,Malignant neoplasms,2.5
2015,1 to 14 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,1 to 14 years,Males,Diabetes mellitus,0.0
2015,1 to 14 years,Males,Diseases of heart,0.3
2015,1 to 14 years,Males,Influenza and pneumonia,0.4
