Year,Geography,GeoCode,Sex,Age group,Skill,Proficiency level,Value
2012,Canada,,Both sexes,Total age groups,Literacy,2 or below,48.5
2012,Canada,,Both sexes,Total age groups,Numeracy,2 or below,54.7
2012,Canada,,Both sexes,16 to 24 years,Literacy,2 or below,46.4
2012,Canada,,Both sexes,16 to 24 years,Numeracy,2 or below,53.4
2012,Canada,,Both sexes,25 to 34 years,Literacy,2 or below,39.9
2012,Canada,,Both sexes,25 to 34 years,Numeracy,2 or below,46.7
2012,Canada,,Both sexes,35 to 44 years,Literacy,2 or below,42.4
2012,Canada,,Both sexes,35 to 44 years,Numeracy,2 or below,49.0
2012,Canada,,Both sexes,45 to 54 years,Literacy,2 or below,52.9
2012,Canada,,Both sexes,45 to 54 years,Numeracy,2 or below,57.6
2012,Canada,,Both sexes,55 to 65 years,Literacy,2 or below,59.7
2012,Canada,,Both sexes,55 to 65 years,Numeracy,2 or below,65.8
2012,Canada,,Males,Total age groups,Literacy,2 or below,47.6
2012,Canada,,Males,Total age groups,Numeracy,2 or below,49.0
2012,Canada,,Males,16 to 24 years,Literacy,2 or below,47.1
2012,Canada,,Males,16 to 24 years,Numeracy,2 or below,49.9
2012,Canada,,Males,25 to 34 years,Literacy,2 or below,40.2
2012,Canada,,Males,25 to 34 years,Numeracy,2 or below,42.2
2012,Canada,,Males,35 to 44 years,Literacy,2 or below,42.2
2012,Canada,,Males,35 to 44 years,Numeracy,2 or below,43.1
2012,Canada,,Males,45 to 54 years,Literacy,2 or below,50.7
2012,Canada,,Males,45 to 54 years,Numeracy,2 or below,51.0
2012,Canada,,Males,55 to 65 years,Literacy,2 or below,57.3
2012,Canada,,Males,55 to 65 years,Numeracy,2 or below,58.2
2012,Canada,,Females,Total age groups,Literacy,2 or below,49.4
2012,Canada,,Females,Total age groups,Numeracy,2 or below,60.4
2012,Canada,,Females,16 to 24 years,Literacy,2 or below,45.6
2012,Canada,,Females,16 to 24 years,Numeracy,2 or below,57.0
2012,Canada,,Females,25 to 34 years,Literacy,2 or below,39.6
2012,Canada,,Females,25 to 34 years,Numeracy,2 or below,51.2
2012,Canada,,Females,35 to 44 years,Literacy,2 or below,42.7
2012,Canada,,Females,35 to 44 years,Numeracy,2 or below,55.0
2012,Canada,,Females,45 to 54 years,Literacy,2 or below,55.2
2012,Canada,,Females,45 to 54 years,Numeracy,2 or below,64.3
2012,Canada,,Females,55 to 65 years,Literacy,2 or below,62.1
2012,Canada,,Females,55 to 65 years,Numeracy,2 or below,73.1
2012,Newfoundland and Labrador,10,Both sexes,Total age groups,Literacy,2 or below,56.8
2012,Newfoundland and Labrador,10,Both sexes,Total age groups,Numeracy,2 or below,65.5
2012,Newfoundland and Labrador,10,Both sexes,16 to 24 years,Literacy,2 or below,48.5
2012,Newfoundland and Labrador,10,Both sexes,16 to 24 years,Numeracy,2 or below,54.6
2012,Newfoundland and Labrador,10,Both sexes,25 to 34 years,Literacy,2 or below,42.5
2012,Newfoundland and Labrador,10,Both sexes,25 to 34 years,Numeracy,2 or below,51.9
2012,Newfoundland and Labrador,10,Both sexes,35 to 44 years,Literacy,2 or below,48.1
2012,Newfoundland and Labrador,10,Both sexes,35 to 44 years,Numeracy,2 or below,56.7
2012,Newfoundland and Labrador,10,Both sexes,45 to 54 years,Literacy,2 or below,61.4
2012,Newfoundland and Labrador,10,Both sexes,45 to 54 years,Numeracy,2 or below,71.4
2012,Newfoundland and Labrador,10,Both sexes,55 to 65 years,Literacy,2 or below,73.4
2012,Newfoundland and Labrador,10,Both sexes,55 to 65 years,Numeracy,2 or below,82.1
2012,Newfoundland and Labrador,10,Males,Total age groups,Literacy,2 or below,57.3
2012,Newfoundland and Labrador,10,Males,Total age groups,Numeracy,2 or below,62.2
2012,Newfoundland and Labrador,10,Males,16 to 24 years,Literacy,2 or below,50.8
