Year,Geography,Marital status,Age group,Value
1996,Alberta,Married or living common law,15 to 19 years,4.64
1996,Alberta,Married or living common law,20 to 24 years,33.7
1996,Alberta,Married,15 to 19 years,1.1
1996,Alberta,Married,20 to 24 years,18.26
1996,Alberta,Living common law,15 to 19 years,3.54
1996,Alberta,Living common law,20 to 24 years,15.44
1996,British Columbia,Married or living common law,15 to 19 years,3.39
1996,British Columbia,Married or living common law,20 to 24 years,27.99
1996,British Columbia,Married,15 to 19 years,0.87
1996,British Columbia,Married,20 to 24 years,15.07
1996,British Columbia,Living common law,15 to 19 years,2.51
1996,British Columbia,Living common law,20 to 24 years,12.92
1996,Canada,Married or living common law,15 to 19 years,3.41
1996,Canada,Married or living common law,20 to 24 years,27.77
1996,Canada,Married,15 to 19 years,0.78
1996,Canada,Married,20 to 24 years,13.18
1996,Canada,Living common law,15 to 19 years,2.64
1996,Canada,Living common law,20 to 24 years,14.6
1996,Manitoba,Married or living common law,15 to 19 years,4.26
1996,Manitoba,Married or living common law,20 to 24 years,30.53
1996,Manitoba,Married,15 to 19 years,1.12
1996,Manitoba,Married,20 to 24 years,16.96
1996,Manitoba,Living common law,15 to 19 years,3.14
1996,Manitoba,Living common law,20 to 24 years,13.57
1996,New Brunswick,Married or living common law,15 to 19 years,3.66
1996,New Brunswick,Married or living common law,20 to 24 years,31.38
1996,New Brunswick,Married,15 to 19 years,0.69
1996,New Brunswick,Married,20 to 24 years,13.42
1996,New Brunswick,Living common law,15 to 19 years,2.97
1996,New Brunswick,Living common law,20 to 24 years,17.96
1996,Newfoundland and Labrador,Married or living common law,15 to 19 years,2.16
1996,Newfoundland and Labrador,Married or living common law,20 to 24 years,24.37
1996,Newfoundland and Labrador,Married,15 to 19 years,0.42
1996,Newfoundland and Labrador,Married,20 to 24 years,10.93
1996,Newfoundland and Labrador,Living common law,15 to 19 years,1.76
1996,Newfoundland and Labrador,Living common law,20 to 24 years,13.44
1996,Northwest Territories,Married or living common law,15 to 19 years,11.15
1996,Northwest Territories,Married or living common law,20 to 24 years,45.45
