Year,Economic activity,Units,Value
2006,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.4
2007,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.4
2008,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.46
2009,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.4
2010,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.18
2011,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.21
2012,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.22
2013,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.26
2014,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.25
2015,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.37
2016,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.32
2017,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.29
2018,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.26
2019,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.27
2020,Agriculture (ISIC4 A01 A0210 A0322),United States dollars per cubic meter (USD/m3),0.24
2000,Industries,United States dollars per cubic meter (USD/m3),9.93
2001,Industries,United States dollars per cubic meter (USD/m3),9.65
2002,Industries,United States dollars per cubic meter (USD/m3),9.53
2003,Industries,United States dollars per cubic meter (USD/m3),9.73
2004,Industries,United States dollars per cubic meter (USD/m3),10.2
2005,Industries,United States dollars per cubic meter (USD/m3),10.78
2006,Industries,United States dollars per cubic meter (USD/m3),10.88
2007,Industries,United States dollars per cubic meter (USD/m3),10.94
2008,Industries,United States dollars per cubic meter (USD/m3),11.68
2009,Industries,United States dollars per cubic meter (USD/m3),9.85
2010,Industries,United States dollars per cubic meter (USD/m3),10.97
2011,Industries,United States dollars per cubic meter (USD/m3),11.93
2012,Industries,United States dollars per cubic meter (USD/m3),12.14
2013,Industries,United States dollars per cubic meter (USD/m3),12.66
2014,Industries,United States dollars per cubic meter (USD/m3),13.6
2015,Industries,United States dollars per cubic meter (USD/m3),12.4
2016,Industries,United States dollars per cubic meter (USD/m3),11.88
2017,Industries,United States dollars per cubic meter (USD/m3),12.75
2018,Industries,United States dollars per cubic meter (USD/m3),13.4
2019,Industries,United States dollars per cubic meter (USD/m3),13.24
2020,Industries,United States dollars per cubic meter (USD/m3),12.68
2006,Total (Overall),United States dollars per cubic meter (USD/m3),30.16
2007,Total (Overall),United States dollars per cubic meter (USD/m3),30.77
2008,Total (Overall),United States dollars per cubic meter (USD/m3),32.16
2009,Total (Overall),United States dollars per cubic meter (USD/m3),32.19
2010,Total (Overall),United States dollars per cubic meter (USD/m3),31.78
2011,Total (Overall),United States dollars per cubic meter (USD/m3),33.74
2012,Total (Overall),United States dollars per cubic meter (USD/m3),35.24
2013,Total (Overall),United States dollars per cubic meter (USD/m3),37.09
2014,Total (Overall),United States dollars per cubic meter (USD/m3),39.34
2015,Total (Overall),United States dollars per cubic meter (USD/m3),40.49
2016,Total (Overall),United States dollars per cubic meter (USD/m3),40.2
2017,Total (Overall),United States dollars per cubic meter (USD/m3),40.75
2018,Total (Overall),United States dollars per cubic meter (USD/m3),41.99
2019,Total (Overall),United States dollars per cubic meter (USD/m3),42.64
2020,Total (Overall),United States dollars per cubic meter (USD/m3),40.38
2000,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),134.69
2001,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),138.4
2002,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),142.36
2003,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),143.59
2004,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),145.26
2005,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),147.79
2006,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),151.71
2007,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),154.5
2008,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),160.07
2009,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),170.61
