Year,Geography,Type of electricity generation,GeoCode,Value
2015,,,,63.523
2016,,,,64.071
2017,,,,65.307
2018,,,,65.155
2019,,,,65.0
2020,,,,66.352
2021,,,,66.509
2015,Canada,Hydraulic turbine,,59.107
2015,Canada,Tidal power turbine,,0.002
2015,Canada,Wind power turbine,,4.169
2015,Canada,Solar,,0.223
2015,Canada,Other types of electricity generation,,0.022
2015,Newfoundland and Labrador,"Total hydro, tidal, wind, solar and other generation",10,95.462
2015,Newfoundland and Labrador,Hydraulic turbine,10,95.049
2015,Newfoundland and Labrador,Wind power turbine,10,0.413
2015,Prince Edward Island,"Total hydro, tidal, wind, solar and other generation",11,98.403
2015,Prince Edward Island,Wind power turbine,11,98.403
2015,Nova Scotia,"Total hydro, tidal, wind, solar and other generation",12,17.902
2015,Nova Scotia,Hydraulic turbine,12,9.87
2015,Nova Scotia,Tidal power turbine,12,0.125
2015,Nova Scotia,Wind power turbine,12,7.907
2015,New Brunswick,"Total hydro, tidal, wind, solar and other generation",13,24.442
2015,New Brunswick,Hydraulic turbine,13,18.76
2015,New Brunswick,Wind power turbine,13,5.682
2015,New Brunswick,Other types of electricity generation,13,0.0
2015,Quebec,"Total hydro, tidal, wind, solar and other generation",24,99.168
2015,Quebec,Hydraulic turbine,24,95.996
2015,Quebec,Wind power turbine,24,3.171
2015,Quebec,Solar,24,0.001
2015,Quebec,Other types of electricity generation,24,0.0
2015,Ontario,"Total hydro, tidal, wind, solar and other generation",35,30.311
2015,Ontario,Hydraulic turbine,35,22.192
2015,Ontario,Wind power turbine,35,7.216
2015,Ontario,Solar,35,0.903
2015,Ontario,Other types of electricity generation,35,0.0
2015,Manitoba,"Total hydro, tidal, wind, solar and other generation",46,99.251
2015,Manitoba,Hydraulic turbine,46,96.737
2015,Manitoba,Wind power turbine,46,2.513
2015,Saskatchewan,"Total hydro, tidal, wind, solar and other generation",47,17.274
2015,Saskatchewan,Hydraulic turbine,47,14.627
2015,Saskatchewan,Wind power turbine,47,2.647
2015,Saskatchewan,Other types of electricity generation,47,0.0
2015,Alberta,"Total hydro, tidal, wind, solar and other generation",48,7.669
2015,Alberta,Hydraulic turbine,48,2.443
2015,Alberta,Wind power turbine,48,5.053
2015,Alberta,Solar,48,0.0
2015,Alberta,Other types of electricity generation,48,0.172
2015,British Columbia,"Total hydro, tidal, wind, solar and other generation",59,91.774
2015,British Columbia,Hydraulic turbine,59,90.565
2015,British Columbia,Wind power turbine,59,1.209
2015,British Columbia,Solar,59,0.0
2015,British Columbia,Other types of electricity generation,59,0.0
2015,Yukon,"Total hydro, tidal, wind, solar and other generation",60,94.299
2015,Yukon,Hydraulic turbine,60,94.154
2015,Yukon,Wind power turbine,60,0.145
2015,Northwest Territories,"Total hydro, tidal, wind, solar and other generation",61,25.01
2015,Northwest Territories,Hydraulic turbine,61,22.182
2015,Northwest Territories,Wind power turbine,61,2.81
2015,Northwest Territories,Solar,61,0.019
2016,Canada,Hydraulic turbine,,59.03
2016,Canada,Tidal power turbine,,0.003
2016,Canada,Wind power turbine,,4.736
2016,Canada,Solar,,0.275
2016,Canada,Other types of electricity generation,,0.027
2016,Newfoundland and Labrador,"Total hydro, tidal, wind, solar and other generation",10,94.802
2016,Newfoundland and Labrador,Hydraulic turbine,10,94.348
2016,Newfoundland and Labrador,Wind power turbine,10,0.454
2016,Prince Edward Island,"Total hydro, tidal, wind, solar and other generation",11,98.361
2016,Prince Edward Island,Wind power turbine,11,98.361
2016,Prince Edward Island,Solar,11,0.0
2016,Nova Scotia,"Total hydro, tidal, wind, solar and other generation",12,18.439
2016,Nova Scotia,Hydraulic turbine,12,8.13
2016,Nova Scotia,Tidal power turbine,12,0.188
2016,Nova Scotia,Wind power turbine,12,10.121
2016,New Brunswick,"Total hydro, tidal, wind, solar and other generation",13,26.46
2016,New Brunswick,Hydraulic turbine,13,21.426
2016,New Brunswick,Wind power turbine,13,5.033
2016,New Brunswick,Other types of electricity generation,13,0.0
2016,Quebec,"Total hydro, tidal, wind, solar and other generation",24,98.919
2016,Quebec,Hydraulic turbine,24,94.245
2016,Quebec,Wind power turbine,24,4.673
2016,Quebec,Solar,24,0.001
