Year,Geography,GeoCode,Value
2015,Alberta,48,-4.9
2016,Alberta,48,-4.82
2017,Alberta,48,3.15
2018,Alberta,48,0.65
2019,Alberta,48,-1.33
2020,Alberta,48,-9.26
2021,Alberta,48,4.26
2022,Alberta,48,2.79
2015,British Columbia,59,0.84
2016,British Columbia,59,1.19
2017,British Columbia,59,2.18
2018,British Columbia,59,2.07
2019,British Columbia,59,1.12
2020,British Columbia,59,-4.27
2021,British Columbia,59,5.28
2022,British Columbia,59,1.31
2015,,,0.07
2016,,,-0.07
2017,,,1.88
2018,,,1.43
2019,,,0.56
2020,,,-6.15
2021,,,4.42
2022,,,1.74
2015,Manitoba,46,0.35
2016,Manitoba,46,-0.2
2017,Manitoba,46,1.73
2018,Manitoba,46,0.63
2019,Manitoba,46,-0.1
2020,Manitoba,46,-5.05
2021,Manitoba,46,0.82
2022,Manitoba,46,2.6
2015,New Brunswick,13,0.83
2016,New Brunswick,13,0.33
2017,New Brunswick,13,1.92
2018,New Brunswick,13,0.85
2019,New Brunswick,13,0.42
2020,New Brunswick,13,-3.52
2021,New Brunswick,13,4.83
2022,New Brunswick,13,-0.88
2015,Newfoundland and Labrador,10,-1.08
2016,Newfoundland and Labrador,10,1.29
2017,Newfoundland and Labrador,10,1.48
2018,Newfoundland and Labrador,10,-2.35
2019,Newfoundland and Labrador,10,4.4
2020,Newfoundland and Labrador,10,-4.35
2021,Newfoundland and Labrador,10,0.78
2022,Newfoundland and Labrador,10,-2.72
2015,Northwest Territories,61,0.21
2016,Northwest Territories,61,-2.02
2017,Northwest Territories,61,3.08
2018,Northwest Territories,61,1.15
2019,Northwest Territories,61,-4.33
2020,Northwest Territories,61,-10.72
2021,Northwest Territories,61,4.27
2022,Northwest Territories,61,1.44
2015,Nova Scotia,12,0.98
2016,Nova Scotia,12,0.69
2017,Nova Scotia,12,1.26
2018,Nova Scotia,12,0.85
2019,Nova Scotia,12,2.12
2020,Nova Scotia,12,-4.68
2021,Nova Scotia,12,5.16
2022,Nova Scotia,12,-0.28
2015,Nunavut,62,-1.82
2016,Nunavut,62,3.98
2017,Nunavut,62,11.47
2018,Nunavut,62,2.85
2019,Nunavut,62,6.56
2020,Nunavut,62,-0.23
2021,Nunavut,62,6.41
2022,Nunavut,62,-0.47
2015,Ontario,35,1.98
2016,Ontario,35,1.01
2017,Ontario,35,1.33
2018,Ontario,35,1.68
2019,Ontario,35,0.58
2020,Ontario,35,-5.99
2021,Ontario,35,4.46
2022,Ontario,35,1.51
2015,Prince Edward Island,11,1.26
2016,Prince Edward Island,11,0.46
2017,Prince Edward Island,11,2.1
2018,Prince Edward Island,11,-0.29
2019,Prince Edward Island,11,1.92
2020,Prince Edward Island,11,-4.05
2021,Prince Edward Island,11,5.64
2022,Prince Edward Island,11,-0.7
2015,Quebec,24,0.69
2016,Quebec,24,0.99
2017,Quebec,24,1.91
2018,Quebec,24,1.89
2019,Quebec,24,1.71
2020,Quebec,24,-5.89
2021,Quebec,24,5.65
2022,Quebec,24,1.5
2015,Saskatchewan,47,-1.46
2016,Saskatchewan,47,-1.64
2017,Saskatchewan,47,1.0
2018,Saskatchewan,47,0.56
2019,Saskatchewan,47,-1.39
2020,Saskatchewan,47,-5.45
2021,Saskatchewan,47,-0.91
2022,Saskatchewan,47,4.51
2015,Yukon,60,-8.95
2016,Yukon,60,4.83
2017,Yukon,60,-0.76
2018,Yukon,60,0.44
2019,Yukon,60,-3.32
2020,Yukon,60,1.72
2021,Yukon,60,7.19
2022,Yukon,60,2.03
