Year,Units,Value
2015,"Number of commercial bank branches per 100,000 adults",22.84
2016,"Number of commercial bank branches per 100,000 adults",22.25
2017,"Number of commercial bank branches per 100,000 adults",20.75
2018,"Number of commercial bank branches per 100,000 adults",20.13
2019,"Number of commercial bank branches per 100,000 adults",19.73
2020,"Number of commercial bank branches per 100,000 adults",20.15
2021,"Number of commercial bank branches per 100,000 adults",20.69
2015,"Number of automated teller machines (ATMs) per 100,000 adults",221.49
2016,"Number of automated teller machines (ATMs) per 100,000 adults",223.89
2017,"Number of automated teller machines (ATMs) per 100,000 adults",228.42
2018,"Number of automated teller machines (ATMs) per 100,000 adults",219.96
2019,"Number of automated teller machines (ATMs) per 100,000 adults",214.08
2020,"Number of automated teller machines (ATMs) per 100,000 adults",210.06
2021,"Number of automated teller machines (ATMs) per 100,000 adults",212.44
