Year,Units,Geography,GeoCode,Value
2015,Percentage (%),,,11.49
2015,Percentage (%),Newfoundland and Labrador,10,8.78
2015,Percentage (%),Prince Edward Island,11,11.67
2015,Percentage (%),Nova Scotia,12,7.37
2015,Percentage (%),New Brunswick,13,8.4
2015,Percentage (%),Quebec,24,15.01
2015,Percentage (%),Ontario,35,13.46
2015,Percentage (%),Manitoba,46,11.52
2015,Percentage (%),Saskatchewan,47,5.58
2015,Percentage (%),Alberta,48,8.65
2015,Percentage (%),British Columbia,59,7.49
2015,Percentage (%),Yukon,60,0.67
2015,Percentage (%),Northwest Territories,61,
2015,Percentage (%),Nunavut,62,
2016,Percentage (%),,,11.2
2016,Percentage (%),Newfoundland and Labrador,10,5.29
2016,Percentage (%),Prince Edward Island,11,11.01
2016,Percentage (%),Nova Scotia,12,8.35
2016,Percentage (%),New Brunswick,13,10.12
2016,Percentage (%),Quebec,24,14.86
2016,Percentage (%),Ontario,35,12.96
2016,Percentage (%),Manitoba,46,10.28
2016,Percentage (%),Saskatchewan,47,6.2
2016,Percentage (%),Alberta,48,8.14
2016,Percentage (%),British Columbia,59,7.34
2016,Percentage (%),Yukon,60,0.67
2016,Percentage (%),Northwest Territories,61,
2016,Percentage (%),Nunavut,62,
2017,Percentage (%),,,11.29
2017,Percentage (%),Newfoundland and Labrador,10,5.39
2017,Percentage (%),Prince Edward Island,11,11.03
2017,Percentage (%),Nova Scotia,12,7.42
2017,Percentage (%),New Brunswick,13,11.17
2017,Percentage (%),Quebec,24,15.11
2017,Percentage (%),Ontario,35,13.05
2017,Percentage (%),Manitoba,46,10.25
2017,Percentage (%),Saskatchewan,47,5.92
2017,Percentage (%),Alberta,48,8.13
2017,Percentage (%),British Columbia,59,7.71
2017,Percentage (%),Yukon,60,0.66
2017,Percentage (%),Northwest Territories,61,0.33
2017,Percentage (%),Nunavut,62,0.35
2018,Percentage (%),,,11.54
2018,Percentage (%),Newfoundland and Labrador,10,5.16
2018,Percentage (%),Prince Edward Island,11,11.69
2018,Percentage (%),Nova Scotia,12,6.44
2018,Percentage (%),New Brunswick,13,11.99
2018,Percentage (%),Quebec,24,15.01
2018,Percentage (%),Ontario,35,13.25
2018,Percentage (%),Manitoba,46,10.7
2018,Percentage (%),Saskatchewan,47,6.36
2018,Percentage (%),Alberta,48,9.13
2018,Percentage (%),British Columbia,59,7.81
2018,Percentage (%),Yukon,60,0.67
2018,Percentage (%),Northwest Territories,61,0.26
2018,Percentage (%),Nunavut,62,0.42
2019,Percentage (%),,,11.11
2019,Percentage (%),Newfoundland and Labrador,10,5.19
2019,Percentage (%),Prince Edward Island,11,11.39
2019,Percentage (%),Nova Scotia,12,6.21
2019,Percentage (%),New Brunswick,13,10.81
2019,Percentage (%),Quebec,24,15.2
2019,Percentage (%),Ontario,35,12.63
2019,Percentage (%),Manitoba,46,10.84
2019,Percentage (%),Saskatchewan,47,6.54
2019,Percentage (%),Alberta,48,8.42
2019,Percentage (%),British Columbia,59,6.9
2019,Percentage (%),Yukon,60,0.65
2019,Percentage (%),Northwest Territories,61,0.3
2019,Percentage (%),Nunavut,62,0.43
2020,Percentage (%),,,10.63
2020,Percentage (%),Newfoundland and Labrador,10,4.75
2020,Percentage (%),Prince Edward Island,11,12.62
2020,Percentage (%),Nova Scotia,12,6.25
2020,Percentage (%),New Brunswick,13,11.34
