Year,Geography,Industry,GeoCode,Value
2015,,,,9.49
2016,,,,9.28
2017,,,,9.26
2018,,,,9.32
2019,,,,9.3
2020,,,,9.31
2021,,,,9.18
2022,,,,8.87
2015,Canada,Non-durable goods,,3.84
2015,Canada,Food manufacturing,,1.4
2015,Canada,Animal food manufacturing,,0.06
2015,Canada,Grain and oilseed milling,,0.05
2015,Canada,Sugar and confectionery product manufacturing,,0.07
2015,Canada,Fruit and vegetable preserving and specialty food manufacturing,,0.11
2015,Canada,Dairy product manufacturing,,0.15
2015,Canada,Meat product manufacturing,,0.36
2015,Canada,Seafood product preparation and packaging,,0.15
2015,Canada,Bakeries and tortilla manufacturing,,0.28
2015,Canada,Other food manufacturing,,0.18
2015,Canada,Beverage and tobacco product manufacturing,,0.22
2015,Canada,Beverage manufacturing,,0.2
2015,Canada,Tobacco manufacturing,,0.02
2015,Canada,Cannabis product manufacturing,,
2015,Canada,Textile mills,,0.05
2015,Canada,"Fibre, yarn and thread mills",,0.01
2015,Canada,Fabric mills,,0.03
2015,Canada,Textile and fabric finishing and fabric coating,,0.01
2015,Canada,Textile product mills,,0.06
2015,Canada,Textile furnishings mills,,0.02
2015,Canada,Other textile product mills,,0.04
2015,Canada,Apparel manufacturing,,0.13
2015,Canada,Apparel knitting mills,,0.01
2015,Canada,Cut and sew clothing manufacturing,,0.1
2015,Canada,Clothing accessories and other clothing manufacturing,,0.01
2015,Canada,Leather and allied product manufacturing,,0.02
2015,Canada,Leather and hide tanning and finishing,,0.0
2015,Canada,Footwear manufacturing,,0.01
2015,Canada,Other leather and allied product manufacturing,,0.01
2015,Canada,Paper manufacturing,,0.35
2015,Canada,"Pulp, paper and paperboard mills",,0.17
2015,Canada,Converted paper product manufacturing,,0.18
2015,Canada,Printing and related support activities,,0.31
2015,Canada,Petroleum and coal product manufacturing,,0.12
2015,Canada,Chemical manufacturing,,0.56
2015,Canada,Basic chemical manufacturing,,0.08
2015,Canada,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",,0.04
2015,Canada,"Pesticide, fertilizer and other agricultural chemical manufacturing",,0.05
