Year,Value,Units,Series,GeoCode
2015,85.07,Percentage (%),"Proportion of employed labour force eligible for workers' compensation benefits
",
2016,84.38,Percentage (%),"Proportion of employed labour force eligible for workers' compensation benefits
",
2017,84.4,Percentage (%),"Proportion of employed labour force eligible for workers' compensation benefits
",
2018,84.67,Percentage (%),"Proportion of employed labour force eligible for workers' compensation benefits
",
2019,84.52,Percentage (%),"Proportion of employed labour force eligible for workers' compensation benefits
",
2020,83.33,Percentage (%),"Proportion of employed labour force eligible for workers' compensation benefits
",
2021,83.62,Percentage (%),"Proportion of employed labour force eligible for workers' compensation benefits
",
2015,90.0,Percentage (%),"Proportion of economic families with children receiving a child benefit
",
2018,90.0,Percentage (%),"Proportion of economic families with children receiving a child benefit
",
2017,42.1,Ratio,"Ratio of unemployed receiving benefits
",
2018,39.3,Ratio,"Ratio of unemployed receiving benefits
",
2017,84.3,Percentage (%),"Proportion of the unemployed eligible for Employment Insurance benefits
",
2018,87.4,Percentage (%),"Proportion of the unemployed eligible for Employment Insurance benefits
",
2017,93.4,Percentage (%),"Proportion of older persons receiving a pension
",
2018,93.7,Percentage (%),"Proportion of older persons receiving a pension
",
2017,70.6,Percentage (%),"Percentage of mothers with a child aged 12 months or less that received maternity or parental benefits
",
2018,66.6,Percentage (%),"Percentage of mothers with a child aged 12 months or less that received maternity or parental benefits
",
