Year,Value,Units,Series
2015,50.68,"Rate per 100,000 population","Rate per 100,000 population"
2016,264.06,"Rate per 100,000 population","Rate per 100,000 population"
2017,197.88,"Rate per 100,000 population","Rate per 100,000 population"
2018,43.89,"Rate per 100,000 population","Rate per 100,000 population"
2019,63.83,"Rate per 100,000 population","Rate per 100,000 population"
2020,35.4,"Rate per 100,000 population","Rate per 100,000 population"
2015,18094.0,Number,Number
2016,95351.0,Number,Number
2017,72317.0,Number,Number
2018,16268.0,Number,Number
2019,24001.0,Number,Number
2020,13454.0,Number,Number
