Year,Value,Series
2012,25.621,Official development assistance on conservation and sustainable use of biodiversity
2013,0.983,Official development assistance on conservation and sustainable use of biodiversity
2014,0.938,Official development assistance on conservation and sustainable use of biodiversity
2015,0.553,Official development assistance on conservation and sustainable use of biodiversity
2016,1.779,Official development assistance on conservation and sustainable use of biodiversity
2017,0.03,Official development assistance on conservation and sustainable use of biodiversity
2018,0.632,Official development assistance on conservation and sustainable use of biodiversity
2019,1.909,Official development assistance on conservation and sustainable use of biodiversity
2020,3.919,Official development assistance on conservation and sustainable use of biodiversity
2021,5.73,Official development assistance on conservation and sustainable use of biodiversity
