Year,Value,Series
2015,22.91,"Number of commercial bank branches per 100,000 adults"
2016,22.34,"Number of commercial bank branches per 100,000 adults"
2017,20.83,"Number of commercial bank branches per 100,000 adults"
2018,20.18,"Number of commercial bank branches per 100,000 adults"
2019,19.76,"Number of commercial bank branches per 100,000 adults"
2020,20.19,"Number of commercial bank branches per 100,000 adults"
2021,20.7,"Number of commercial bank branches per 100,000 adults"
2022,19.77,"Number of commercial bank branches per 100,000 adults"
2015,222.14,"Number of automated teller machines (ATMs) per 100,000 adults"
2016,224.76,"Number of automated teller machines (ATMs) per 100,000 adults"
2017,229.25,"Number of automated teller machines (ATMs) per 100,000 adults"
2018,220.53,"Number of automated teller machines (ATMs) per 100,000 adults"
2019,214.43,"Number of automated teller machines (ATMs) per 100,000 adults"
2020,210.45,"Number of automated teller machines (ATMs) per 100,000 adults"
2021,212.5,"Number of automated teller machines (ATMs) per 100,000 adults"
2022,206.07,"Number of automated teller machines (ATMs) per 100,000 adults"
