Year,Series,Centile,Value
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,1.307
2011-2016,Dépenses des ménages par habitant,Tous les quintiles,1.376
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,1.519
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,1.929
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,1.846
2011-2016,Dépenses des ménages par habitant,Quintile inférieur,1.246
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,2.029
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,1.97
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,1.434
2011-2016,Dépenses des ménages par habitant,Deuxième quintile,0.483
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,2.442
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,1.924
2010-2015,Revenu par habitant,Total des déciles,0.236
2011-2016,Revenu par habitant,Total des déciles,-0.054
2012-2017,Revenu par habitant,Total des déciles,0.047
2014-2019,Revenu par habitant,Total des déciles,-0.354
2010-2015,Revenu par habitant,Décile inférieur,-0.006
2011-2016,Revenu par habitant,Décile inférieur,-0.328
2012-2017,Revenu par habitant,Décile inférieur,0.998
2014-2019,Revenu par habitant,Décile inférieur,0.997
2010-2015,Revenu par habitant,Deuxième décile,0.146
2011-2016,Revenu par habitant,Deuxième décile,0.402
2012-2017,Revenu par habitant,Deuxième décile,0.586
2014-2019,Revenu par habitant,Deuxième décile,0.423
2010-2015,Revenu par habitant,Troisième décile,0.341
2011-2016,Revenu par habitant,Troisième décile,0.349
2012-2017,Revenu par habitant,Troisième décile,0.369
2014-2019,Revenu par habitant,Troisième décile,-0.033
2010-2015,Revenu par habitant,Quatrième décile,0.427
2011-2016,Revenu par habitant,Quatrième décile,0.125
2012-2017,Revenu par habitant,Quatrième décile,0.138
2014-2019,Revenu par habitant,Quatrième décile,-0.123
