Year,Géographie,Personnes à faible revenu,GeoCode,Value
2015,,,,14.3
2016,,,,13.0
2017,,,,12.6
2018,,,,12.4
2019,,,,12.1
2020,,,,9.3
2021,,,,10.6
2015,Canada,Personnes de moins de 18 ans,,15.3
2015,Canada,Personnes de 18 à 64 ans,,13.9
2015,Canada,Personnes de 65 ans et plus,,14.6
2015,Canada,Hommes,,13.7
2015,Canada,"Hommes, moins de 18 ans",,15.2
2015,Canada,"Hommes, 18 à 64 ans",,13.6
2015,Canada,"Hommes, 65 ans et plus",,12.2
2015,Canada,Femmes,,14.8
2015,Canada,"Femmes, moins de 18 ans",,15.5
2015,Canada,"Femmes, 18 à 64 ans",,14.1
2015,Canada,"Femmes, 65 ans et plus",,16.6
2015,Provinces de l'Atlantique,Toutes les personnes,,16.9
2015,Provinces de l'Atlantique,Personnes de moins de 18 ans,,17.8
2015,Provinces de l'Atlantique,Personnes de 18 à 64 ans,,15.0
2015,Provinces de l'Atlantique,Personnes de 65 ans et plus,,22.3
2015,Provinces de l'Atlantique,Hommes,,15.7
2015,Provinces de l'Atlantique,"Hommes, moins de 18 ans",,17.1
2015,Provinces de l'Atlantique,"Hommes, 18 à 64 ans",,14.5
2015,Provinces de l'Atlantique,"Hommes, 65 ans et plus",,18.3
2015,Provinces de l'Atlantique,Femmes,,18.0
2015,Provinces de l'Atlantique,"Femmes, moins de 18 ans",,18.5
2015,Provinces de l'Atlantique,"Femmes, 18 à 64 ans",,15.5
2015,Provinces de l'Atlantique,"Femmes, 65 ans et plus",,25.8
2015,Terre-Neuve-et-Labrador,Toutes les personnes,10,15.9
2015,Terre-Neuve-et-Labrador,Personnes de moins de 18 ans,,16.5
2015,Terre-Neuve-et-Labrador,Personnes de 18 à 64 ans,,12.3
2015,Terre-Neuve-et-Labrador,Personnes de 65 ans et plus,,27.8
2015,Terre-Neuve-et-Labrador,Hommes,,13.6
2015,Terre-Neuve-et-Labrador,"Hommes, moins de 18 ans",,15.6
2015,Terre-Neuve-et-Labrador,"Hommes, 18 à 64 ans",,10.5
2015,Terre-Neuve-et-Labrador,"Hommes, 65 ans et plus",,23.1
2015,Terre-Neuve-et-Labrador,Femmes,,18.1
2015,Terre-Neuve-et-Labrador,"Femmes, moins de 18 ans",,17.6
2015,Terre-Neuve-et-Labrador,"Femmes, 18 à 64 ans",,14.1
2015,Terre-Neuve-et-Labrador,"Femmes, 65 ans et plus",,32.0
2015,Île-du-Prince-Édouard,Toutes les personnes,11,16.8
2015,Île-du-Prince-Édouard,Personnes de moins de 18 ans,,18.0
2015,Île-du-Prince-Édouard,Personnes de 18 à 64 ans,,15.1
2015,Île-du-Prince-Édouard,Personnes de 65 ans et plus,,21.3
2015,Île-du-Prince-Édouard,Hommes,,15.2
2015,Île-du-Prince-Édouard,"Hommes, moins de 18 ans",,16.0
2015,Île-du-Prince-Édouard,"Hommes, 18 à 64 ans",,15.4
2015,Île-du-Prince-Édouard,"Hommes, 65 ans et plus",,13.9
2015,Île-du-Prince-Édouard,Femmes,,18.3
2015,Île-du-Prince-Édouard,"Femmes, moins de 18 ans",,19.9
2015,Île-du-Prince-Édouard,"Femmes, 18 à 64 ans",,14.9
2015,Île-du-Prince-Édouard,"Femmes, 65 ans et plus",,27.7
2015,Nouvelle-Écosse,Toutes les personnes,12,17.3
2015,Nouvelle-Écosse,Personnes de moins de 18 ans,,18.1
2015,Nouvelle-Écosse,Personnes de 18 à 64 ans,,16.0
2015,Nouvelle-Écosse,Personnes de 65 ans et plus,,20.8
2015,Nouvelle-Écosse,Hommes,,16.2
2015,Nouvelle-Écosse,"Hommes, moins de 18 ans",,16.4
2015,Nouvelle-Écosse,"Hommes, 18 à 64 ans",,15.8
2015,Nouvelle-Écosse,"Hommes, 65 ans et plus",,17.1
2015,Nouvelle-Écosse,Femmes,,18.4
2015,Nouvelle-Écosse,"Femmes, moins de 18 ans",,20.0
2015,Nouvelle-Écosse,"Femmes, 18 à 64 ans",,16.3
2015,Nouvelle-Écosse,"Femmes, 65 ans et plus",,24.0
2015,Nouveau-Brunswick,Toutes les personnes,13,17.1
2015,Nouveau-Brunswick,Personnes de moins de 18 ans,,18.2
2015,Nouveau-Brunswick,Personnes de 18 à 64 ans,,15.7
2015,Nouveau-Brunswick,Personnes de 65 ans et plus,,20.5
2015,Nouveau-Brunswick,Hommes,,16.7
2015,Nouveau-Brunswick,"Hommes, moins de 18 ans",,19.3
2015,Nouveau-Brunswick,"Hommes, 18 à 64 ans",,15.8
2015,Nouveau-Brunswick,"Hommes, 65 ans et plus",,17.2
2015,Nouveau-Brunswick,Femmes,,17.5
2015,Nouveau-Brunswick,"Femmes, moins de 18 ans",,16.9
2015,Nouveau-Brunswick,"Femmes, 18 à 64 ans",,15.7
2015,Nouveau-Brunswick,"Femmes, 65 ans et plus",,23.4
2015,Québec,Toutes les personnes,24,16.1
2015,Québec,Personnes de moins de 18 ans,,16.0
2015,Québec,Personnes de 18 à 64 ans,,15.5
2015,Québec,Personnes de 65 ans et plus,,18.5
2015,Québec,Hommes,,15.3
2015,Québec,"Hommes, moins de 18 ans",,15.4
2015,Québec,"Hommes, 18 à 64 ans",,15.1
2015,Québec,"Hommes, 65 ans et plus",,15.8
2015,Québec,Femmes,,16.9
2015,Québec,"Femmes, moins de 18 ans",,16.5
2015,Québec,"Femmes, 18 à 64 ans",,15.9
2015,Québec,"Femmes, 65 ans et plus",,20.8
2015,Ontario,Toutes les personnes,35,14.2
2015,Ontario,Personnes de moins de 18 ans,,15.6
2015,Ontario,Personnes de 18 à 64 ans,,14.1
2015,Ontario,Personnes de 65 ans et plus,,12.7
2015,Ontario,Hommes,,13.7
2015,Ontario,"Hommes, moins de 18 ans",,16.5
2015,Ontario,"Hommes, 18 à 64 ans",,13.7
2015,Ontario,"Hommes, 65 ans et plus",,10.2
2015,Ontario,Femmes,,14.6
2015,Ontario,"Femmes, moins de 18 ans",,14.6
2015,Ontario,"Femmes, 18 à 64 ans",,14.5
2015,Ontario,"Femmes, 65 ans et plus",,14.8
2015,Provinces des Prairies,Toutes les personnes,,9.5
2015,Provinces des Prairies,Personnes de moins de 18 ans,,14.1
2015,Provinces des Prairies,Personnes de 18 à 64 ans,,8.3
2015,Provinces des Prairies,Personnes de 65 ans et plus,,8.0
2015,Provinces des Prairies,Hommes,,9.1
2015,Provinces des Prairies,"Hommes, moins de 18 ans",,13.4
2015,Provinces des Prairies,"Hommes, 18 à 64 ans",,8.1
2015,Provinces des Prairies,"Hommes, 65 ans et plus",,6.3
2015,Provinces des Prairies,Femmes,,9.9
2015,Provinces des Prairies,"Femmes, moins de 18 ans",,15.0
2015,Provinces des Prairies,"Femmes, 18 à 64 ans",,8.4
2015,Provinces des Prairies,"Femmes, 65 ans et plus",,9.4
2015,Manitoba,Toutes les personnes,46,16.0
2015,Manitoba,Personnes de moins de 18 ans,,23.1
2015,Manitoba,Personnes de 18 à 64 ans,,14.1
2015,Manitoba,Personnes de 65 ans et plus,,13.4
2015,Manitoba,Hommes,,16.4
2015,Manitoba,"Hommes, moins de 18 ans",,26.9
2015,Manitoba,"Hommes, 18 à 64 ans",,14.3
2015,Manitoba,"Hommes, 65 ans et plus",,8.9
2015,Manitoba,Femmes,,15.6
2015,Manitoba,"Femmes, moins de 18 ans",,19.3
2015,Manitoba,"Femmes, 18 à 64 ans",,13.9
2015,Manitoba,"Femmes, 65 ans et plus",,17.2
2015,Saskatchewan,Toutes les personnes,47,12.4
2015,Saskatchewan,Personnes de moins de 18 ans,,17.8
2015,Saskatchewan,Personnes de 18 à 64 ans,,10.4
2015,Saskatchewan,Personnes de 65 ans et plus,,12.6
2015,Saskatchewan,Hommes,,10.9
2015,Saskatchewan,"Hommes, moins de 18 ans",,16.9
2015,Saskatchewan,"Hommes, 18 à 64 ans",,8.9
2015,Saskatchewan,"Hommes, 65 ans et plus",,10.3
2015,Saskatchewan,Femmes,,13.9
2015,Saskatchewan,"Femmes, moins de 18 ans",,18.6
2015,Saskatchewan,"Femmes, 18 à 64 ans",,12.0
2015,Saskatchewan,"Femmes, 65 ans et plus",,14.6
2015,Alberta,Toutes les personnes,48,6.9
2015,Alberta,Personnes de moins de 18 ans,,10.5
2015,Alberta,Personnes de 18 à 64 ans,,6.1
2015,Alberta,Personnes de 65 ans et plus,,4.3
2015,Alberta,Hommes,,6.5
2015,Alberta,"Hommes, moins de 18 ans",,8.6
2015,Alberta,"Hommes, 18 à 64 ans",,6.2
2015,Alberta,"Hommes, 65 ans et plus",,4.0
2015,Alberta,Femmes,,7.2
2015,Alberta,"Femmes, moins de 18 ans",,12.6
2015,Alberta,"Femmes, 18 à 64 ans",,5.9
2015,Alberta,"Femmes, 65 ans et plus",,4.6
2015,Colombie-Britannique,Toutes les personnes,59,16.6
2015,Colombie-Britannique,Personnes de moins de 18 ans,,14.1
2015,Colombie-Britannique,Personnes de 18 à 64 ans,,17.7
2015,Colombie-Britannique,Personnes de 65 ans et plus,,15.0
2015,Colombie-Britannique,Hommes,,16.4
2015,Colombie-Britannique,"Hommes, moins de 18 ans",,12.6
2015,Colombie-Britannique,"Hommes, 18 à 64 ans",,18.2
2015,Colombie-Britannique,"Hommes, 65 ans et plus",,13.5
2015,Colombie-Britannique,Femmes,,16.8
2015,Colombie-Britannique,"Femmes, moins de 18 ans",,15.7
2015,Colombie-Britannique,"Femmes, 18 à 64 ans",,17.3
2015,Colombie-Britannique,"Femmes, 65 ans et plus",,16.4
2015,"Québec, Québec",Toutes les personnes,,10.2
2015,"Québec, Québec",Personnes de moins de 18 ans,,
2015,"Québec, Québec",Personnes de 18 à 64 ans,,9.2
2015,"Québec, Québec",Personnes de 65 ans et plus,,17.8
2015,"Québec, Québec",Hommes,,10.6
2015,"Québec, Québec","Hommes, moins de 18 ans",,
2015,"Québec, Québec","Hommes, 18 à 64 ans",,10.0
2015,"Québec, Québec","Hommes, 65 ans et plus",,15.6
2015,"Québec, Québec",Femmes,,9.8
2015,"Québec, Québec","Femmes, moins de 18 ans",,
2015,"Québec, Québec","Femmes, 18 à 64 ans",,8.5
2015,"Québec, Québec","Femmes, 65 ans et plus",,19.5
2015,"Montréal, Québec",Toutes les personnes,,18.6
2015,"Montréal, Québec",Personnes de moins de 18 ans,,21.1
2015,"Montréal, Québec",Personnes de 18 à 64 ans,,18.6
2015,"Montréal, Québec",Personnes de 65 ans et plus,,15.9
2015,"Montréal, Québec",Hommes,,17.9
2015,"Montréal, Québec","Hommes, moins de 18 ans",,20.6
2015,"Montréal, Québec","Hommes, 18 à 64 ans",,17.9
2015,"Montréal, Québec","Hommes, 65 ans et plus",,14.3
2015,"Montréal, Québec",Femmes,,19.3
2015,"Montréal, Québec","Femmes, moins de 18 ans",,21.4
2015,"Montréal, Québec","Femmes, 18 à 64 ans",,19.2
2015,"Montréal, Québec","Femmes, 65 ans et plus",,17.3
2015,"Ottawa-Gatineau, Ontario/Québec",Toutes les personnes,,10.7
2015,"Ottawa-Gatineau, Ontario/Québec",Personnes de moins de 18 ans,,10.5
2015,"Ottawa-Gatineau, Ontario/Québec",Personnes de 18 à 64 ans,,11.3
2015,"Ottawa-Gatineau, Ontario/Québec",Personnes de 65 ans et plus,,8.3
2015,"Ottawa-Gatineau, Ontario/Québec",Hommes,,9.8
2015,"Ottawa-Gatineau, Ontario/Québec","Hommes, moins de 18 ans",,
2015,"Ottawa-Gatineau, Ontario/Québec","Hommes, 18 à 64 ans",,10.5
2015,"Ottawa-Gatineau, Ontario/Québec","Hommes, 65 ans et plus",,
2015,"Ottawa-Gatineau, Ontario/Québec",Femmes,,11.6
2015,"Ottawa-Gatineau, Ontario/Québec","Femmes, moins de 18 ans",,
2015,"Ottawa-Gatineau, Ontario/Québec","Femmes, 18 à 64 ans",,12.0
2015,"Ottawa-Gatineau, Ontario/Québec","Femmes, 65 ans et plus",,8.8
2015,"Toronto, Ontario",Toutes les personnes,,16.3
2015,"Toronto, Ontario",Personnes de moins de 18 ans,,18.5
2015,"Toronto, Ontario",Personnes de 18 à 64 ans,,15.6
2015,"Toronto, Ontario",Personnes de 65 ans et plus,,16.0
2015,"Toronto, Ontario",Hommes,,15.9
2015,"Toronto, Ontario","Hommes, moins de 18 ans",,20.1
2015,"Toronto, Ontario","Hommes, 18 à 64 ans",,15.0
