Year,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2002,,,,24081371.0
2004,,,,25226766.0
2006,,,,26417011.0
2008,,,,25926476.0
2010,,,,24952415.0
2012,,,,24681474.0
2014,,,,24766650.0
2016,,,,24940747.0
2018,,,,25733021.0
2020,,,,26107720.0
2002,Canada,Sources de déchets non résidentielles à des fins d'élimination,,8446766.0
2002,Canada,Sources de déchets résidentielles à des fins d'élimination,,15634606.0
2002,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,376594.0
2002,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,216218.0
2002,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,160376.0
2002,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2002,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2002,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2002,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,389194.0
2002,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,169649.0
2002,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,219546.0
2002,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,413606.0
2002,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,203506.0
2002,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,210100.0
2002,Québec,Toutes les sources de déchets à des fins d'élimination,24,5846459.0
2002,Québec,Sources de déchets non résidentielles à des fins d'élimination,,1875235.0
2002,Québec,Sources de déchets résidentielles à des fins d'élimination,,3971225.0
2002,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9645633.0
2002,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3438408.0
2002,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6207225.0
2002,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,896556.0
2002,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,412612.0
2002,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,483944.0
2002,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,795124.0
2002,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,278692.0
2002,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,516432.0
2002,Alberta,Toutes les sources de déchets à des fins d'élimination,48,2890294.0
2002,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,866398.0
2002,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2023896.0
2002,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2687882.0
2002,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,929101.0
2002,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1758781.0
2002,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2002,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2002,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2004,Canada,Sources de déchets non résidentielles à des fins d'élimination,,8961583.0
2004,Canada,Sources de déchets résidentielles à des fins d'élimination,,16265183.0
2004,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,400048.0
2004,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,228004.0
2004,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,172044.0
2004,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2004,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2004,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2004,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,399967.0
2004,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,179262.0
2004,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,220705.0
2004,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,442173.0
2004,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,208120.0
2004,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,234053.0
2004,Québec,Toutes les sources de déchets à des fins d'élimination,24,6454000.0
2004,Québec,Sources de déchets non résidentielles à des fins d'élimination,,2209000.0
2004,Québec,Sources de déchets résidentielles à des fins d'élimination,,4245000.0
2004,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9809264.0
2004,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3489917.0
2004,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6319347.0
2004,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,928117.0
2004,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,450658.0
2004,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,477459.0
2004,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,794933.0
2004,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,279420.0
2004,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,515513.0
2004,Alberta,Toutes les sources de déchets à des fins d'élimination,48,3077311.0
2004,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,943420.0
2004,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2133890.0
2004,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2767657.0
2004,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,919323.0
2004,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1848335.0
2004,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2004,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2004,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2006,Canada,Sources de déchets non résidentielles à des fins d'élimination,,9748217.0
2006,Canada,Sources de déchets résidentielles à des fins d'élimination,,16668793.0
2006,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,428809.0
2006,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,227618.0
2006,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,201192.0
2006,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2006,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2006,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2006,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,359105.0
2006,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,169337.0
2006,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,189768.0
2006,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,511706.0
2006,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,263580.0
2006,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,248125.0
2006,Québec,Toutes les sources de déchets à des fins d'élimination,24,6808440.0
2006,Québec,Sources de déchets non résidentielles à des fins d'élimination,,2980427.0
2006,Québec,Sources de déchets résidentielles à des fins d'élimination,,3828013.0
2006,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9710459.0
2006,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3411642.0
2006,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6298818.0
2006,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,904272.0
2006,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,425304.0
2006,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,478968.0
2006,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,833753.0
2006,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,296062.0
2006,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,537691.0
2006,Alberta,Toutes les sources de déchets à des fins d'élimination,48,3819872.0
2006,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,973683.0
2006,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2846189.0
2006,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2917080.0
2006,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,956968.0
2006,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1960113.0
2006,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2006,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2006,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2008,Canada,Sources de déchets non résidentielles à des fins d'élimination,,9360400.0
2008,Canada,Sources de déchets résidentielles à des fins d'élimination,,16566076.0
2008,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,399184.0
2008,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,210964.0
2008,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,188220.0
2008,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2008,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2008,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2008,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,354231.0
2008,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,148060.0
2008,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,206171.0
2008,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,479461.0
2008,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,233703.0
2008,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,245758.0
2008,Québec,Toutes les sources de déchets à des fins d'élimination,24,6146319.0
2008,Québec,Sources de déchets non résidentielles à des fins d'élimination,,2848822.0
2008,Québec,Sources de déchets résidentielles à des fins d'élimination,,3297497.0
2008,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9631559.0
2008,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3231399.0
2008,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6400160.0
2008,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,945441.0
2008,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,400297.0
2008,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,545144.0
2008,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,902943.0
2008,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,289760.0
2008,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,613182.0
2008,Alberta,Toutes les sources de déchets à des fins d'élimination,48,4147558.0
2008,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,993976.0
2008,Alberta,Sources de déchets résidentielles à des fins d'élimination,,3153581.0
2008,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2811568.0
2008,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,960472.0
2008,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1851097.0
2008,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2008,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2008,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2010,Canada,Sources de déchets non résidentielles à des fins d'élimination,,9448165.0
2010,Canada,Sources de déchets résidentielles à des fins d'élimination,,15504250.0
2010,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,394235.0
2010,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,
