Year,Sexe,Comportements non désirés ou inappropriés,Value
2018,Femmes,Agression sexuelle,2.9
2018,Hommes,Agression sexuelle,1.0
2018,Femmes,Agression physique,2.0
2018,Hommes,Agression physique,3.6
2018,Femmes,Comportements non désirés ou inappropriés en public,31.8
2018,Hommes,Comportements non désirés ou inappropriés en public,13.4
2018,Femmes,Comportements non désirés ou inappropriés en ligne,18.4
2018,Hommes,Comportements non désirés ou inappropriés en ligne,13.6
2018,Femmes,Comportements non désirés ou inappropriés dans le milieu de travail,28.8
2018,Hommes,Comportements non désirés ou inappropriés dans le milieu de travail,16.8
