Year,Series,Units,Value
2000,Material footprint,Million metric tonnes,1473.01
2001,Material footprint,Million metric tonnes,1423.17
2002,Material footprint,Million metric tonnes,1469.28
2003,Material footprint,Million metric tonnes,1460.45
2004,Material footprint,Million metric tonnes,1556.07
2005,Material footprint,Million metric tonnes,1525.85
2006,Material footprint,Million metric tonnes,1652.65
2007,Material footprint,Million metric tonnes,1752.49
2008,Material footprint,Million metric tonnes,1698.86
2009,Material footprint,Million metric tonnes,1711.42
2010,Material footprint,Million metric tonnes,1798.92
2011,Material footprint,Million metric tonnes,1913.08
2012,Material footprint,Million metric tonnes,1933.67
2013,Material footprint,Million metric tonnes,2035.2
2014,Material footprint,Million metric tonnes,2012.24
2015,Material footprint,Million metric tonnes,2040.18
2016,Material footprint,Million metric tonnes,2009.55
2017,Material footprint,Million metric tonnes,2112.05
2018,Material footprint,Million metric tonnes,2074.66
2019,Material footprint,Million metric tonnes,2135.63
2000,Material footprint per capita,Metric tonnes,48.0
2001,Material footprint per capita,Metric tonnes,45.88
2002,Material footprint per capita,Metric tonnes,46.85
2003,Material footprint per capita,Metric tonnes,46.15
2004,Material footprint per capita,Metric tonnes,48.72
2005,Material footprint per capita,Metric tonnes,47.32
2006,Material footprint per capita,Metric tonnes,50.74
2007,Material footprint per capita,Metric tonnes,53.29
2008,Material footprint per capita,Metric tonnes,51.1
2009,Material footprint per capita,Metric tonnes,50.89
2010,Material footprint per capita,Metric tonnes,52.9
2011,Material footprint per capita,Metric tonnes,55.71
2012,Material footprint per capita,Metric tonnes,55.7
2013,Material footprint per capita,Metric tonnes,58.01
2014,Material footprint per capita,Metric tonnes,56.78
2015,Material footprint per capita,Metric tonnes,57.14
2016,Material footprint per capita,Metric tonnes,55.65
2017,Material footprint per capita,Metric tonnes,57.79
2018,Material footprint per capita,Metric tonnes,55.97
2019,Material footprint per capita,Metric tonnes,56.8
2000,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),1008.0
2001,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),959.51
2002,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),962.62
2003,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),939.3
2004,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),971.46
2005,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),922.7
2006,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),975.63
2007,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),1011.85
2008,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),971.14
2009,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),1010.13
2010,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),1031.63
2011,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),1063.81
2012,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),1058.26
2013,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),1087.54
2014,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),1044.71
2015,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),1052.73
2016,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),1028.71
2017,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),1044.57
2018,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),994.46
2019,Material footprint per unit of GDP,Metric tonnes per GDP (millions of dollars CAD),1004.58
