Year,Tableau,Value
2008,,6
2009,,9
2010,,8
2011,,9
2012,,9
2013,,9
2014,,9
2015,,9
2016,,8
2017,,10
2018,,8
2019,,8
2020,,6
2021,,6
2008,Compte satellite du tourisme (CST),6
2009,Compte satellite du tourisme (CST),6
2010,Compte satellite du tourisme (CST),6
2011,Compte satellite du tourisme (CST),6
2012,Compte satellite du tourisme (CST),7
2013,Compte satellite du tourisme (CST),6
2014,Compte satellite du tourisme (CST),7
2015,Compte satellite du tourisme (CST),6
2016,Compte satellite du tourisme (CST),6
2017,Compte satellite du tourisme (CST),7
2018,Compte satellite du tourisme (CST),6
2019,Compte satellite du tourisme (CST),6
2020,Compte satellite du tourisme (CST),6
2021,Compte satellite du tourisme (CST),6
2008,Système de comptabilité économique et environnementale (SCEE),0
2009,Système de comptabilité économique et environnementale (SCEE),3
2010,Système de comptabilité économique et environnementale (SCEE),2
2011,Système de comptabilité économique et environnementale (SCEE),3
2012,Système de comptabilité économique et environnementale (SCEE),2
2013,Système de comptabilité économique et environnementale (SCEE),3
2014,Système de comptabilité économique et environnementale (SCEE),2
2015,Système de comptabilité économique et environnementale (SCEE),3
2016,Système de comptabilité économique et environnementale (SCEE),2
2017,Système de comptabilité économique et environnementale (SCEE),3
2018,Système de comptabilité économique et environnementale (SCEE),2
2019,Système de comptabilité économique et environnementale (SCEE),2
2020,Système de comptabilité économique et environnementale (SCEE),0
2021,Système de comptabilité économique et environnementale (SCEE),0
