Year,Series,Units,Type de catastrophe naturelle,Value
2015,Taux par 100 000 habitants,Taux par 100 000 habitants,,50.68
2016,Taux par 100 000 habitants,Taux par 100 000 habitants,,264.06
2017,Taux par 100 000 habitants,Taux par 100 000 habitants,,197.88
2018,Taux par 100 000 habitants,Taux par 100 000 habitants,,43.89
2019,Taux par 100 000 habitants,Taux par 100 000 habitants,,63.83
2020,Taux par 100 000 habitants,Taux par 100 000 habitants,,35.4
2015,Nombre,Nombre,,18094.0
2016,Nombre,Nombre,,95351.0
2017,Nombre,Nombre,,72317.0
2018,Nombre,Nombre,,16268.0
2019,Nombre,Nombre,,24001.0
2020,Nombre,Nombre,,13454.0
2015,Nombre,Nombre,Météorologique - Inondation,1633.0
2015,Nombre,Nombre,Météorologique - Tempête,1.0
2015,Nombre,Nombre,Météorologique - Tornade,6.0
2015,Nombre,Nombre,Météorologique - Feu de forêt,16433.0
2015,Nombre,Nombre,Météorologique - Tempête hivernale,21.0
2016,Nombre,Nombre,Météorologique - Inondation,1843.0
2016,Nombre,Nombre,Météorologique - Tempête,2.0
2016,Nombre,Nombre,Météorologique - Tornade,600.0
2016,Nombre,Nombre,Météorologique - Feu de forêt,92706.0
2016,Nombre,Nombre,Météorologique - Tempête hivernale,200.0
2017,Nombre,Nombre,Météorologique - Inondation,7070.0
2017,Nombre,Nombre,Météorologique - Tempête,200.0
2017,Nombre,Nombre,Météorologique - Feu de forêt,65000.0
2017,Nombre,Nombre,Météorologique - Tempête hivernale,47.0
2018,Nombre,Nombre,Météorologique - Inondation,11173.0
2018,Nombre,Nombre,Météorologique - Épisode de chaleur,93.0
2018,Nombre,Nombre,Météorologique - Tempête,5.0
2018,Nombre,Nombre,Météorologique - Tornade,6.0
2018,Nombre,Nombre,Météorologique - Feu de forêt,4990.0
2018,Nombre,Nombre,Météorologique - Tempête hivernale,1.0
2019,Nombre,Nombre,Météorologique - Inondation,12501.0
2019,Nombre,Nombre,Météorologique - Ouragan,0.0
2019,Nombre,Nombre,Météorologique - Tempête,0.0
2019,Nombre,Nombre,Météorologique - Feu de forêt,5500.0
2019,Nombre,Nombre,Météorologique - Tempête hivernale,6000.0
2020,Nombre,Nombre,Météorologique - Inondation,13452.0
2020,Nombre,Nombre,Météorologique - Tempête,0.0
2020,Nombre,Nombre,Météorologique - Feu de forêt,0.0
2020,Nombre,Nombre,Météorologique - Tempête hivernale,2.0
2015,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Inondation,4.574
2015,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tempête,0.003
2015,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tornade,0.017
2015,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Feu de forêt,46.027
2015,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tempête hivernale,0.059
2016,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Inondation,5.104
2016,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tempête,0.006
2016,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tornade,1.662
2016,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Feu de forêt,256.736
2016,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tempête hivernale,0.554
2017,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Inondation,19.346
2017,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tempête,0.547
2017,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Feu de forêt,177.862
2017,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tempête hivernale,0.129
2018,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Inondation,30.144
2018,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Épisode de chaleur,0.251
2018,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tempête,0.013
2018,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tornade,0.016
2018,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Feu de forêt,13.463
2018,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tempête hivernale,0.003
2019,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Inondation,33.246
2019,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Ouragan,0.0
2019,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tempête,0.0
2019,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Feu de forêt,14.627
2019,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tempête hivernale,15.957
2020,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Inondation,0.0
2020,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tempête,0.0
2020,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Feu de forêt,0.0
2020,Taux par 100 000 habitants,Taux par 100 000 habitants,Météorologique - Tempête hivernale,0.005
