Year,Series,Géographie,Composantes du secteur public,GeoCode,Value
2015,Official development assistance on conservation and sustainable use of biodiversity,,,,1880000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,,,,1630000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,,,,1850000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,,,,1700000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,,,,2200000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,,,,1900000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,,,,1990000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,1450000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,9000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,2000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,27000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,22000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,53000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,738000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,33000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,19000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,436000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,33000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,53000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,14000000.0
2015,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,6000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,1330000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,8000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,2000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,22000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,11000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,52000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,758000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,35000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,17000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,328000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,33000000.0
