Year,Series,Genre,Âge,Sexual orientation,"First Nations, Metis, or Inuit identity",Minorité visible,Person with disability,Immigrant status,Situation de famille,Value
1999,Physical violence,,,,,,,,,80
2004,Physical violence,,,,,,,,,75
2009,Physical violence,,,,,,,,,80
2014,Physical violence,,,,,,,,,48
2019,Physical violence,,,,,,,,,46
1999,Sexual violence,,,,,,,,,21
2004,Sexual violence,,,,,,,,,21
2009,Sexual violence,,,,,,,,,24
2014,Sexual violence,,,,,,,,,22
2019,Sexual violence,,,,,,,,,30
2019,Physical violence,Hommes,,,,,,,,43
2019,Physical violence,Femmes,,,,,,,,49
2019,Sexual violence,Hommes,,,,,,,,9
2019,Sexual violence,Femmes,,,,,,,,50
2019,Physical violence,,15 à 24 ans,,,,,,,34
2019,Physical violence,,25 à 34 ans,,,,,,,53
2019,Physical violence,,35 à 44 ans,,,,,,,34
2019,Physical violence,,45 à 54 ans,,,,,,,33
2019,Physical violence,,55 à 64 ans,,,,,,,22
2019,Physical violence,,65 years and older,,,,,,,9
2019,Sexual violence,,15 à 24 ans,,,,,,,103
2019,Sexual violence,,25 à 34 ans,,,,,,,50
2019,Sexual violence,,35 à 44 ans,,,,,,,19
2019,Sexual violence,,45 à 54 ans,,,,,,,13
2019,Sexual violence,,55 à 64 ans,,,,,,,7
2019,Sexual violence,,65 years and older,,,,,,,2
2019,Physical violence,,,Heterosexual,,,,,,38
2019,Physical violence,,,Lesbian or gay,,,,,,18
2019,Physical violence,,,Bisexual,,,,,,30
2019,Sexual violence,,,Heterosexual,,,,,,19
2019,Sexual violence,,,Lesbian or gay,,,,,,55
2019,Sexual violence,,,Bisexual,,,,,,541
2019,Physical violence,,,,Autochtone,,,,,121
2019,Physical violence,,,,First Nations,,,,,63
2019,Physical violence,,,,Metis,,,,,181
2019,Physical violence,,,,Inuit,,,,,185
2019,Physical violence,,,,Personne non autochtone,,,,,44
2019,Sexual violence,,,,Autochtone,,,,,35
2019,Sexual violence,,,,Personne non autochtone,,,,,30
2019,Physical violence,,,,,Minorité visible,,,,66
2019,Physical violence,,,,,N’appartenant pas à une minorité visible,,,,36
2019,Sexual violence,,,,,Minorité visible,,,,60
2019,Sexual violence,,,,,N’appartenant pas à une minorité visible,,,,14
2019,Physical violence,,,,,,Has a disability,,,66
2019,Physical violence,,,,,,Does not have a disability,,,36
2019,Sexual violence,,,,,,Has a disability,,,60
2019,Sexual violence,,,,,,Does not have a disability,,,14
2019,Physical violence,,,,,,,Immigrant,,29
2019,Physical violence,,,,,,,Non-immigrant,,52
2019,Sexual violence,,,,,,,Immigrant,,12
2019,Sexual violence,,,,,,,Non-immigrant,,36
2019,Physical violence,,,,,,,,Married or common-law,40
2019,Physical violence,,,,,,,,"Separated, divorced, or widowed",46
2019,Physical violence,,,,,,,,"Single, never married",60
2019,Sexual violence,,,,,,,,Married or common-law,9
2019,Sexual violence,,,,,,,,"Separated, divorced, or widowed",15
2019,Sexual violence,,,,,,,,"Single, never married",81
