Year,Géographie,GeoCode,Type de famille économique,Niveau de sécurité alimentaire du ménage,Value
2018,Canada,,Toutes les personnes,"data.Food insecure, marginal",5.2
2019,Canada,,Toutes les personnes,"data.Food insecure, marginal",5.1
2020,Canada,,Toutes les personnes,"data.Food insecure, marginal",4.6
2018,,,,,11.6
2019,,,,,10.8
2020,,,,,11.2
2018,Canada,,Toutes les personnes,"data.Food insecure, moderate",8.0
2019,Canada,,Toutes les personnes,"data.Food insecure, moderate",7.6
2020,Canada,,Toutes les personnes,"data.Food insecure, moderate",7.6
2018,Canada,,Toutes les personnes,"data.Food insecure, severe",3.6
2019,Canada,,Toutes les personnes,"data.Food insecure, severe",3.2
2020,Canada,,Toutes les personnes,"data.Food insecure, severe",3.6
2018,Canada,,Personnes dans les familles économiques,"data.Food insecure, marginal",5.2
2019,Canada,,Personnes dans les familles économiques,"data.Food insecure, marginal",5.0
2020,Canada,,Personnes dans les familles économiques,"data.Food insecure, marginal",4.6
2018,Canada,,Personnes dans les familles économiques,"data.Food insecure, moderate or severe",10.9
2019,Canada,,Personnes dans les familles économiques,"data.Food insecure, moderate or severe",10.1
2020,Canada,,Personnes dans les familles économiques,"data.Food insecure, moderate or severe",10.5
2018,Canada,,Personnes dans les familles économiques,"data.Food insecure, moderate",7.9
2019,Canada,,Personnes dans les familles économiques,"data.Food insecure, moderate",7.4
2020,Canada,,Personnes dans les familles économiques,"data.Food insecure, moderate",7.4
2018,Canada,,Personnes dans les familles économiques,"data.Food insecure, severe",3.0
2019,Canada,,Personnes dans les familles économiques,"data.Food insecure, severe",2.7
2020,Canada,,Personnes dans les familles économiques,"data.Food insecure, severe",3.1
2018,Canada,,data.Persons in elderly families,"data.Food insecure, marginal",2.7
2019,Canada,,data.Persons in elderly families,"data.Food insecure, marginal",2.7
2020,Canada,,data.Persons in elderly families,"data.Food insecure, marginal",2.9
2018,Canada,,data.Persons in elderly families,"data.Food insecure, moderate or severe",4.5
2019,Canada,,data.Persons in elderly families,"data.Food insecure, moderate or severe",4.9
2020,Canada,,data.Persons in elderly families,"data.Food insecure, moderate or severe",4.9
2018,Canada,,data.Persons in elderly families,"data.Food insecure, moderate",3.0
2019,Canada,,data.Persons in elderly families,"data.Food insecure, moderate",3.7
2020,Canada,,data.Persons in elderly families,"data.Food insecure, moderate",4.0
2018,Canada,,data.Persons in elderly families,"data.Food insecure, severe",1.5
2019,Canada,,data.Persons in elderly families,"data.Food insecure, severe",1.3
2020,Canada,,data.Persons in elderly families,"data.Food insecure, severe",0.9
2018,Canada,,data.Persons in elderly couples,"data.Food insecure, marginal",2.0
2019,Canada,,data.Persons in elderly couples,"data.Food insecure, marginal",2.1
2020,Canada,,data.Persons in elderly couples,"data.Food insecure, marginal",1.9
2018,Canada,,data.Persons in elderly couples,"data.Food insecure, moderate or severe",2.9
2019,Canada,,data.Persons in elderly couples,"data.Food insecure, moderate or severe",3.0
2020,Canada,,data.Persons in elderly couples,"data.Food insecure, moderate or severe",3.3
2018,Canada,,data.Persons in elderly couples,"data.Food insecure, moderate",2.1
2019,Canada,,data.Persons in elderly couples,"data.Food insecure, moderate",2.6
2020,Canada,,data.Persons in elderly couples,"data.Food insecure, moderate",2.5
2018,Canada,,data.Persons in elderly couples,"data.Food insecure, severe",0.8
2019,Canada,,data.Persons in elderly couples,"data.Food insecure, severe",0.5
2020,Canada,,data.Persons in elderly couples,"data.Food insecure, severe",0.8
2018,Canada,,data.Persons in other elderly families,"data.Food insecure, marginal",4.2
2019,Canada,,data.Persons in other elderly families,"data.Food insecure, marginal",
2020,Canada,,data.Persons in other elderly families,"data.Food insecure, marginal",5.3
2018,Canada,,data.Persons in other elderly families,"data.Food insecure, moderate or severe",8.3
2019,Canada,,data.Persons in other elderly families,"data.Food insecure, moderate or severe",9.2
2020,Canada,,data.Persons in other elderly families,"data.Food insecure, moderate or severe",8.6
2018,Canada,,data.Persons in other elderly families,"data.Food insecure, moderate",5.1
