Year,Géographie,Value
2015,,5.29
2015,Terre-Neuve-et-Labrador,4.9
2015,Île-du-Prince-Édouard,3.03
2015,Nouvelle-Écosse,4.46
2015,Nouveau-Brunswick,4.82
2015,Québec,5.62
2015,Ontario,5.01
2015,Manitoba,7.47
2015,Saskatchewan,6.58
2015,Alberta,5.55
2015,Colombie-Britannique,3.97
2015,Yukon,9.62
2015,Territoires du Nord-Ouest,5.26
2015,Nunavut,27.46
2016,,5.28
2016,Terre-Neuve-et-Labrador,4.69
2016,Île-du-Prince-Édouard,7.27
2016,Nouvelle-Écosse,5.69
2016,Nouveau-Brunswick,5.69
2016,Québec,5.0
2016,Ontario,5.29
2016,Manitoba,6.61
2016,Saskatchewan,7.12
2016,Alberta,5.26
2016,Colombie-Britannique,4.1
2016,Yukon,7.19
2016,Territoires du Nord-Ouest,6.94
2016,Nunavut,39.47
2017,,5.24
2017,Terre-Neuve-et-Labrador,4.87
2017,Île-du-Prince-Édouard,3.05
2017,Nouvelle-Écosse,4.43
2017,Nouveau-Brunswick,3.36
2017,Québec,4.68
2017,Ontario,5.35
2017,Manitoba,8.23
2017,Saskatchewan,7.37
2017,Alberta,5.75
2017,Colombie-Britannique,3.73
2017,Territoires du Nord-Ouest,4.2
2017,Nunavut,27.27
2018,,5.48
2018,Terre-Neuve-et-Labrador,5.97
2018,Île-du-Prince-Édouard,5.46
2018,Nouvelle-Écosse,4.23
2018,Nouveau-Brunswick,3.91
2018,Québec,4.89
2018,Ontario,5.24
2018,Manitoba,7.92
2018,Saskatchewan,6.82
2018,Alberta,6.3
2018,Colombie-Britannique,4.64
2018,Yukon,
2018,Northwest Territories including Nunavut,
2018,Territoires du Nord-Ouest,8.12
2018,Nunavut,70.56
2019,,5.13
2019,Terre-Neuve-et-Labrador,5.57
2019,Île-du-Prince-Édouard,3.84
2019,Nouvelle-Écosse,6.0
2019,Nouveau-Brunswick,5.07
2019,Québec,4.86
2019,Ontario,5.11
2019,Manitoba,6.69
2019,Saskatchewan,7.16
2019,Alberta,5.18
2019,Colombie-Britannique,3.92
2019,Yukon,
2019,Northwest Territories including Nunavut,
2019,Territoires du Nord-Ouest,1.58
2019,Nunavut,46.75
2020,,5.24
2020,Terre-Neuve-et-Labrador,5.81
2020,Île-du-Prince-Édouard,6.19
2020,Nouvelle-Écosse,4.82
2020,Nouveau-Brunswick,5.14
2020,Québec,4.88
2020,Ontario,4.83
2020,Manitoba,7.81
2020,Saskatchewan,8.61
2020,Alberta,5.78
2020,Colombie-Britannique,4.2
2020,Yukon,
2020,Northwest Territories including Nunavut,
2020,Territoires du Nord-Ouest,7.5
2020,Nunavut,25.79
2021,,4.91
2021,Terre-Neuve-et-Labrador,5.16
2021,Île-du-Prince-Édouard,4.14
2021,Nouvelle-Écosse,4.83
2021,Nouveau-Brunswick,4.97
2021,Québec,4.74
2021,Ontario,4.78
2021,Manitoba,6.09
2021,Saskatchewan,6.53
2021,Alberta,5.38
2021,Colombie-Britannique,3.9
2021,Yukon,
2021,Northwest Territories including Nunavut,
2021,Territoires du Nord-Ouest,4.73
2021,Nunavut,30.04
2022,,5.49
2022,Terre-Neuve-et-Labrador,5.69
2022,Île-du-Prince-Édouard,3.05
2022,Nouvelle-Écosse,4.78
2022,Nouveau-Brunswick,6.79
2022,Québec,5.08
2022,Ontario,5.15
2022,Manitoba,8.01
2022,Saskatchewan,6.96
2022,Alberta,6.29
2022,Colombie-Britannique,4.68
2022,Yukon,
2022,Northwest Territories including Nunavut,
2022,Territoires du Nord-Ouest,10.48
2022,Nunavut,46.23
