Year,Âge,Value
2000,,0.08
2001,,0.08
2002,,0.08
2003,,0.08
2004,,0.08
2005,,0.08
2006,,0.07
2007,,0.07
2008,,0.07
2009,,0.07
2010,,0.06
2011,,0.06
2012,,0.05
2013,,0.05
2014,,0.05
2015,,0.05
2016,,0.05
2017,,0.05
2018,,0.05
2019,,0.05
2020,,0.04
2000,Adultes (15-49),0.14
2001,Adultes (15-49),0.14
2002,Adultes (15-49),0.14
2003,Adultes (15-49),0.14
2004,Adultes (15-49),0.13
2005,Adultes (15-49),0.13
2006,Adultes (15-49),0.13
2007,Adultes (15-49),0.13
2008,Adultes (15-49),0.13
2009,Adultes (15-49),0.12
2010,Adultes (15-49),0.11
2011,Adultes (15-49),0.1
2012,Adultes (15-49),0.1
2013,Adultes (15-49),0.1
2014,Adultes (15-49),0.1
2015,Adultes (15-49),0.1
2016,Adultes (15-49),0.1
2017,Adultes (15-49),0.1
2018,Adultes (15-49),0.1
2019,Adultes (15-49),0.1
2020,Adultes (15-49),0.08
