Year,Situation de famille,Value
2000,,90.6
2001,,90.7
2002,,90.8
2003,,91.0
2004,,91.4
2005,,91.8
2006,,92.0
2007,,92.2
2008,,92.2
2009,,92.3
2010,,92.3
2011,,92.3
2012,,92.4
2013,,92.4
2014,,92.5
2015,,92.5
2016,,92.4
2017,,92.5
2018,,92.5
2019,,92.5
2020,,92.5
2021,,92.4
2022,,92.5
2023,,92.4
2000,Marié ou en union,90.0
2001,Marié ou en union,90.0
2002,Marié ou en union,90.2
2003,Marié ou en union,90.6
2004,Marié ou en union,91.1
2005,Marié ou en union,91.7
2006,Marié ou en union,92.1
2007,Marié ou en union,92.3
2008,Marié ou en union,92.4
2009,Marié ou en union,92.5
2010,Marié ou en union,92.5
2011,Marié ou en union,92.6
2012,Marié ou en union,92.6
2013,Marié ou en union,92.6
2014,Marié ou en union,92.6
2015,Marié ou en union,92.6
2016,Marié ou en union,92.7
2017,Marié ou en union,92.7
2018,Marié ou en union,92.7
2019,Marié ou en union,92.7
2020,Marié ou en union,92.6
2021,Marié ou en union,92.7
2022,Marié ou en union,92.7
2023,Marié ou en union,92.6
2000,Célibataire,91.7
2001,Célibataire,91.8
2002,Célibataire,91.7
2003,Célibataire,91.8
2004,Célibataire,91.9
2005,Célibataire,91.9
2006,Célibataire,92.0
2007,Célibataire,92.1
2008,Célibataire,92.0
2009,Célibataire,92.0
2010,Célibataire,92.0
2011,Célibataire,92.0
2012,Célibataire,92.1
2013,Célibataire,92.1
2014,Célibataire,92.2
2015,Célibataire,92.3
2016,Célibataire,92.2
2017,Célibataire,92.2
2018,Célibataire,92.2
2019,Célibataire,92.1
2020,Célibataire,92.3
2021,Célibataire,92.1
2022,Célibataire,92.1
2023,Célibataire,92.0
