Year,Type of disease,Value
2015,"Affections aiguës des voies respiratoires supérieures
",21.889
2015,Diarrhée,3.056
2015,Infections intestinales à nématodes,0.0
2015,Malnutrition protéino-énergétique,0.541
2016,"Affections aiguës des voies respiratoires supérieures
",17.702
2016,Diarrhée,2.634
2016,Infections intestinales à nématodes,0.0
2016,Malnutrition protéino-énergétique,0.462
2017,"Affections aiguës des voies respiratoires supérieures
",20.821
2017,Diarrhée,2.479
2017,Infections intestinales à nématodes,0.0
2017,Malnutrition protéino-énergétique,0.545
2018,"Affections aiguës des voies respiratoires supérieures
",23.745
2018,Diarrhée,2.377
2018,Infections intestinales à nématodes,0.0
2018,Malnutrition protéino-énergétique,0.577
2019,"Affections aiguës des voies respiratoires supérieures
",18.784
2019,Diarrhée,2.144
2019,Infections intestinales à nématodes,0.0
2019,Malnutrition protéino-énergétique,0.505
2020,"Affections aiguës des voies respiratoires supérieures
",15.881
2020,Diarrhée,2.039
2020,Infections intestinales à nématodes,0.0
2020,Malnutrition protéino-énergétique,0.605
