Year,Antigène ou vaccin,Value
2015,Diphtérie,76.9
2015,Coqueluche,77.0
2015,Tétanos,76.7
2015,Poliomyélite (polio),91.2
2015,Haemophilus influenzae de type B (Hib),71.9
2015,Rougeole,89.2
2015,Oreillons,88.9
2015,Rubéole,88.9
2015,Hépatite B,69.2
2015,Varicelle,74.8
2015,Méningocoque de type C,87.8
2015,Pneumocoque,80.3
2015,Rotavirus,75.4
2017,Diphtérie,75.8
2017,Coqueluche,75.8
2017,Tétanos,75.8
2017,Poliomyélite (polio),90.7
2017,Haemophilus influenzae de type B (Hib),73.4
2017,Rougeole,90.2
2017,Oreillons,89.9
2017,Rubéole,90.0
2017,Hépatite B,74.1
2017,Varicelle,82.9
2017,Méningocoque de type C,87.6
2017,Pneumocoque,81.4
2017,Rotavirus,78.8
2019,Diphtérie,77.5
2019,Coqueluche,77.5
2019,Tétanos,77.5
2019,Poliomyélite (polio),91.9
2019,Haemophilus influenzae de type B (Hib),74.4
2019,Rougeole,90.2
2019,Oreillons,89.2
2019,Rubéole,89.4
2019,Hépatite B,83.6
2019,Varicelle,82.7
2019,Méningocoque de type C,91.1
2019,Pneumocoque,84.4
2019,Rotavirus,84.5
2021,Diphtérie,77.1
2021,Coqueluche,77.1
2021,Tétanos,77.1
2021,Poliomyélite (polio),91.8
2021,Haemophilus influenzae de type B (Hib),75.3
2021,Rougeole,91.6
2021,Oreillons,91.5
2021,Rubéole,91.5
2021,Hépatite B,82.6
2021,Varicelle,87.5
2021,Méningocoque de type C,90.5
2021,Pneumocoque,85.1
2021,Rotavirus,85.6
