Year,"Type d'aide
",Value
2013,Santé de base,527.5
2014,Santé de base,395.3
2015,Santé de base,335.9
2016,Santé de base,373.4
2017,Santé de base,373.8
2018,Santé de base,334.4
2019,Santé de base,256.0
2020,Santé de base,339.1
2021,Santé de base,1184.0
2022,Santé de base,904.2
2013,"Recherche médicale
",50.7
2014,"Recherche médicale
",51.7
2015,"Recherche médicale
",38.1
2016,"Recherche médicale
",29.9
2017,"Recherche médicale
",6.7
2018,"Recherche médicale
",9.1
2019,"Recherche médicale
",7.5
2020,"Recherche médicale
",7.2
2021,"Recherche médicale
",5.1
2022,"Recherche médicale
",3.8
2013,,578.1
2014,,447.0
2015,,374.0
2016,,403.2
2017,,380.5
2018,,343.5
2019,,263.5
2020,,346.3
2021,,1189.1
2022,,908.0
