Year,Géographie,Graduation rate,Genre,GeoCode,Value
2016/2017,,On-time,Total,,80.0
2016/2017,,On-time,Homme,,76.0
2016/2017,,On-time,Femme,,84.0
2016/2017,,Extended-time,Total,,87.0
2016/2017,,Extended-time,Homme,,85.0
2016/2017,,Extended-time,Femme,,91.0
2017/2018,,On-time,Total,,81.0
2017/2018,,On-time,Homme,,77.0
2017/2018,,On-time,Femme,,84.0
2017/2018,,Extended-time,Total,,88.0
2017/2018,,Extended-time,Homme,,86.0
2017/2018,,Extended-time,Femme,,91.0
2018/2019,,On-time,Total,,81.0
2018/2019,,On-time,Homme,,77.0
2018/2019,,On-time,Femme,,85.0
2018/2019,,Extended-time,Total,,89.0
2018/2019,,Extended-time,Homme,,86.0
2018/2019,,Extended-time,Femme,,91.0
2019/2020,,On-time,Total,,84.0
2019/2020,,On-time,Homme,,81.0
2019/2020,,On-time,Femme,,87.0
2019/2020,,Extended-time,Total,,89.0
2019/2020,,Extended-time,Homme,,86.0
2019/2020,,Extended-time,Femme,,91.0
2020/2021,,On-time,Total,,84.0
2020/2021,,On-time,Homme,,81.0
2020/2021,,On-time,Femme,,87.0
2020/2021,,Extended-time,Total,,89.0
2020/2021,,Extended-time,Homme,,87.0
2020/2021,,Extended-time,Femme,,92.0
2016/2017,Terre-Neuve-et-Labrador,On-time,Total,10,88.0
2016/2017,Terre-Neuve-et-Labrador,On-time,Homme,10,87.0
2016/2017,Terre-Neuve-et-Labrador,On-time,Femme,10,90.0
2016/2017,Terre-Neuve-et-Labrador,Extended-time,Total,10,90.0
2016/2017,Terre-Neuve-et-Labrador,Extended-time,Homme,10,88.0
2016/2017,Terre-Neuve-et-Labrador,Extended-time,Femme,10,91.0
2016/2017,Île-du-Prince-Édouard,On-time,Total,11,85.0
2016/2017,Île-du-Prince-Édouard,On-time,Homme,11,84.0
2016/2017,Île-du-Prince-Édouard,On-time,Femme,11,86.0
2016/2017,Île-du-Prince-Édouard,Extended-time,Total,11,90.0
2016/2017,Île-du-Prince-Édouard,Extended-time,Homme,11,89.0
2016/2017,Île-du-Prince-Édouard,Extended-time,Femme,11,90.0
2016/2017,Nouvelle-Écosse,On-time,Total,12,
2016/2017,Nouvelle-Écosse,On-time,Homme,12,
2016/2017,Nouvelle-Écosse,On-time,Femme,12,
2016/2017,Nouvelle-Écosse,Extended-time,Total,12,
2016/2017,Nouvelle-Écosse,Extended-time,Homme,12,
2016/2017,Nouvelle-Écosse,Extended-time,Femme,12,
2016/2017,Nouveau-Brunswick,On-time,Total,13,85.0
