Year,Units,Indice de parité,Géographie,GeoCode,Value
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Canada,,0.97
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Terre-Neuve-et-Labrador,10,0.94
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Île-du-Prince-Édouard,11,1.16
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Nouvelle-Écosse,12,0.93
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Nouveau-Brunswick,13,0.87
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Québec,24,1.05
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Ontario,35,0.98
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Manitoba,46,0.97
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Saskatchewan,47,0.99
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Alberta,48,0.85
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Colombie-Britannique,59,0.98
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Yukon,60,0.98
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Territoires du Nord-Ouest,61,1.13
2012,Taux de participation à l’apprentissage organisé,Indice de parité entre les sexes,Nunavut,62,1.12
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre les sexes,Canada,,1.0
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre les sexes,Terre-Neuve-et-Labrador,10,0.96
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre les sexes,Île-du-Prince-Édouard,11,1.04
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre les sexes,Nouvelle-Écosse,12,1.0
