Year,Géographie,GeoCode,Sexe,Groupe d'âge,Compétences,Niveau de compétence,Value
2012,Canada,,Les deux sexes,Groupe d'âge totale,Alphabétisme,2 ou moins,48.5
2012,Canada,,Les deux sexes,Groupe d'âge totale,Arithmétique,2 ou moins,54.7
2012,Canada,,Les deux sexes,16 à 24 ans,Alphabétisme,2 ou moins,46.4
2012,Canada,,Les deux sexes,16 à 24 ans,Arithmétique,2 ou moins,53.4
2012,Canada,,Les deux sexes,25 à 34 ans,Alphabétisme,2 ou moins,39.9
2012,Canada,,Les deux sexes,25 à 34 ans,Arithmétique,2 ou moins,46.7
2012,Canada,,Les deux sexes,35 à 44 ans,Alphabétisme,2 ou moins,42.4
2012,Canada,,Les deux sexes,35 à 44 ans,Arithmétique,2 ou moins,49.0
2012,Canada,,Les deux sexes,45 à 54 ans,Alphabétisme,2 ou moins,52.9
2012,Canada,,Les deux sexes,45 à 54 ans,Arithmétique,2 ou moins,57.6
2012,Canada,,Les deux sexes,55 à 65 ans,Alphabétisme,2 ou moins,59.7
2012,Canada,,Les deux sexes,55 à 65 ans,Arithmétique,2 ou moins,65.8
2012,Canada,,Hommes,Groupe d'âge totale,Alphabétisme,2 ou moins,47.6
2012,Canada,,Hommes,Groupe d'âge totale,Arithmétique,2 ou moins,49.0
2012,Canada,,Hommes,16 à 24 ans,Alphabétisme,2 ou moins,47.1
2012,Canada,,Hommes,16 à 24 ans,Arithmétique,2 ou moins,49.9
2012,Canada,,Hommes,25 à 34 ans,Alphabétisme,2 ou moins,40.2
2012,Canada,,Hommes,25 à 34 ans,Arithmétique,2 ou moins,42.2
2012,Canada,,Hommes,35 à 44 ans,Alphabétisme,2 ou moins,42.2
2012,Canada,,Hommes,35 à 44 ans,Arithmétique,2 ou moins,43.1
2012,Canada,,Hommes,45 à 54 ans,Alphabétisme,2 ou moins,50.7
2012,Canada,,Hommes,45 à 54 ans,Arithmétique,2 ou moins,51.0
2012,Canada,,Hommes,55 à 65 ans,Alphabétisme,2 ou moins,57.3
2012,Canada,,Hommes,55 à 65 ans,Arithmétique,2 ou moins,58.2
2012,Canada,,Femmes,Groupe d'âge totale,Alphabétisme,2 ou moins,49.4
2012,Canada,,Femmes,Groupe d'âge totale,Arithmétique,2 ou moins,60.4
