Year,Géographie,Marital status,Groupe d'âge,Value
1996,Alberta,Marié ou vivant en union libre,15 à 19 ans,4.64
1996,Alberta,Marié ou vivant en union libre,20 à 24 ans,33.7
1996,Alberta,Marié,15 à 19 ans,1.1
1996,Alberta,Marié,20 à 24 ans,18.26
1996,Alberta,Vivant en union libre,15 à 19 ans,3.54
1996,Alberta,Vivant en union libre,20 à 24 ans,15.44
1996,Colombie-Britannique,Marié ou vivant en union libre,15 à 19 ans,3.39
1996,Colombie-Britannique,Marié ou vivant en union libre,20 à 24 ans,27.99
1996,Colombie-Britannique,Marié,15 à 19 ans,0.87
1996,Colombie-Britannique,Marié,20 à 24 ans,15.07
1996,Colombie-Britannique,Vivant en union libre,15 à 19 ans,2.51
1996,Colombie-Britannique,Vivant en union libre,20 à 24 ans,12.92
1996,Canada,Marié ou vivant en union libre,15 à 19 ans,3.41
1996,Canada,Marié ou vivant en union libre,20 à 24 ans,27.77
1996,Canada,Marié,15 à 19 ans,0.78
1996,Canada,Marié,20 à 24 ans,13.18
1996,Canada,Vivant en union libre,15 à 19 ans,2.64
1996,Canada,Vivant en union libre,20 à 24 ans,14.6
1996,Manitoba,Marié ou vivant en union libre,15 à 19 ans,4.26
1996,Manitoba,Marié ou vivant en union libre,20 à 24 ans,30.53
1996,Manitoba,Marié,15 à 19 ans,1.12
1996,Manitoba,Marié,20 à 24 ans,16.96
1996,Manitoba,Vivant en union libre,15 à 19 ans,3.14
1996,Manitoba,Vivant en union libre,20 à 24 ans,13.57
1996,Nouveau-Brunswick,Marié ou vivant en union libre,15 à 19 ans,3.66
1996,Nouveau-Brunswick,Marié ou vivant en union libre,20 à 24 ans,31.38
1996,Nouveau-Brunswick,Marié,15 à 19 ans,0.69
1996,Nouveau-Brunswick,Marié,20 à 24 ans,13.42
1996,Nouveau-Brunswick,Vivant en union libre,15 à 19 ans,2.97
1996,Nouveau-Brunswick,Vivant en union libre,20 à 24 ans,17.96
1996,Terre-Neuve-et-Labrador,Marié ou vivant en union libre,15 à 19 ans,2.16
1996,Terre-Neuve-et-Labrador,Marié ou vivant en union libre,20 à 24 ans,24.37
1996,Terre-Neuve-et-Labrador,Marié,15 à 19 ans,0.42
1996,Terre-Neuve-et-Labrador,Marié,20 à 24 ans,10.93
1996,Terre-Neuve-et-Labrador,Vivant en union libre,15 à 19 ans,1.76
1996,Terre-Neuve-et-Labrador,Vivant en union libre,20 à 24 ans,13.44
1996,Territoires du Nord-Ouest,Marié ou vivant en union libre,15 à 19 ans,11.15
1996,Territoires du Nord-Ouest,Marié ou vivant en union libre,20 à 24 ans,45.45
1996,Territoires du Nord-Ouest,Marié,15 à 19 ans,0.58
1996,Territoires du Nord-Ouest,Marié,20 à 24 ans,11.31
1996,Territoires du Nord-Ouest,Vivant en union libre,15 à 19 ans,10.58
1996,Territoires du Nord-Ouest,Vivant en union libre,20 à 24 ans,34.14
1996,Nouvelle-Écosse,Marié ou vivant en union libre,15 à 19 ans,2.4
1996,Nouvelle-Écosse,Marié ou vivant en union libre,20 à 24 ans,25.61
1996,Nouvelle-Écosse,Marié,15 à 19 ans,0.44
1996,Nouvelle-Écosse,Marié,20 à 24 ans,11.71
1996,Nouvelle-Écosse,Vivant en union libre,15 à 19 ans,1.96
1996,Nouvelle-Écosse,Vivant en union libre,20 à 24 ans,13.9
1996,Ontario,Marié ou vivant en union libre,15 à 19 ans,2.71
1996,Ontario,Marié ou vivant en union libre,20 à 24 ans,22.83
1996,Ontario,Marié,15 à 19 ans,0.87
1996,Ontario,Marié,20 à 24 ans,13.64
1996,Ontario,Vivant en union libre,15 à 19 ans,1.84
1996,Ontario,Vivant en union libre,20 à 24 ans,9.2
1996,Île-du-Prince-Édouard,Marié ou vivant en union libre,15 à 19 ans,2.56
1996,Île-du-Prince-Édouard,Marié ou vivant en union libre,20 à 24 ans,27.81
1996,Île-du-Prince-Édouard,Marié,15 à 19 ans,0.51
1996,Île-du-Prince-Édouard,Marié,20 à 24 ans,14.07
1996,Île-du-Prince-Édouard,Vivant en union libre,15 à 19 ans,2.15
1996,Île-du-Prince-Édouard,Vivant en union libre,20 à 24 ans,13.74
1996,Québec,Marié ou vivant en union libre,15 à 19 ans,3.76
1996,Québec,Marié ou vivant en union libre,20 à 24 ans,31.55
1996,Québec,Marié,15 à 19 ans,0.52
1996,Québec,Marié,20 à 24 ans,8.43
1996,Québec,Vivant en union libre,15 à 19 ans,3.24
1996,Québec,Vivant en union libre,20 à 24 ans,23.12
1996,Saskatchewan,Marié ou vivant en union libre,15 à 19 ans,4.59
1996,Saskatchewan,Marié ou vivant en union libre,20 à 24 ans,34.07
1996,Saskatchewan,Marié,15 à 19 ans,0.7
1996,Saskatchewan,Marié,20 à 24 ans,18.05
1996,Saskatchewan,Vivant en union libre,15 à 19 ans,3.89
1996,Saskatchewan,Vivant en union libre,20 à 24 ans,16.02
1996,Yukon,Marié ou vivant en union libre,15 à 19 ans,6.88
1996,Yukon,Marié ou vivant en union libre,20 à 24 ans,37.68
1996,Yukon,Marié,15 à 19 ans,0.53
1996,Yukon,Marié,20 à 24 ans,14.98
1996,Yukon,Vivant en union libre,15 à 19 ans,6.35
1996,Yukon,Vivant en union libre,20 à 24 ans,22.71
2001,Alberta,Marié ou vivant en union libre,15 à 19 ans,3.96
2001,Alberta,Marié ou vivant en union libre,20 à 24 ans,31.14
2001,Alberta,Marié,15 à 19 ans,0.75
2001,Alberta,Marié,20 à 24 ans,14.92
2001,Alberta,Vivant en union libre,15 à 19 ans,3.21
2001,Alberta,Vivant en union libre,20 à 24 ans,16.23
2001,Colombie-Britannique,Marié ou vivant en union libre,15 à 19 ans,2.76
2001,Colombie-Britannique,Marié ou vivant en union libre,20 à 24 ans,22.99
2001,Colombie-Britannique,Marié,15 à 19 ans,0.65
2001,Colombie-Britannique,Marié,20 à 24 ans,10.83
2001,Colombie-Britannique,Vivant en union libre,15 à 19 ans,2.11
2001,Colombie-Britannique,Vivant en union libre,20 à 24 ans,12.16
2001,Canada,Marié ou vivant en union libre,15 à 19 ans,2.96
2001,Canada,Marié ou vivant en union libre,20 à 24 ans,25.61
2001,Canada,Marié,15 à 19 ans,0.61
2001,Canada,Marié,20 à 24 ans,10.19
2001,Canada,Vivant en union libre,15 à 19 ans,2.35
2001,Canada,Vivant en union libre,20 à 24 ans,15.42
2001,Manitoba,Marié ou vivant en union libre,15 à 19 ans,3.74
2001,Manitoba,Marié ou vivant en union libre,20 à 24 ans,28.83
2001,Manitoba,Marié,15 à 19 ans,0.89
2001,Manitoba,Marié,20 à 24 ans,14.65
2001,Manitoba,Vivant en union libre,15 à 19 ans,2.84
2001,Manitoba,Vivant en union libre,20 à 24 ans,14.18
2001,Nouveau-Brunswick,Marié ou vivant en union libre,15 à 19 ans,3.39
2001,Nouveau-Brunswick,Marié ou vivant en union libre,20 à 24 ans,30.28
2001,Nouveau-Brunswick,Marié,15 à 19 ans,0.46
2001,Nouveau-Brunswick,Marié,20 à 24 ans,10.84
2001,Nouveau-Brunswick,Vivant en union libre,15 à 19 ans,2.91
2001,Nouveau-Brunswick,Vivant en union libre,20 à 24 ans,19.43
2001,Terre-Neuve-et-Labrador,Marié ou vivant en union libre,15 à 19 ans,1.78
2001,Terre-Neuve-et-Labrador,Marié ou vivant en union libre,20 à 24 ans,20.44
2001,Terre-Neuve-et-Labrador,Marié,15 à 19 ans,0.28
2001,Terre-Neuve-et-Labrador,Marié,20 à 24 ans,7.35
2001,Terre-Neuve-et-Labrador,Vivant en union libre,15 à 19 ans,1.5
2001,Terre-Neuve-et-Labrador,Vivant en union libre,20 à 24 ans,13.12
2001,Territoires du Nord-Ouest,Marié ou vivant en union libre,15 à 19 ans,4.64
2001,Territoires du Nord-Ouest,Marié ou vivant en union libre,20 à 24 ans,34.57
2001,Territoires du Nord-Ouest,Marié,15 à 19 ans,0.0
2001,Territoires du Nord-Ouest,Marié,20 à 24 ans,6.69
2001,Territoires du Nord-Ouest,Vivant en union libre,15 à 19 ans,4.29
2001,Territoires du Nord-Ouest,Vivant en union libre,20 à 24 ans,27.88
2001,Nouvelle-Écosse,Marié ou vivant en union libre,15 à 19 ans,2.19
2001,Nouvelle-Écosse,Marié ou vivant en union libre,20 à 24 ans,23.41
2001,Nouvelle-Écosse,Marié,15 à 19 ans,0.31
2001,Nouvelle-Écosse,Marié,20 à 24 ans,8.02
2001,Nouvelle-Écosse,Vivant en union libre,15 à 19 ans,1.89
2001,Nouvelle-Écosse,Vivant en union libre,20 à 24 ans,15.39
2001,Nunavut,Marié ou vivant en union libre,15 à 19 ans,12.96
2001,Nunavut,Marié ou vivant en union libre,20 à 24 ans,51.9
2001,Nunavut,Marié,15 à 19 ans,0.81
2001,Nunavut,Marié,20 à 24 ans,8.57
2001,Nunavut,Vivant en union libre,15 à 19 ans,12.15
2001,Nunavut,Vivant en union libre,20 à 24 ans,42.86
2001,Ontario,Marié ou vivant en union libre,15 à 19 ans,2.14
2001,Ontario,Marié ou vivant en union libre,20 à 24 ans,21.47
2001,Ontario,Marié,15 à 19 ans,0.68
2001,Ontario,Marié,20 à 24 ans,11.18
2001,Ontario,Vivant en union libre,15 à 19 ans,1.46
2001,Ontario,Vivant en union libre,20 à 24 ans,10.29
2001,Île-du-Prince-Édouard,Marié ou vivant en union libre,15 à 19 ans,2.97
2001,Île-du-Prince-Édouard,Marié ou vivant en union libre,20 à 24 ans,25.93
2001,Île-du-Prince-Édouard,Marié,15 à 19 ans,0.4
2001,Île-du-Prince-Édouard,Marié,20 à 24 ans,11.1
2001,Île-du-Prince-Édouard,Vivant en union libre,15 à 19 ans,2.57
2001,Île-du-Prince-Édouard,Vivant en union libre,20 à 24 ans,14.84
2001,Québec,Marié ou vivant en union libre,15 à 19 ans,3.78
2001,Québec,Marié ou vivant en union libre,20 à 24 ans,29.53
2001,Québec,Marié,15 à 19 ans,0.47
2001,Québec,Marié,20 à 24 ans,5.51
2001,Québec,Vivant en union libre,15 à 19 ans,3.3
2001,Québec,Vivant en union libre,20 à 24 ans,24.02
