Year,Géographie,Groupe d'activité,Groupe d'âge,Sexe,Value
2015,Canada,Activités de travail non-rémunéré,"Total, 15 ans et plus",Homme,10.0
2015,Canada,Activités de travail non-rémunéré,"Total, 15 ans et plus",Femme,15.0
2015,Canada,Activités de travail non-rémunéré,15 à 24 ans,Homme,4.6
2015,Canada,Activités de travail non-rémunéré,15 à 24 ans,Femme,6.7
2015,Canada,Activités de travail non-rémunéré,25 à 54 ans,Homme,10.4
2015,Canada,Activités de travail non-rémunéré,25 à 54 ans,Femme,16.3
2015,Canada,Activités de travail non-rémunéré,25 à 34 ans,Homme,7.9
2015,Canada,Activités de travail non-rémunéré,25 à 34 ans,Femme,15.8
2015,Canada,Activités de travail non-rémunéré,35 à 44 ans,Homme,11.7
2015,Canada,Activités de travail non-rémunéré,35 à 44 ans,Femme,17.9
2015,Canada,Activités de travail non-rémunéré,45 à 54 ans,Homme,11.3
2015,Canada,Activités de travail non-rémunéré,45 à 54 ans,Femme,15.4
2015,Canada,Activités de travail non-rémunéré,55 à 64 ans,Homme,12.1
2015,Canada,Activités de travail non-rémunéré,55 à 64 ans,Femme,16.3
2015,Canada,Activités de travail non-rémunéré,65 ans et plus,Homme,13.3
2015,Canada,Activités de travail non-rémunéré,65 ans et plus,Femme,16.7
2015,Canada,Tâches domestiques,"Total, 15 ans et plus",Homme,7.1
2015,Canada,Tâches domestiques,"Total, 15 ans et plus",Femme,10.0
2015,Canada,Tâches domestiques,15 à 24 ans,Homme,3.3
2015,Canada,Tâches domestiques,15 à 24 ans,Femme,4.2
2015,Canada,Tâches domestiques,25 à 54 ans,Homme,6.7
2015,Canada,Tâches domestiques,25 à 54 ans,Femme,10.0
2015,Canada,Tâches domestiques,25 à 34 ans,Homme,5.0
2015,Canada,Tâches domestiques,25 à 34 ans,Femme,8.3
2015,Canada,Tâches domestiques,35 à 44 ans,Homme,6.7
2015,Canada,Tâches domestiques,35 à 44 ans,Femme,10.0
2015,Canada,Tâches domestiques,45 à 54 ans,Homme,8.8
2015,Canada,Tâches domestiques,45 à 54 ans,Femme,11.3
2015,Canada,Tâches domestiques,55 à 64 ans,Homme,9.6
2015,Canada,Tâches domestiques,55 à 64 ans,Femme,12.1
2015,Canada,Tâches domestiques,65 ans et plus,Homme,10.0
2015,Canada,Tâches domestiques,65 ans et plus,Femme,13.3
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Homme,1.3
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Femme,2.1
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Homme,
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,15 à 24 ans,Femme,0.4
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Homme,2.1
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,25 à 54 ans,Femme,3.8
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Homme,1.7
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,25 à 34 ans,Femme,5.0
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Homme,3.3
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,35 à 44 ans,Femme,5.4
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Homme,0.8
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,45 à 54 ans,Femme,1.3
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Homme,
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,55 à 64 ans,Femme,0.4
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Homme,0.4
2015,Canada,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Femme,0.4
