Year,Géographie,Catégorie d'utilisation des sols,Qualité de l'eau,Value
2016-2018,Canada,Agriculture,Excellente,0
2016-2018,Canada,Agriculture,Bonne,6
2016-2018,Canada,Agriculture,Satisfaisante,9
2016-2018,Canada,Foresterie,Excellente,1
2016-2018,Canada,Foresterie,Bonne,6
2016-2018,Canada,Foresterie,Satisfaisante,2
2016-2018,Canada,Exploitation minière,Excellente,0
2016-2018,Canada,Exploitation minière,Bonne,2
2016-2018,Canada,Exploitation minière,Satisfaisante,2
2016-2018,Canada,Peuplé,Excellente,0
2016-2018,Canada,Peuplé,Bonne,0
2016-2018,Canada,Peuplé,Satisfaisante,1
2016-2018,Canada,Pressions mixtes,Excellente,2
2016-2018,Canada,Pressions mixtes,Bonne,13
2016-2018,Canada,Pressions mixtes,Satisfaisante,23
2016-2018,Canada,Non aménagés,Excellente,3
2016-2018,Canada,Non aménagés,Bonne,7
2016-2018,Canada,Non aménagés,Satisfaisante,3
2016-2018,Canada,Total,Excellente,5
2016-2018,Canada,Total,Bonne,35
2016-2018,Canada,Total,Satisfaisante,40
2016-2018,Océan Atlantique,Total,Excellente,4
2016-2018,Océan Atlantique,Total,Bonne,53
2016-2018,Océan Atlantique,Total,Satisfaisante,29
2016-2018,Great Lakes and St. Lawrence River,Total,Excellente,0
2016-2018,Great Lakes and St. Lawrence River,Total,Bonne,29
2016-2018,Great Lakes and St. Lawrence River,Total,Satisfaisante,45
2016-2018,Baie d'Hudson,Total,Excellente,11
2016-2018,Baie d'Hudson,Total,Bonne,31
2016-2018,Baie d'Hudson,Total,Satisfaisante,40
2016-2018,Fleuve Mackenzie,Total,Excellente,15
2016-2018,Fleuve Mackenzie,Total,Bonne,35
2016-2018,Fleuve Mackenzie,Total,Satisfaisante,50
2016-2018,Océan Pacifique,Total,Excellente,8
2016-2018,Océan Pacifique,Total,Bonne,28
2016-2018,Océan Pacifique,Total,Satisfaisante,40
2016-2018,Océan Atlantique,Agriculture,Excellente,0
2016-2018,Océan Atlantique,Agriculture,Bonne,7
2016-2018,Océan Atlantique,Agriculture,Satisfaisante,2
2016-2018,Océan Atlantique,Foresterie,Excellente,2
2016-2018,Océan Atlantique,Foresterie,Bonne,18
2016-2018,Océan Atlantique,Foresterie,Satisfaisante,9
2016-2018,Océan Atlantique,Exploitation minière,Excellente,0
2016-2018,Océan Atlantique,Exploitation minière,Bonne,2
2016-2018,Océan Atlantique,Exploitation minière,Satisfaisante,2
2016-2018,Océan Atlantique,Peuplé,Excellente,0
2016-2018,Océan Atlantique,Peuplé,Bonne,0
2016-2018,Océan Atlantique,Peuplé,Satisfaisante,0
2016-2018,Océan Atlantique,Pressions mixtes,Excellente,0
2016-2018,Océan Atlantique,Pressions mixtes,Bonne,9
2016-2018,Océan Atlantique,Pressions mixtes,Satisfaisante,4
2016-2018,Océan Atlantique,Non aménagés,Excellente,2
2016-2018,Océan Atlantique,Non aménagés,Bonne,18
2016-2018,Océan Atlantique,Non aménagés,Satisfaisante,11
