Year,Series,Value
2015,Nombre de succursales de banques commerciales par 100 000 adultes,22.91
2016,Nombre de succursales de banques commerciales par 100 000 adultes,22.34
2017,Nombre de succursales de banques commerciales par 100 000 adultes,20.83
2018,Nombre de succursales de banques commerciales par 100 000 adultes,20.18
2019,Nombre de succursales de banques commerciales par 100 000 adultes,19.76
2020,Nombre de succursales de banques commerciales par 100 000 adultes,20.19
2021,Nombre de succursales de banques commerciales par 100 000 adultes,20.7
2022,Nombre de succursales de banques commerciales par 100 000 adultes,19.77
2015,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes,222.14
2016,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes,224.76
2017,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes,229.25
2018,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes,220.53
2019,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes,214.43
2020,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes,210.45
2021,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes,212.5
2022,Nombre de guichets automatiques bancaires (GAB) par 100 000 adultes,206.07
