Year,Géographie,Sexe,Groupe d'âge,GeoCode,Value
2015,,,,,6.9
2016,,,,,7.0
2017,,,,,6.4
2018,,,,,5.8
2019,,,,,5.7
2020,,,,,9.7
2021,,,,,7.5
2022,,,,,5.3
2015,Canada,Les deux sexes,15 à 24 ans,,12.8
2015,Canada,Les deux sexes,25 ans et plus,,5.9
2015,Canada,Les deux sexes,25 à 44 ans,,6.2
2015,Canada,Les deux sexes,45 à 64 ans,,5.8
2015,Canada,Les deux sexes,45 ans et plus,,5.7
2015,Canada,Les deux sexes,25 à 54 ans,,5.9
2015,Canada,Les deux sexes,55 ans et plus,,6.0
2015,Canada,Les deux sexes,15 à 64 ans,,7.0
2015,Canada,Les deux sexes,15 à 19 ans,,17.5
2015,Canada,Les deux sexes,20 à 24 ans,,10.1
2015,Canada,Les deux sexes,25 à 29 ans,,7.5
2015,Canada,Les deux sexes,30 à 34 ans,,5.8
2015,Canada,Les deux sexes,35 à 39 ans,,5.8
2015,Canada,Les deux sexes,40 à 44 ans,,5.6
2015,Canada,Les deux sexes,45 à 49 ans,,5.2
2015,Canada,Les deux sexes,50 à 54 ans,,5.6
2015,Canada,Les deux sexes,55 à 59 ans,,6.1
2015,Canada,Les deux sexes,60 à 64 ans,,6.7
2015,Canada,Les deux sexes,65 ans et plus,,4.5
2015,Canada,Les deux sexes,65 à 69 ans,,5.4
2015,Canada,Les deux sexes,70 ans et plus,,2.8
2015,Canada,Hommes,15 ans et plus,,7.5
2015,Canada,Hommes,15 à 24 ans,,14.6
2015,Canada,Hommes,25 ans et plus,,6.3
2015,Canada,Hommes,25 à 44 ans,,6.5
2015,Canada,Hommes,45 à 64 ans,,6.3
2015,Canada,Hommes,45 ans et plus,,6.1
2015,Canada,Hommes,25 à 54 ans,,6.3
2015,Canada,Hommes,55 ans et plus,,6.4
2015,Canada,Hommes,15 à 64 ans,,7.6
2015,Canada,Hommes,15 à 19 ans,,19.2
2015,Canada,Hommes,20 à 24 ans,,12.2
2015,Canada,Hommes,25 à 29 ans,,8.3
2015,Canada,Hommes,30 à 34 ans,,6.0
2015,Canada,Hommes,35 à 39 ans,,5.9
2015,Canada,Hommes,40 à 44 ans,,5.7
2015,Canada,Hommes,45 à 49 ans,,5.5
2015,Canada,Hommes,50 à 54 ans,,6.2
2015,Canada,Hommes,55 à 59 ans,,6.4
2015,Canada,Hommes,60 à 64 ans,,7.5
2015,Canada,Hommes,65 ans et plus,,4.8
2015,Canada,Hommes,65 à 69 ans,,6.0
2015,Canada,Hommes,70 ans et plus,,2.6
2015,Canada,Femmes,15 ans et plus,,6.3
2015,Canada,Femmes,15 à 24 ans,,10.8
2015,Canada,Femmes,25 ans et plus,,5.5
2015,Canada,Femmes,25 à 44 ans,,5.8
2015,Canada,Femmes,45 à 64 ans,,5.3
2015,Canada,Femmes,45 ans et plus,,5.2
2015,Canada,Femmes,25 à 54 ans,,5.5
2015,Canada,Femmes,55 ans et plus,,5.4
2015,Canada,Femmes,15 à 64 ans,,6.4
2015,Canada,Femmes,15 à 19 ans,,15.8
2015,Canada,Femmes,20 à 24 ans,,7.8
2015,Canada,Femmes,25 à 29 ans,,6.6
2015,Canada,Femmes,30 à 34 ans,,5.5
2015,Canada,Femmes,35 à 39 ans,,5.6
2015,Canada,Femmes,40 à 44 ans,,5.5
2015,Canada,Femmes,45 à 49 ans,,4.9
2015,Canada,Femmes,50 à 54 ans,,5.1
2015,Canada,Femmes,55 à 59 ans,,5.7
2015,Canada,Femmes,60 à 64 ans,,5.7
2015,Canada,Femmes,65 ans et plus,,4.1
2015,Canada,Femmes,65 à 69 ans,,4.4
2015,Canada,Femmes,70 ans et plus,,3.4
2015,Terre-Neuve-et-Labrador,Les deux sexes,15 ans et plus,10,13.2
2015,Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,10,16.6
