Year,Series,Sexe,Value
2015,Fatality claims,Homme,811
2015,Fatality claims,Femme,40
2015,Fatality claims,Total,851
2016,Fatality claims,Homme,863
2016,Fatality claims,Femme,41
2016,Fatality claims,Total,904
2017,Fatality claims,Homme,920
2017,Fatality claims,Femme,31
2017,Fatality claims,Total,951
2018,Fatality claims,Homme,997
2018,Fatality claims,Femme,30
2018,Fatality claims,Total,1027
2019,Fatality claims,Homme,882
2019,Fatality claims,Femme,43
2019,Fatality claims,Total,925
2020,Fatality claims,Homme,878
2020,Fatality claims,Femme,46
2020,Fatality claims,Total,924
2021,Fatality claims,Homme,1009
2021,Fatality claims,Femme,72
2021,Fatality claims,Total,1081
2022,Fatality claims,Homme,941
2022,Fatality claims,Femme,50
2022,Fatality claims,Total,993
2015,Lost time claims,Homme,143478
2015,Lost time claims,Femme,89123
2015,Lost time claims,Unknown,28
2015,Lost time claims,Total,232629
2016,Lost time claims,Homme,145401
2016,Lost time claims,Femme,95235
2016,Lost time claims,Unknown,46
2016,Lost time claims,Total,240682
2017,Lost time claims,Homme,152240
2017,Lost time claims,Femme,99319
2017,Lost time claims,Unknown,66
2017,Lost time claims,Total,251625
2018,Lost time claims,Homme,158969
2018,Lost time claims,Femme,105443
2018,Lost time claims,Unknown,26
2018,Lost time claims,Total,264438
2019,Lost time claims,Homme,160801
2019,Lost time claims,Femme,110948
2019,Lost time claims,Unknown,57
2019,Lost time claims,Total,271806
2020,Lost time claims,Homme,138776
2020,Lost time claims,Femme,114489
2020,Lost time claims,Unknown,132
2020,Lost time claims,Total,253397
2021,Lost time claims,Homme,158600
2021,Lost time claims,Femme,118422
2021,Lost time claims,Unknown,195
2021,Lost time claims,Total,277217
2022,Lost time claims,Homme,170809
2022,Lost time claims,Femme,177637
2022,Lost time claims,Unknown,301
2022,Lost time claims,Total,348747
