Year,Aid for trade flows of official development assistance (ODA),Value
2012,Gross disbursements,37.97
2013,Gross disbursements,6.45
2014,Gross disbursements,19.17
2015,Gross disbursements,18.73
2016,Gross disbursements,16.2
2017,Gross disbursements,15.14
2018,Gross disbursements,9.93
2019,Gross disbursements,8.91
2020,Gross disbursements,5.42
2021,Gross disbursements,7.32
2012,Commitments,9.415
2013,Commitments,22.17
2014,Commitments,19.51
2015,Commitments,35.596
2016,Commitments,24.706
2017,Commitments,8.793
2018,Commitments,6.836
2019,Commitments,35.376
2020,Commitments,0.816
2021,Commitments,9.335
