Year,Units,Géographie,GeoCode,Value
2015,Pourcentage (%),,,11.49
2015,Pourcentage (%),Terre-Neuve-et-Labrador,10,8.78
2015,Pourcentage (%),Île-du-Prince-Édouard,11,11.67
2015,Pourcentage (%),Nouvelle-Écosse,12,7.37
2015,Pourcentage (%),Nouveau-Brunswick,13,8.4
2015,Pourcentage (%),Québec,24,15.01
2015,Pourcentage (%),Ontario,35,13.46
2015,Pourcentage (%),Manitoba,46,11.52
2015,Pourcentage (%),Saskatchewan,47,5.58
2015,Pourcentage (%),Alberta,48,8.65
2015,Pourcentage (%),Colombie-Britannique,59,7.49
2015,Pourcentage (%),Yukon,60,0.67
2015,Pourcentage (%),Territoires du Nord-Ouest,61,
2015,Pourcentage (%),Nunavut,62,
2016,Pourcentage (%),,,11.2
2016,Pourcentage (%),Terre-Neuve-et-Labrador,10,5.29
2016,Pourcentage (%),Île-du-Prince-Édouard,11,11.01
2016,Pourcentage (%),Nouvelle-Écosse,12,8.35
2016,Pourcentage (%),Nouveau-Brunswick,13,10.12
2016,Pourcentage (%),Québec,24,14.86
2016,Pourcentage (%),Ontario,35,12.96
2016,Pourcentage (%),Manitoba,46,10.28
2016,Pourcentage (%),Saskatchewan,47,6.2
2016,Pourcentage (%),Alberta,48,8.14
2016,Pourcentage (%),Colombie-Britannique,59,7.34
2016,Pourcentage (%),Yukon,60,0.67
2016,Pourcentage (%),Territoires du Nord-Ouest,61,
2016,Pourcentage (%),Nunavut,62,
2017,Pourcentage (%),,,11.29
2017,Pourcentage (%),Terre-Neuve-et-Labrador,10,5.39
2017,Pourcentage (%),Île-du-Prince-Édouard,11,11.03
2017,Pourcentage (%),Nouvelle-Écosse,12,7.42
2017,Pourcentage (%),Nouveau-Brunswick,13,11.17
2017,Pourcentage (%),Québec,24,15.11
2017,Pourcentage (%),Ontario,35,13.05
2017,Pourcentage (%),Manitoba,46,10.25
2017,Pourcentage (%),Saskatchewan,47,5.92
2017,Pourcentage (%),Alberta,48,8.13
2017,Pourcentage (%),Colombie-Britannique,59,7.71
2017,Pourcentage (%),Yukon,60,0.66
2017,Pourcentage (%),Territoires du Nord-Ouest,61,0.33
2017,Pourcentage (%),Nunavut,62,0.35
2018,Pourcentage (%),,,11.54
2018,Pourcentage (%),Terre-Neuve-et-Labrador,10,5.16
2018,Pourcentage (%),Île-du-Prince-Édouard,11,11.69
2018,Pourcentage (%),Nouvelle-Écosse,12,6.44
2018,Pourcentage (%),Nouveau-Brunswick,13,11.99
2018,Pourcentage (%),Québec,24,15.01
2018,Pourcentage (%),Ontario,35,13.25
2018,Pourcentage (%),Manitoba,46,10.7
2018,Pourcentage (%),Saskatchewan,47,6.36
2018,Pourcentage (%),Alberta,48,9.13
2018,Pourcentage (%),Colombie-Britannique,59,7.81
2018,Pourcentage (%),Yukon,60,0.67
2018,Pourcentage (%),Territoires du Nord-Ouest,61,0.26
2018,Pourcentage (%),Nunavut,62,0.42
2019,Pourcentage (%),,,11.11
2019,Pourcentage (%),Terre-Neuve-et-Labrador,10,5.19
2019,Pourcentage (%),Île-du-Prince-Édouard,11,11.39
2019,Pourcentage (%),Nouvelle-Écosse,12,6.21
2019,Pourcentage (%),Nouveau-Brunswick,13,10.81
2019,Pourcentage (%),Québec,24,15.2
2019,Pourcentage (%),Ontario,35,12.63
2019,Pourcentage (%),Manitoba,46,10.84
2019,Pourcentage (%),Saskatchewan,47,6.54
2019,Pourcentage (%),Alberta,48,8.42
2019,Pourcentage (%),Colombie-Britannique,59,6.9
2019,Pourcentage (%),Yukon,60,0.65
2019,Pourcentage (%),Territoires du Nord-Ouest,61,0.3
2019,Pourcentage (%),Nunavut,62,0.43
2020,Pourcentage (%),,,10.63
2020,Pourcentage (%),Terre-Neuve-et-Labrador,10,4.75
2020,Pourcentage (%),Île-du-Prince-Édouard,11,12.62
2020,Pourcentage (%),Nouvelle-Écosse,12,6.25
2020,Pourcentage (%),Nouveau-Brunswick,13,11.34
2020,Pourcentage (%),Québec,24,13.79
2020,Pourcentage (%),Ontario,35,11.81
2020,Pourcentage (%),Manitoba,46,10.87
2020,Pourcentage (%),Saskatchewan,47,6.47
2020,Pourcentage (%),Alberta,48,8.59
2020,Pourcentage (%),Colombie-Britannique,59,7.18
2020,Pourcentage (%),Yukon,60,0.69
2020,Pourcentage (%),Territoires du Nord-Ouest,61,
2020,Pourcentage (%),Nunavut,62,
2021,Pourcentage (%),,,11.62
2021,Pourcentage (%),Terre-Neuve-et-Labrador,10,4.78
2021,Pourcentage (%),Île-du-Prince-Édouard,11,11.12
2021,Pourcentage (%),Nouvelle-Écosse,12,6.41
2021,Pourcentage (%),Nouveau-Brunswick,13,13.42
2021,Pourcentage (%),Québec,24,15.07
