Year,Géographie,Industrie,GeoCode,Value
2015,,,,9.49
2016,,,,9.28
2017,,,,9.26
2018,,,,9.32
2019,,,,9.3
2020,,,,9.31
2021,,,,9.18
2022,,,,8.87
2015,Canada,Biens non durables,,3.84
2015,Canada,Fabrication d’aliments,,1.4
2015,Canada,Fabrication d'aliments pour animaux,,0.06
2015,Canada,Mouture de grains céréaliers et de graines oléagineuses,,0.05
2015,Canada,Fabrication de sucre et de confiseries,,0.07
2015,Canada,Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires,,0.11
2015,Canada,Fabrication de produits laitiers,,0.15
2015,Canada,Fabrication de produits de viande,,0.36
2015,Canada,Préparation et conditionnement de poissons et de fruits de mer,,0.15
2015,Canada,Boulangeries et fabrication de tortillas,,0.28
2015,Canada,Fabrication d'autres aliments,,0.18
2015,Canada,Fabrication de boissons et de produits du tabac,,0.22
2015,Canada,Fabrication de boissons,,0.2
2015,Canada,Fabrication du tabac,,0.02
2015,Canada,Fabrication de produits du cannabis,,
2015,Canada,Usines de textiles,,0.05
2015,Canada,"Usines de fibres, de filés et de fils",,0.01
2015,Canada,Usines de tissus,,0.03
2015,Canada,Finissage de textiles et de tissus et revêtement de tissus,,0.01
2015,Canada,Usines de produits textiles,,0.06
2015,Canada,Usines de textiles domestiques,,0.02
2015,Canada,Usines d'autres produits textiles,,0.04
2015,Canada,Apparel manufacturing,,0.13
2015,Canada,Apparel knitting mills,,0.01
2015,Canada,Fabrication de vêtements coupés-cousus,,0.1
2015,Canada,Fabrication d'accessoires vestimentaires et d'autres vêtements,,0.01
2015,Canada,Fabrication de produits en cuir et de produits analogues,,0.02
2015,Canada,Tannage et finissage du cuir et des peaux,,0.0
2015,Canada,Fabrication de chaussures,,0.01
2015,Canada,Fabrication d'autres produits en cuir et produits analogues,,0.01
2015,Canada,Fabrication du papier,,0.35
2015,Canada,"Usines de pâte à papier, de papier et de carton",,0.17
2015,Canada,Fabrication de produits en papier transformé,,0.18
2015,Canada,Impression et activités connexes de soutien,,0.31
2015,Canada,Fabrication de produits du pétrole et du charbon,,0.12
2015,Canada,Fabrication de produits chimiques,,0.56
