Year,Géographie,Type de science,GeoCode,Value
2015,,,,1.69
2016,,,,1.73
2017,,,,1.69
2018,,,,1.74
2019,,,,1.76
2020,,,,1.89
2021,,,,1.7
2015,Canada,Sciences naturelles et génie,,1.52
2015,Canada,"Sciences sociales, humaines et les arts",,0.18
2015,Terre-Neuve-et-Labrador,Sciences totales,10,1.19
2015,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,1.02
2015,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.17
2015,Île-du-Prince-Édouard,Sciences totales,11,1.3
2015,Île-du-Prince-Édouard,Sciences naturelles et génie,,1.08
2015,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.21
2015,Nouvelle-Écosse,Sciences totales,12,1.51
2015,Nouvelle-Écosse,Sciences naturelles et génie,,1.23
2015,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.28
2015,Nouveau-Brunswick,Sciences totales,13,0.92
2015,Nouveau-Brunswick,Sciences naturelles et génie,,0.72
2015,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.2
2015,Québec,Sciences totales,24,2.26
2015,Québec,Sciences naturelles et génie,,2.04
2015,Québec,"Sciences sociales, humaines et les arts",,0.23
2015,Ontario,Sciences totales,35,1.93
2015,Ontario,Sciences naturelles et génie,,1.73
2015,Ontario,"Sciences sociales, humaines et les arts",,0.2
2015,Manitoba,Sciences totales,46,1.22
2015,Manitoba,Sciences naturelles et génie,,1.05
2015,Manitoba,"Sciences sociales, humaines et les arts",,0.17
2015,Saskatchewan,Sciences totales,47,0.96
2015,Saskatchewan,Sciences naturelles et génie,,0.87
2015,Saskatchewan,"Sciences sociales, humaines et les arts",,0.08
2015,Alberta,Sciences totales,48,1.09
2015,Alberta,Sciences naturelles et génie,,1.01
2015,Alberta,"Sciences sociales, humaines et les arts",,0.08
2015,Colombie-Britannique,Sciences totales,59,1.42
2015,Colombie-Britannique,Sciences naturelles et génie,,1.26
2015,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.16
2015,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2015,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2015,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2016,Canada,Sciences naturelles et génie,,1.55
2016,Canada,"Sciences sociales, humaines et les arts",,0.18
2016,Terre-Neuve-et-Labrador,Sciences totales,10,1.15
2016,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,0.98
2016,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.17
2016,Île-du-Prince-Édouard,Sciences totales,11,1.32
2016,Île-du-Prince-Édouard,Sciences naturelles et génie,,1.13
2016,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.19
2016,Nouvelle-Écosse,Sciences totales,12,1.54
2016,Nouvelle-Écosse,Sciences naturelles et génie,,1.24
2016,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.29
2016,Nouveau-Brunswick,Sciences totales,13,1.05
2016,Nouveau-Brunswick,Sciences naturelles et génie,,0.86
2016,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.2
2016,Québec,Sciences totales,24,2.21
2016,Québec,Sciences naturelles et génie,,1.99
2016,Québec,"Sciences sociales, humaines et les arts",,0.22
2016,Ontario,Sciences totales,35,1.97
2016,Ontario,Sciences naturelles et génie,,1.78
2016,Ontario,"Sciences sociales, humaines et les arts",,0.19
2016,Manitoba,Sciences totales,46,1.22
2016,Manitoba,Sciences naturelles et génie,,1.04
2016,Manitoba,"Sciences sociales, humaines et les arts",,0.18
