Year,Series,Units,Géographie,GeoCode,Value
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),,,85.07
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Terre-Neuve-et-Labrador,10,97.63
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Île-du-Prince-Édouard,11,97.48
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouvelle-Écosse,12,72.87
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouveau-Brunswick,13,91.38
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Québec,24,93.11
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Ontario,35,75.93
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Manitoba,46,76.44
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Saskatchewan,47,73.71
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Alberta,48,89.94
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Colombie-Britannique,59,98.01
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Territoires du Nord-Ouest et Nunavut,,97.8
2015,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Yukon,60,94.88
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),,,84.38
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Terre-Neuve-et-Labrador,10,97.61
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Île-du-Prince-Édouard,11,98.04
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouvelle-Écosse,12,75.4
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouveau-Brunswick,13,91.39
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Québec,24,92.6
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Ontario,35,76.24
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Manitoba,46,77.4
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Saskatchewan,47,71.3
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Alberta,48,84.36
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Colombie-Britannique,59,97.61
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Territoires du Nord-Ouest et Nunavut,,97.16
2016,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Yukon,60,97.32
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),,,84.4
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Terre-Neuve-et-Labrador,10,97.44
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Île-du-Prince-Édouard,11,97.71
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouvelle-Écosse,12,74.93
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouveau-Brunswick,13,91.39
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Québec,24,92.6
