Year,Units,Type de catastrophe naturelle,Value
2015,Perte économique dollars canadiens/PIB,,386.81
2016,Perte économique dollars canadiens/PIB,,195.38
2017,Perte économique dollars canadiens/PIB,,582.42
2018,Perte économique dollars canadiens/PIB,,167.5
2019,Perte économique dollars canadiens/PIB,,101.87
2020,Perte économique dollars canadiens/PIB,,1855.03
2015,Perte économique dollars canadiens/PIB,Météorologique - Inondation,44.76
2015,Perte économique dollars canadiens/PIB,Météorologique - Tempête,342.06
2016,Perte économique dollars canadiens/PIB,Météorologique - Inondation,34.79
2016,Perte économique dollars canadiens/PIB,Météorologique - Tempête,95.04
2016,Perte économique dollars canadiens/PIB,Météorologique - Tempête hivernale,65.55
2017,Perte économique dollars canadiens/PIB,Météorologique - Inondation,469.57
2017,Perte économique dollars canadiens/PIB,Météorologique - Tempête,54.19
2017,Perte économique dollars canadiens/PIB,Météorologique - Feu de forêt,58.66
2018,Perte économique dollars canadiens/PIB,Météorologique - Inondation,26.57
2018,Perte économique dollars canadiens/PIB,Météorologique - Épisode de chaleur,21.05
2018,Perte économique dollars canadiens/PIB,Météorologique - Tempête,15.55
2018,Perte économique dollars canadiens/PIB,Météorologique - Feu de forêt,74.8
2018,Perte économique dollars canadiens/PIB,Météorologique - Tempête hivernale,29.52
2019,Perte économique dollars canadiens/PIB,Météorologique - Inondation,82.12
2019,Perte économique dollars canadiens/PIB,Météorologique - Tempête,19.74
2020,Perte économique dollars canadiens/PIB,Météorologique - Tempête,1855.03
