Year,Series,Centile,Value
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,1.308
2011-2016,Dépenses des ménages par habitant,Tous les quintiles,1.377
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,1.519
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,1.94
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,1.847
2011-2016,Dépenses des ménages par habitant,Quintile inférieur,1.247
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,2.03
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,1.981
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,1.434
2011-2016,Dépenses des ménages par habitant,Deuxième quintile,0.484
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,2.442
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,1.935
2010-2015,Revenu par habitant,Total des déciles,0.236
2011-2016,Revenu par habitant,Total des déciles,-0.053
2012-2017,Revenu par habitant,Total des déciles,0.048
2014-2019,Revenu par habitant,Total des déciles,-0.343
2010-2015,Revenu par habitant,Décile inférieur,-0.006
2011-2016,Revenu par habitant,Décile inférieur,-0.327
2012-2017,Revenu par habitant,Décile inférieur,0.999
2014-2019,Revenu par habitant,Décile inférieur,1.008
2010-2015,Revenu par habitant,Deuxième décile,0.146
2011-2016,Revenu par habitant,Deuxième décile,0.402
2012-2017,Revenu par habitant,Deuxième décile,0.587
2014-2019,Revenu par habitant,Deuxième décile,0.434
2010-2015,Revenu par habitant,Troisième décile,0.341
2011-2016,Revenu par habitant,Troisième décile,0.35
2012-2017,Revenu par habitant,Troisième décile,0.369
2014-2019,Revenu par habitant,Troisième décile,-0.022
2010-2015,Revenu par habitant,Quatrième décile,0.428
2011-2016,Revenu par habitant,Quatrième décile,0.126
2012-2017,Revenu par habitant,Quatrième décile,0.138
2014-2019,Revenu par habitant,Quatrième décile,-0.112
