Year,Indicateur,Value
2005,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,11.31
2006,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,11.46
2007,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,10.92
2008,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,9.86
2009,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,11.29
2010,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,12.87
2011,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,13.32
2012,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,13.03
2013,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,11.59
2014,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,11.71
2015,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,11.92
2016,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,12.08
2017,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,12.86
2018,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,13.06
2019,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,13.18
2020,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,13.29
2021,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,14.69
2022,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,14.82
2005,Ratio des créances improductives moins provisions aux fonds propres,3.93
2006,Ratio des créances improductives moins provisions aux fonds propres,3.05
2007,Ratio des créances improductives moins provisions aux fonds propres,3.33
2008,Ratio des créances improductives moins provisions aux fonds propres,6.07
2009,Ratio des créances improductives moins provisions aux fonds propres,9.93
2010,Ratio des créances improductives moins provisions aux fonds propres,10.63
2011,Ratio des créances improductives moins provisions aux fonds propres,8.56
2012,Ratio des créances improductives moins provisions aux fonds propres,6.67
2013,Ratio des créances improductives moins provisions aux fonds propres,6.42
2014,Ratio des créances improductives moins provisions aux fonds propres,5.74
2015,Ratio des créances improductives moins provisions aux fonds propres,5.47
2016,Ratio des créances improductives moins provisions aux fonds propres,6.1
2017,Ratio des créances improductives moins provisions aux fonds propres,5.16
2018,Ratio des créances improductives moins provisions aux fonds propres,5.33
2019,Ratio des créances improductives moins provisions aux fonds propres,4.87
2020,Ratio des créances improductives moins provisions aux fonds propres,4.84
2021,Ratio des créances improductives moins provisions aux fonds propres,3.65
2022,Ratio des créances improductives moins provisions aux fonds propres,2.76
2005,Ratio des créances improductives au total des prêts bruts,0.57
2006,Ratio des créances improductives au total des prêts bruts,0.45
2007,Ratio des créances improductives au total des prêts bruts,0.43
2008,Ratio des créances improductives au total des prêts bruts,0.63
2009,Ratio des créances improductives au total des prêts bruts,1.1
2010,Ratio des créances improductives au total des prêts bruts,1.27
2011,Ratio des créances improductives au total des prêts bruts,1.0
2012,Ratio des créances improductives au total des prêts bruts,0.66
2013,Ratio des créances improductives au total des prêts bruts,0.59
2014,Ratio des créances improductives au total des prêts bruts,0.54
2015,Ratio des créances improductives au total des prêts bruts,0.52
2016,Ratio des créances improductives au total des prêts bruts,0.59
2017,Ratio des créances improductives au total des prêts bruts,0.5
2018,Ratio des créances improductives au total des prêts bruts,0.53
2019,Ratio des créances improductives au total des prêts bruts,0.52
2020,Ratio des créances improductives au total des prêts bruts,0.54
2021,Ratio des créances improductives au total des prêts bruts,0.45
2022,Ratio des créances improductives au total des prêts bruts,0.34
2005,Rentabilité des actifs,1.13
2006,Rentabilité des actifs,1.36
2007,Rentabilité des actifs,1.16
2008,Rentabilité des actifs,0.43
2009,Rentabilité des actifs,0.62
2010,Rentabilité des actifs,1.1
2011,Rentabilité des actifs,1.15
2012,Rentabilité des actifs,1.11
2013,Rentabilité des actifs,1.12
2014,Rentabilité des actifs,1.14
2015,Rentabilité des actifs,1.05
2016,Rentabilité des actifs,0.98
2017,Rentabilité des actifs,1.13
2018,Rentabilité des actifs,1.17
2019,Rentabilité des actifs,1.06
2020,Rentabilité des actifs,0.81
2021,Rentabilité des actifs,1.12
2022,Rentabilité des actifs,1.23
2005,Ratio des actifs liquides aux passifs à court terme,34.48
2006,Ratio des actifs liquides aux passifs à court terme,34.94
2007,Ratio des actifs liquides aux passifs à court terme,32.9
2008,Ratio des actifs liquides aux passifs à court terme,35.72
2009,Ratio des actifs liquides aux passifs à court terme,48.12
2010,Ratio des actifs liquides aux passifs à court terme,53.75
2011,Ratio des actifs liquides aux passifs à court terme,52.96
2012,Ratio des actifs liquides aux passifs à court terme,45.6
2013,Ratio des actifs liquides aux passifs à court terme,43.19
2014,Ratio des actifs liquides aux passifs à court terme,46.77
2015,Ratio des actifs liquides aux passifs à court terme,46.08
2016,Ratio des actifs liquides aux passifs à court terme,49.24
2017,Ratio des actifs liquides aux passifs à court terme,50.66
2018,Ratio des actifs liquides aux passifs à court terme,47.87
2019,Ratio des actifs liquides aux passifs à court terme,44.76
2020,Ratio des actifs liquides aux passifs à court terme,67.11
2021,Ratio des actifs liquides aux passifs à court terme,82.32
2022,Ratio des actifs liquides aux passifs à court terme,65.51
2005,Ratio des fonds propres réglementaires de base aux actifs,4.56
2006,Ratio des fonds propres réglementaires de base aux actifs,4.57
2007,Ratio des fonds propres réglementaires de base aux actifs,4.32
2008,Ratio des fonds propres réglementaires de base aux actifs,4.13
2009,Ratio des fonds propres réglementaires de base aux actifs,4.51
2010,Ratio des fonds propres réglementaires de base aux actifs,4.81
2011,Ratio des fonds propres réglementaires de base aux actifs,4.78
2012,Ratio des fonds propres réglementaires de base aux actifs,4.51
2013,Ratio des fonds propres réglementaires de base aux actifs,4.23
2014,Ratio des fonds propres réglementaires de base aux actifs,4.42
2015,Ratio des fonds propres réglementaires de base aux actifs,4.41
2016,Ratio des fonds propres réglementaires de base aux actifs,4.48
2017,Ratio des fonds propres réglementaires de base aux actifs,4.75
2018,Ratio des fonds propres réglementaires de base aux actifs,4.79
2019,Ratio des fonds propres réglementaires de base aux actifs,4.75
2020,Ratio des fonds propres réglementaires de base aux actifs,4.46
2021,Ratio des fonds propres réglementaires de base aux actifs,4.71
2022,Ratio des fonds propres réglementaires de base aux actifs,4.71
