Year,Géographie,Divisions de recensement,GeoCode,Value
2016,Terre-Neuve-et-Labrador,,10,26.7
2016,"St. John's, Terre-Neuve-et-Labrador",,,59.9
2016,Terre-Neuve-et-Labrador,Subdivisions de recensement dans une agglomération de recensement,,22.1
2016,Terre-Neuve-et-Labrador,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,0.0
2016,Île-du-Prince-Édouard,,11,16.9
2016,Île-du-Prince-Édouard,Subdivisions de recensement dans une agglomération de recensement,,28.1
2016,Île-du-Prince-Édouard,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,0.0
2016,Nouvelle-Écosse,,12,37.6
2016,"Halifax, Nouvelle-Écosse",,,70.9
2016,Nouvelle-Écosse,Subdivisions de recensement dans une agglomération de recensement,,29.7
2016,Nouvelle-Écosse,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,0.0
2016,Nouveau-Brunswick,,13,28.8
2016,"Moncton, Nouveau-Brunswick",,,65.4
2016,"Saint John, Nouveau-Brunswick",,,49.1
2016,Nouveau-Brunswick,Subdivisions de recensement dans une agglomération de recensement,,29.8
2016,Nouveau-Brunswick,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,0.0
2016,Québec,,24,66.6
2016,"Montréal, Québec",,,91.6
2016,"Ottawa - Gatineau (partie du Québec), Québec",,,77.2
2016,"Québec, Québec",,,83.1
2016,"Saguenay, Québec",,,75.4
2016,"Sherbrooke, Québec",,,76.4
2016,"Trois-Rivières, Québec",,,75.4
2016,Québec,Subdivisions de recensement dans une agglomération de recensement,,35.5
2016,Québec,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,3.4
2016,Ontario,,35,75.2
2016,"Barrie, Ontario",,,66.8
2016,"Belleville, Ontario",,,57.1
2016,"Brantford, Ontario",,,69.6
2016,"Greater Sudbury / Grand Sudbury, Ontario",,,66.5
2016,"Guelph, Ontario",,,83.5
2016,"Hamilton, Ontario",,,81.1
2016,"Kingston, Ontario",,,69.4
2016,"Kitchener - Cambridge - Waterloo, Ontario",,,86.2
2016,"London, Ontario",,,77.7
2016,"Oshawa, Ontario",,,88.7
2016,"Ottawa - Gatineau (partie de l'Ontario), Ontario",,,85.0
2016,"Peterborough, Ontario",,,62.7
2016,"St. Catharines - Niagara, Ontario",,,80.9
2016,"Thunder Bay, Ontario",,,76.3
2016,"Toronto, Ontario",,,93.0
2016,"Windsor, Ontario",,,67.1
2016,Ontario,Subdivisions de recensement dans une agglomération de recensement,,54.7
2016,Ontario,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,1.7
2016,Manitoba,,46,57.4
2016,"Winnipeg, Manitoba",,,88.2
2016,Manitoba,Subdivisions de recensement dans une agglomération de recensement,,35.7
2016,Manitoba,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,0.0
2016,Saskatchewan,,47,50.3
2016,"Regina, Saskatchewan",,,90.4
2016,"Saskatoon, Saskatchewan",,,82.6
2016,Saskatchewan,Subdivisions de recensement dans une agglomération de recensement,,54.4
2016,Saskatchewan,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,0.0
2016,Alberta,,48,67.9
2016,"Calgary, Alberta",,,88.9
2016,"Edmonton, Alberta",,,82.7
2016,"Lethbridge, Alberta",,,71.6
2016,Alberta,Subdivisions de recensement dans une agglomération de recensement,,64.5
2016,Alberta,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,3.1
2016,Colombie-Britannique,,59,78.4
2016,"Abbotsford - Mission, Colombie-Britannique",,,79.3
2016,"Kelowna, Colombie-Britannique",,,73.7
2016,"Vancouver, Colombie-Britannique",,,92.7
2016,"Victoria, Colombie-Britannique",,,90.4
2016,Colombie-Britannique,Subdivisions de recensement dans une agglomération de recensement,,72.0
2016,Colombie-Britannique,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,17.1
2016,Yukon,,60,56.3
2016,Yukon,Subdivisions de recensement dans une agglomération de recensement,,71.6
2016,Yukon,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,0.0
2016,Territoires du Nord-Ouest,,61,41.4
2016,Territoires du Nord-Ouest,Subdivisions de recensement dans une agglomération de recensement,,88.4
2016,Territoires du Nord-Ouest,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,0.0
2016,Nunavut,,62,0.0
2016,Nunavut,Région à l’extérieur des régions métropolitaines de recensement et des agglomérations de recensement,,0.0
