Year,Series,Units,Géographie,Value
1971/91,Taux de consommation des terres,Taux de croissance,,578.93
1971/91,Taux de consommation des terres,Taux de croissance,"Abbotsford - Mission, Colombie-Britannique",5.05
1971/91,Taux de consommation des terres,Taux de croissance,"Barrie, Ontario",5.4
1971/91,Taux de consommation des terres,Taux de croissance,"Brantford, Ontario",5.43
1971/91,Taux de consommation des terres,Taux de croissance,"Calgary, Alberta",28.52
1971/91,Taux de consommation des terres,Taux de croissance,"Edmonton, Alberta",44.5
1971/91,Taux de consommation des terres,Taux de croissance,"Grand Sudbury, Ontario",10.27
1971/91,Taux de consommation des terres,Taux de croissance,"Guelph, Ontario",4.15
1971/91,Taux de consommation des terres,Taux de croissance,"Halifax, Nouvelle-Écosse",15.61
1971/91,Taux de consommation des terres,Taux de croissance,"Hamilton, Ontario",16.12
1971/91,Taux de consommation des terres,Taux de croissance,"Kelowna, Colombie-Britannique",6.96
1971/91,Taux de consommation des terres,Taux de croissance,"Kingston, Ontario",8.73
1971/91,Taux de consommation des terres,Taux de croissance,"Kitchener - Cambridge - Waterloo, Ontario",10.82
1971/91,Taux de consommation des terres,Taux de croissance,"London, Ontario",16.5
1971/91,Taux de consommation des terres,Taux de croissance,"Moncton, Nouveau-Brunswick",6.39
1971/91,Taux de consommation des terres,Taux de croissance,"Montreal, Quebec",64.8
1971/91,Taux de consommation des terres,Taux de croissance,"Oshawa, Ontario",8.61
1971/91,Taux de consommation des terres,Taux de croissance,"Ottawa - Gatineau (partie de l'Ontario), Ontario",28.53
1971/91,Taux de consommation des terres,Taux de croissance,"Ottawa - Gatineau (partie du Québec), Québec",11.72
1971/91,Taux de consommation des terres,Taux de croissance,"Peterborough, Ontario",6.29
1971/91,Taux de consommation des terres,Taux de croissance,"Québec, Québec",18.08
1971/91,Taux de consommation des terres,Taux de croissance,"Regina, Saskatchewan",10.46
1971/91,Taux de consommation des terres,Taux de croissance,"Saguenay, Québec",7.64
1971/91,Taux de consommation des terres,Taux de croissance,"Saint John, Nouveau-Brunswick",8.84
1971/91,Taux de consommation des terres,Taux de croissance,"Saskatoon, Saskatchewan",14.48
1971/91,Taux de consommation des terres,Taux de croissance,"Sherbrooke, Québec",7.56
1971/91,Taux de consommation des terres,Taux de croissance,"St. Catharines - Niagara, Ontario",15.67
1971/91,Taux de consommation des terres,Taux de croissance,"St. John's, Terre-Neuve-et-Labrador",5.94
1971/91,Taux de consommation des terres,Taux de croissance,"Thunder Bay, Ontario",7.13
1971/91,Taux de consommation des terres,Taux de croissance,"Toronto, Ontario",85.63
1971/91,Taux de consommation des terres,Taux de croissance,"Trois-Rivières, Québec",5.86
1971/91,Taux de consommation des terres,Taux de croissance,"Vancouver, Colombie-Britannique",39.99
1971/91,Taux de consommation des terres,Taux de croissance,"Victoria, Colombie-Britannique",9.14
1971/91,Taux de consommation des terres,Taux de croissance,"Windsor, Ontario",10.66
1971/91,Taux de consommation des terres,Taux de croissance,"Winnipeg, Manitoba",25.79
1991/01,Taux de consommation des terres,Taux de croissance,,1353.09
1991/01,Taux de consommation des terres,Taux de croissance,"Abbotsford - Mission, Colombie-Britannique",12.95
1991/01,Taux de consommation des terres,Taux de croissance,"Barrie, Ontario",14.5
1991/01,Taux de consommation des terres,Taux de croissance,"Brantford, Ontario",14.86
1991/01,Taux de consommation des terres,Taux de croissance,"Calgary, Alberta",63.27
1991/01,Taux de consommation des terres,Taux de croissance,"Edmonton, Alberta",103.64
1991/01,Taux de consommation des terres,Taux de croissance,"Grand Sudbury, Ontario",24.82
1991/01,Taux de consommation des terres,Taux de croissance,"Guelph, Ontario",10.6
1991/01,Taux de consommation des terres,Taux de croissance,"Halifax, Nouvelle-Écosse",42.71
1991/01,Taux de consommation des terres,Taux de croissance,"Hamilton, Ontario",39.63
1991/01,Taux de consommation des terres,Taux de croissance,"Kelowna, Colombie-Britannique",16.41
1991/01,Taux de consommation des terres,Taux de croissance,"Kingston, Ontario",19.31
1991/01,Taux de consommation des terres,Taux de croissance,"Kitchener - Cambridge - Waterloo, Ontario",26.42
1991/01,Taux de consommation des terres,Taux de croissance,"London, Ontario",39.55
1991/01,Taux de consommation des terres,Taux de croissance,"Moncton, Nouveau-Brunswick",16.71
1991/01,Taux de consommation des terres,Taux de croissance,"Montreal, Quebec",140.87
1991/01,Taux de consommation des terres,Taux de croissance,"Oshawa, Ontario",21.93
1991/01,Taux de consommation des terres,Taux de croissance,"Ottawa - Gatineau (partie de l'Ontario), Ontario",58.96
1991/01,Taux de consommation des terres,Taux de croissance,"Ottawa - Gatineau (partie du Québec), Québec",25.07
1991/01,Taux de consommation des terres,Taux de croissance,"Peterborough, Ontario",15.68
1991/01,Taux de consommation des terres,Taux de croissance,"Québec, Québec",40.75
1991/01,Taux de consommation des terres,Taux de croissance,"Regina, Saskatchewan",21.77
1991/01,Taux de consommation des terres,Taux de croissance,"Saguenay, Québec",16.71
1991/01,Taux de consommation des terres,Taux de croissance,"Saint John, Nouveau-Brunswick",23.77
1991/01,Taux de consommation des terres,Taux de croissance,"Saskatoon, Saskatchewan",30.28
1991/01,Taux de consommation des terres,Taux de croissance,"Sherbrooke, Québec",16.93
1991/01,Taux de consommation des terres,Taux de croissance,"St. Catharines - Niagara, Ontario",39.4
1991/01,Taux de consommation des terres,Taux de croissance,"St. John's, Terre-Neuve-et-Labrador",16.78
1991/01,Taux de consommation des terres,Taux de croissance,"Thunder Bay, Ontario",18.54
1991/01,Taux de consommation des terres,Taux de croissance,"Toronto, Ontario",208.12
1991/01,Taux de consommation des terres,Taux de croissance,"Trois-Rivières, Québec",13.0
1991/01,Taux de consommation des terres,Taux de croissance,"Vancouver, Colombie-Britannique",95.89
1991/01,Taux de consommation des terres,Taux de croissance,"Victoria, Colombie-Britannique",21.62
1991/01,Taux de consommation des terres,Taux de croissance,"Windsor, Ontario",24.88
1991/01,Taux de consommation des terres,Taux de croissance,"Winnipeg, Manitoba",53.45
2001/11,Taux de consommation des terres,Taux de croissance,,1454.46
2001/11,Taux de consommation des terres,Taux de croissance,"Abbotsford - Mission, Colombie-Britannique",13.81
2001/11,Taux de consommation des terres,Taux de croissance,"Barrie, Ontario",15.42
2001/11,Taux de consommation des terres,Taux de croissance,"Brantford, Ontario",15.37
2001/11,Taux de consommation des terres,Taux de croissance,"Calgary, Alberta",69.87
2001/11,Taux de consommation des terres,Taux de croissance,"Edmonton, Alberta",109.26
2001/11,Taux de consommation des terres,Taux de croissance,"Grand Sudbury, Ontario",26.8
2001/11,Taux de consommation des terres,Taux de croissance,"Guelph, Ontario",11.13
2001/11,Taux de consommation des terres,Taux de croissance,"Halifax, Nouvelle-Écosse",46.6
2001/11,Taux de consommation des terres,Taux de croissance,"Hamilton, Ontario",41.9
2001/11,Taux de consommation des terres,Taux de croissance,"Kelowna, Colombie-Britannique",18.36
2001/11,Taux de consommation des terres,Taux de croissance,"Kingston, Ontario",20.7
2001/11,Taux de consommation des terres,Taux de croissance,"Kitchener - Cambridge - Waterloo, Ontario",28.03
2001/11,Taux de consommation des terres,Taux de croissance,"London, Ontario",41.35
2001/11,Taux de consommation des terres,Taux de croissance,"Moncton, Nouveau-Brunswick",18.14
2001/11,Taux de consommation des terres,Taux de croissance,"Montreal, Quebec",156.99
2001/11,Taux de consommation des terres,Taux de croissance,"Oshawa, Ontario",23.49
2001/11,Taux de consommation des terres,Taux de croissance,"Ottawa - Gatineau (partie de l'Ontario), Ontario",63.44
2001/11,Taux de consommation des terres,Taux de croissance,"Ottawa - Gatineau (partie du Québec), Québec",32.71
2001/11,Taux de consommation des terres,Taux de croissance,"Peterborough, Ontario",16.51
2001/11,Taux de consommation des terres,Taux de croissance,"Québec, Québec",47.4
2001/11,Taux de consommation des terres,Taux de croissance,"Regina, Saskatchewan",22.87
2001/11,Taux de consommation des terres,Taux de croissance,"Saguenay, Québec",18.71
2001/11,Taux de consommation des terres,Taux de croissance,"Saint John, Nouveau-Brunswick",24.88
2001/11,Taux de consommation des terres,Taux de croissance,"Saskatoon, Saskatchewan",31.84
2001/11,Taux de consommation des terres,Taux de croissance,"Sherbrooke, Québec",20.24
2001/11,Taux de consommation des terres,Taux de croissance,"St. Catharines - Niagara, Ontario",41.1
2001/11,Taux de consommation des terres,Taux de croissance,"St. John's, Terre-Neuve-et-Labrador",17.96
2001/11,Taux de consommation des terres,Taux de croissance,"Thunder Bay, Ontario",19.18
2001/11,Taux de consommation des terres,Taux de croissance,"Toronto, Ontario",218.28
2001/11,Taux de consommation des terres,Taux de croissance,"Trois-Rivières, Québec",14.65
2001/11,Taux de consommation des terres,Taux de croissance,"Vancouver, Colombie-Britannique",99.42
2001/11,Taux de consommation des terres,Taux de croissance,"Victoria, Colombie-Britannique",23.21
2001/11,Taux de consommation des terres,Taux de croissance,"Windsor, Ontario",25.72
