Year,Series,Units,Type de catastrophe naturelle,Value
2015,Taux de mortalité pour 100 000 habitants,Taux pour 100 000 habitants,,1995.19
2016,Taux de mortalité pour 100 000 habitants,Taux pour 100 000 habitants,,4845.27
2017,Taux de mortalité pour 100 000 habitants,Taux pour 100 000 habitants,,920.81
2018,Taux de mortalité pour 100 000 habitants,Taux pour 100 000 habitants,,5815.98
2019,Taux de mortalité pour 100 000 habitants,Taux pour 100 000 habitants,,29.8
2020,Taux de mortalité pour 100 000 habitants,Taux pour 100 000 habitants,,1330.34
2015,Nombre de décès,Nombre,,712343.0
2016,Nombre de décès,Nombre,,1749602.0
2017,Nombre de décès,Nombre,,336511.0
2018,Nombre de décès,Nombre,,2155700.0
2019,Nombre de décès,Nombre,,12992.0
2020,Nombre de décès,Nombre,,505626.0
2015,Nombre de décès,Nombre,Météorologique - Inondation,3200.0
2015,Nombre de décès,Nombre,Météorologique - Tempête,556061.0
2015,Nombre de décès,Nombre,Météorologique - Tornade,150006.0
2015,Nombre de décès,Nombre,Météorologique - Feu de forêt,576.0
2015,Nombre de décès,Nombre,Météorologique - Tempête hivernale,2500.0
2016,Nombre de décès,Nombre,Météorologique - Inondation,34333.0
2016,Nombre de décès,Nombre,Météorologique - Tempête,1233151.0
2016,Nombre de décès,Nombre,Météorologique - Tornade,2070.0
2016,Nombre de décès,Nombre,Météorologique - Feu de forêt,77547.0
2016,Nombre de décès,Nombre,Météorologique - Tempête hivernale,402501.0
2017,Nombre de décès,Nombre,Météorologique - Inondation,23041.0
2017,Nombre de décès,Nombre,Météorologique - Tempête,4470.0
2017,Nombre de décès,Nombre,Météorologique - Feu de forêt,309000.0
2017,Nombre de décès,Nombre,Météorologique - Tempête hivernale,0.0
2018,Nombre de décès,Nombre,Météorologique - Inondation,61233.0
2018,Nombre de décès,Nombre,Météorologique - Épisode de chaleur,117000.0
2018,Nombre de décès,Nombre,Météorologique - Tempête,1872001.0
2018,Nombre de décès,Nombre,Météorologique - Tornade,300.0
2018,Nombre de décès,Nombre,Météorologique - Feu de forêt,105166.0
2018,Nombre de décès,Nombre,Météorologique - Tempête hivernale,0.0
2019,Nombre de décès,Nombre,Météorologique - Inondation,1790.0
2019,Nombre de décès,Nombre,Météorologique - Ouragan,5000.0
2019,Nombre de décès,Nombre,Météorologique - Tempête,2.0
2019,Nombre de décès,Nombre,Météorologique - Feu de forêt,200.0
2019,Nombre de décès,Nombre,Météorologique - Tempête hivernale,6000.0
2020,Nombre de décès,Nombre,Météorologique - Inondation,1.0
2020,Nombre de décès,Nombre,Météorologique - Tempête,493604.0
2020,Nombre de décès,Nombre,Météorologique - Feu de forêt,12021.0
2020,Nombre de décès,Nombre,Météorologique - Tempête hivernale,0.0
2015,Taux de mortalité pour 100 000 habitants,Taux pour 100 000 habitants,Météorologique - Inondation,8.96
2015,Taux de mortalité pour 100 000 habitants,Taux pour 100 000 habitants,Météorologique - Tempête,1557.47
