Year,Series,Units,Value
2000,Empreinte matérielle,Millions de tonnes métriques,1473.01
2001,Empreinte matérielle,Millions de tonnes métriques,1423.17
2002,Empreinte matérielle,Millions de tonnes métriques,1469.28
2003,Empreinte matérielle,Millions de tonnes métriques,1460.45
2004,Empreinte matérielle,Millions de tonnes métriques,1556.07
2005,Empreinte matérielle,Millions de tonnes métriques,1525.85
2006,Empreinte matérielle,Millions de tonnes métriques,1652.65
2007,Empreinte matérielle,Millions de tonnes métriques,1752.49
2008,Empreinte matérielle,Millions de tonnes métriques,1698.86
2009,Empreinte matérielle,Millions de tonnes métriques,1711.42
2010,Empreinte matérielle,Millions de tonnes métriques,1798.92
2011,Empreinte matérielle,Millions de tonnes métriques,1913.08
2012,Empreinte matérielle,Millions de tonnes métriques,1933.67
2013,Empreinte matérielle,Millions de tonnes métriques,2035.2
2014,Empreinte matérielle,Millions de tonnes métriques,2012.24
2015,Empreinte matérielle,Millions de tonnes métriques,2040.18
2016,Empreinte matérielle,Millions de tonnes métriques,2009.55
2017,Empreinte matérielle,Millions de tonnes métriques,2112.05
2018,Empreinte matérielle,Millions de tonnes métriques,2074.66
2019,Empreinte matérielle,Millions de tonnes métriques,2135.63
2000,Empreinte matérielle par habitant,Tonnes métriques,48.0
2001,Empreinte matérielle par habitant,Tonnes métriques,45.88
2002,Empreinte matérielle par habitant,Tonnes métriques,46.85
2003,Empreinte matérielle par habitant,Tonnes métriques,46.15
2004,Empreinte matérielle par habitant,Tonnes métriques,48.72
2005,Empreinte matérielle par habitant,Tonnes métriques,47.32
2006,Empreinte matérielle par habitant,Tonnes métriques,50.74
2007,Empreinte matérielle par habitant,Tonnes métriques,53.29
2008,Empreinte matérielle par habitant,Tonnes métriques,51.1
2009,Empreinte matérielle par habitant,Tonnes métriques,50.89
2010,Empreinte matérielle par habitant,Tonnes métriques,52.9
2011,Empreinte matérielle par habitant,Tonnes métriques,55.71
2012,Empreinte matérielle par habitant,Tonnes métriques,55.7
2013,Empreinte matérielle par habitant,Tonnes métriques,58.01
2014,Empreinte matérielle par habitant,Tonnes métriques,56.78
2015,Empreinte matérielle par habitant,Tonnes métriques,57.14
2016,Empreinte matérielle par habitant,Tonnes métriques,55.65
2017,Empreinte matérielle par habitant,Tonnes métriques,57.79
2018,Empreinte matérielle par habitant,Tonnes métriques,55.97
2019,Empreinte matérielle par habitant,Tonnes métriques,56.8
2000,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),1008.0
2001,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),959.51
2002,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),962.62
2003,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),939.3
2004,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),971.46
2005,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),922.7
2006,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),975.63
2007,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),1011.85
2008,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),971.14
2009,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),1010.13
2010,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),1031.63
2011,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),1063.81
2012,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),1058.26
2013,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),1087.54
2014,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),1044.71
2015,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),1052.73
2016,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),1028.71
2017,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),1044.57
2018,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),994.46
2019,Empreinte matérielle par unité de PIB,Tonnes métriques par PIB (millions de dollars CAD),1004.58
